鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
文山區,房地(土地+建物)+車位,臺北市文山區景華街181~210號,26.88,住,,,1070615,土地1建物1車位1,十二層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050930,229.99,4,2,2,有,有,41770000,211786,坡道平面,41.97,1950000,車位價款195萬(土地款1209000房屋款741000),RPWNMLMJPHNFFAA08CA
文山區,房地(土地+建物)+車位,臺北市文山區景華街181~210號,39.27,住,,,1070615,土地1建物1車位2,十六層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050930,357.85,4,2,2,有,有,65000000,222883,坡道平面,83.94,3950000,"共兩車,車位(1)價款195萬(土地款1209000房屋款741000車位(2)價款200萬(土地款1240000房屋款760000",RPOOMLMJPHNFFAA37CA
中正區,房地(土地+建物),臺北市中正區羅斯福路二段48巷1~30號,7.39,商,,,1070609,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960308,39.04,1,1,1,有,有,11810000,302510,,0.0,0,,RPVNMLNJPHNFFAA08CA
文山區,房地(土地+建物),臺北市文山區萬壽路17巷1~30號,8.75,住,,,1070527,土地1建物1車位0,二層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1020325,41.53,1,0,1,有,有,7700000,185408,,0.0,0,,RPROMLNJPHNFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區政大二街91~120號,66.94,住,,,1070528,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850815,167.79000000000002,4,2,2,有,有,19950000,118899,坡道機械,22.49,0,鄰居間買賣;買方登記三位自然人,RPSOMLNJPHNFFAA87CA
中正區,房地(土地+建物),臺北市中正區詔安街276巷1~30號,34.25,住,,,1070620,土地1建物1車位0,四層，露台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,103.25,2,1,1,有,無,12500000,121065,,0.0,0,,RPSNMLOJPHNFFAA87CA
文山區,房地(土地+建物)+車位,臺北市文山區萬芳路1~30號,18.97,住,,,1070526,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940128,113.43,2,1,1,有,有,12000000,105792,坡道平面,35.82,0,,RPPOMLOJPHNFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區木柵路四段33巷1~30號,23.36,住,,,1070523,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971208,126.53,2,2,1,有,有,14000000,110646,坡道平面,40.61,0,,RPOPMLOJPHNFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區仙岩路16巷61~90號,51.62,住,,,1070512,土地1建物1車位1,六層，電梯樓梯間,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870312,161.13,2,2,2,有,有,18600000,115435,坡道平面,36.79,0,,RPPPMLOJPHNFFAA77CA
中正區,房地(土地+建物)+車位,臺北市中正區廈門街71巷1~30號,16.61,住,,,1070519,土地1建物1車位1,一層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060809,92.3,1,2,1,有,有,15500000,167931,塔式車位,0.0,0,,RPRNMLMKPHNFFAA67CA
中正區,房地(土地+建物)+車位,臺北市中正區廈門街113巷1~30號,9.19,商,,,1070602,土地2建物2車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040601,116.43,2,2,1,有,有,20000000,171792,升降機械,16.26,0,,RPOOMLMKPHNFFAA47CA
中正區,房地(土地+建物),臺北市中正區延平南路179巷1~30號,12.86,住,,,1070528,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.64,2,2,1,有,有,15580000,195630,,0.0,0,凸窗增建,RPPOMLSKPHNFFAA18CA
文山區,房地(土地+建物),臺北市文山區萬寧街23巷1~30號,46.83,住,,,1070525,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810801,134.31,4,2,2,有,無,17600000,131040,,0.0,0,,RPQNMLLLPHNFFAA57CA
文山區,房地(土地+建物),臺北市文山區景華街150巷1~30號,35.32,住,,,1070512,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660506,96.44,3,1,1,有,無,13580000,140813,,0.0,0,,RPVNMLQJQHNFFAA48CA
萬華區,房地(土地+建物),臺北市萬華區富民路145巷15弄61~90號,35.0,住,,,1070514,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670320,104.39,3,2,1,有,無,8100000,77594,,0.0,0,頂樓增建。,RPVNMLMJPHNFFBA08CA
萬華區,房地(土地+建物),臺北市萬華區長順街123巷1~30號,28.91,住,,,1070625,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721227,121.45,3,2,2,有,無,13750000,113215,,0.0,0,,RPWOMLMJPHNFFBA28CA
大同區,房地(土地+建物),臺北市大同區重慶北路三段25巷17弄1~30號,23.25,住,,,1070529,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651014,80.04,2,2,1,有,無,9100000,113693,,0.0,0,含增建或未登記建物。,RPOPMLMJPHNFFBA57CA
