編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLNJPHNFFAA08CA,11,13.13,共有部分,鋼筋混凝土造,96年3月8日,十二層,
RPVNMLNJPHNFFAA08CA,11,25.91,見其他登記事項,鋼筋混凝土造,96年3月8日,十二層,四層
RPROMLNJPHNFFAA77CA,5,6.62,見其他登記事項,鋼筋混凝土造,102年3月25日,十層,
RPROMLNJPHNFFAA77CA,5,7.20,見其他登記事項,鋼筋混凝土造,102年3月25日,十層,
RPROMLNJPHNFFAA77CA,5,27.71,住家用,鋼筋混凝土造,102年3月25日,十層,二層
RPPOMLOJPHNFFAA67CA,13,51.00,住家用,鋼筋混凝土造,94年1月28日,十二層,十一層
RPPOMLOJPHNFFAA67CA,13,13.64,共有部分,鋼筋混凝土造,94年1月28日,十二層,
RPPOMLOJPHNFFAA67CA,13,48.79,共有部分,鋼筋混凝土造,94年1月28日,十二層,
RPSNMLOJPHNFFAA87CA,,103.25,住家用,加強磚造,,四層,四層 露台
RPSOMLNJPHNFFAA87CA,22,122.51,住家用,鋼筋混凝土造,85年8月15日,十二層,二層
RPSOMLNJPHNFFAA87CA,22,2.83,見使用執照,鋼筋混凝土造,85年8月15日,十二層,
RPSOMLNJPHNFFAA87CA,22,19.95,見使用執照,鋼筋混凝土造,85年8月15日,十二層,
RPSOMLNJPHNFFAA87CA,22,22.49,見使用執照,鋼筋混凝土造,85年8月15日,十二層,
RPWNMLMJPHNFFAA08CA,2,126.83,見其他登記事項,鋼骨鋼筋混凝土造,105年9月30日,十七層,十二層
RPWNMLMJPHNFFAA08CA,2,103.16,見其他登記事項,鋼骨鋼筋混凝土造,105年9月30日,十七層,
RPPPMLOJPHNFFAA77CA,20,36.79,共有部分,鋼筋混凝土造,87年3月12日,十三層,
RPPPMLOJPHNFFAA77CA,20,108.06,住家用,鋼筋混凝土造,87年3月12日,十三層,六層 電梯樓梯間
RPPPMLOJPHNFFAA77CA,20,16.27,共有部分,鋼筋混凝土造,87年3月12日,十三層,
RPPOMLSKPHNFFAA18CA,,71.00,住家用,鋼筋混凝土造,,七層,四層
RPPOMLSKPHNFFAA18CA,,8.64,共有部分,鋼筋混凝土造,,七層,
RPOOMLMJPHNFFAA37CA,2,184.49,見其他登記事項,鋼骨鋼筋混凝土造,105年9月30日,十七層,十六層
