編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPVNMLNJPHNFFAA08CA,南海段二小段,7.39,都市：商
RPROMLNJPHNFFAA77CA,政大段四小段,8.75,都市：住
RPPOMLOJPHNFFAA67CA,萬芳段二小段,18.97,都市：住
RPSNMLOJPHNFFAA87CA,永昌段五小段,34.25,都市：住
RPSOMLNJPHNFFAA87CA,政大段一小段,66.94,都市：住
RPWNMLMJPHNFFAA08CA,興安段二小段,26.88,都市：住
RPPPMLOJPHNFFAA77CA,興安段二小段,51.62,都市：住
RPPOMLSKPHNFFAA18CA,南海段五小段,12.86,都市：住
RPOOMLMJPHNFFAA37CA,興安段二小段,39.27,都市：住
RPOPMLOJPHNFFAA67CA,萬芳段二小段,23.36,都市：住
RPOOMLMKPHNFFAA47CA,河堤段六小段,2.39,都市：住
RPOOMLMKPHNFFAA47CA,河堤段六小段,6.80,都市：商
RPQNMLLLPHNFFAA57CA,萬芳段一小段,46.83,都市：住
RPRNMLMKPHNFFAA67CA,河堤段五小段,16.61,都市：住
RPOPMLMJPHNFFBA57CA,大同段二小段,23.25,都市：住
RPVNMLMJPHNFFBA08CA,青年段二小段,35.00,都市：住
RPXNMLNJPHNFFBA38CA,莒光段三小段,5.10,都市：商
RPQNMLPJPHNFFBA87CA,雙連段一小段,49.00,都市：商
RPWOMLMJPHNFFBA28CA,華江段二小段,28.91,都市：住
RPSNMLOJPHNFFBA97CA,玉泉段一小段,4.70,都市：商
RPROMLNJPHNFFBA87CA,臨沂段二小段,34.95,都市：住
RPVOMLPJPHNFFBA48CA,臨沂段二小段,25.75,都市：住
RPTPMLMJPHNFFCA18CA,碧湖段四小段,35.35,都市：住
RPWOMLQJPHNFFBA68CA,公園段一小段,.35,都市：其他
RPWOMLQJPHNFFBA68CA,公園段一小段,.02,都市：其他
RPWOMLQJPHNFFBA68CA,公園段一小段,.26,都市：其他
RPWOMLQJPHNFFBA68CA,公園段一小段,3.23,都市：其他
RPWOMLQJPHNFFBA68CA,公園段一小段,.00,都市：其他
RPVPMLMJPHNFFCA38CA,舊宗段,48.51,都市：住
RPRPMLNJPHNFFCA08CA,中山段三小段,5.56,都市：商
RPPQMLMJPHNFFCA87CA,文德段三小段,3.31,都市：住
RPPQMLMJPHNFFCA87CA,文德段三小段,4.65,都市：住
RPVOMLNKPHNFFCA48CA,榮星段四小段,1.92,都市：住
RPVOMLNKPHNFFCA48CA,榮星段四小段,.72,都市：住
RPUOMLNKPHNFFCA38CA,榮星段四小段,5.89,都市：住
RPUOMLNKPHNFFCA38CA,榮星段四小段,2.20,都市：住
RPVNMLNJPHNFFCA28CA,北安段三小段,10.80,都市：住
RPUQMLPJPHNFFCA68CA,中山段二小段,5.22,都市：商
SPXPMLKLPHNFFCA68CA,金泰段,41.43,都市：其他
RPXPMLQJPHNFFCA98CA,正義段二小段,30.00,都市：商
RPXPMLKLPHNFFCA58CA,金泰段,90.92,都市：其他
RPTQMLPLPHNFFCA78CA,德惠段四小段,6.63,都市：其他
RPSPMLRLPHNFFCA78CA,北安段三小段,15.64,都市：住
RPXOMLNJPHNFFEA78CA,芝山段一小段,20.00,都市：其他
RPSNMLOJPHNFFDA18CA,雅祥段四小段,6.61,都市：商
RPSNMLOJPHNFFDA18CA,雅祥段四小段,2.77,都市：住
RPVNMLNJPHNFFDA38CA,玉成段三小段,15.66,都市：商
RPXOMLNJPHNFFDA68CA,敦化段五小段,26.75,都市：住
RPUNMLPJPHNFFDA48CA,雅祥段四小段,.35,都市：商
RPUNMLPJPHNFFDA48CA,雅祥段四小段,.13,都市：商
RPUNMLPJPHNFFDA48CA,雅祥段四小段,2.97,都市：商
RPUPMLQKPHNFFDA88CA,西松段一小段,43.52,都市：住
RPXPMLMJPHNFFEA78CA,永新段四小段,20.13,都市：住
RPVOMLOJPHNFFEA68CA,新民段四小段,5.33,都市：其他
RPQSMLNJPHNFFEA48CA,三玉段五小段,39.58,都市：住
RPPOMLPJPHNFFEA18CA,天山段一小段,4.62,都市：住
RPQSMLNJPHNFFEA48CA,三玉段五小段,1.49,都市：住
RPPOMLPJPHNFFEA18CA,天山段一小段,24.74,都市：住
RPPOMLPJPHNFFEA18CA,天山段一小段,3.72,都市：其他
RPVRMLSKPHNFFEA86CA,三合段,18.74,都市：住
RPRPMLKKPHNFFEA08CA,溫泉段二小段,22.25,都市：住
RPRPMLKKPHNFFEA08CA,溫泉段二小段,5.50,都市：其他
RPSOMLPJPHNFFEA48CA,陽明段二小段,11.27,都市：商
RPURMLSKPHNFFEA76CA,三合段,18.74,都市：住
RPWRMLSKPHNFFEA96CA,三合段,18.74,都市：住
RPQSMLSKPHNFFEA09CA,三合段,19.17,都市：住
RPVNMLQJQHNFFAA48CA,興安段三小段,35.32,都市：住
RPXRMLSKPHNFFEA07CA,三合段,27.45,都市：住
RPRTMLSKPHNFFEA66CA,三合段,27.73,都市：住
RPTSMLSKPHNFFEA76CA,三合段,27.40,都市：住
RPSTMLSKPHNFFEA76CA,三合段,27.73,都市：住
RPUSMLSKPHNFFEA86CA,三合段,27.40,都市：住
RPSSMLSKPHNFFEA66CA,三合段,27.40,都市：住
RPPNMLLJQHNFFEA77CA,光華段二小段,39.25,都市：住
RPPNMLLJQHNFFEA77CA,光華段二小段,.25,都市：其他
RPPNMLMLPHNFFEA97CA,三合段,19.17,都市：住
RPSOMLNJPHNFFFA38CA,通化段三小段,8.63,都市：商
RPSOMLNJPHNFFFA38CA,通化段三小段,2.81,都市：住
RPOOMLNJPHNFFFA97CA,懷生段一小段,42.00,都市：住
RPVOMLQJPHNFFFA98CA,仁愛段一小段,23.41,都市：住
RPVOMLQJPHNFFFA98CA,仁愛段一小段,.02,都市：其他
RPVOMLQJPHNFFFA98CA,仁愛段一小段,.44,都市：住
RPPQMLPJPHNFFFA48CA,大安段一小段,32.67,都市：住
RPSPMLPJPHNFFFA68CA,金華段一小段,32.80,都市：住
RPSOMLTJPHNFFFA98CA,學府段一小段,62.63,都市：住
RPVNMLOJPHNFFCA48DA,碧湖段四小段,180.00,都市：住
RPPNMLMKPHNFFFA97CA,學府段二小段,28.25,都市：住
RPVNMLOJPHNFFCA48DA,碧湖段四小段,20.50,都市：住
RPPNMLMKPHNFFFA97CA,學府段二小段,8.00,都市：其他
RPPNMLMKPHNFFFA97CA,學府段二小段,25.25,都市：住
RPQOMLKKPHNFFFA97CA,學府段一小段,62.63,都市：住
RPUOMLOJPHNFFDA58DA,南港段一小段,16.59,都市：商
RPTOMLNJPHNFFCA28DA,德惠段二小段,10.14,都市：住
RPTOMLNJPHNFFCA28DA,德惠段二小段,1.42,都市：住
RPTOMLNJPHNFFCA28DA,德惠段二小段,4.67,都市：住
RPTOMLNJPHNFFCA28DA,德惠段二小段,3.59,都市：住
RPRNMLMJPHNFFCA87DA,長春段三小段,4.28,都市：商
RPQNMLRJPHNFFDA38DA,祥和段三小段,18.85,都市：住
RPVOMLOJPHNFFDA68DA,延吉段一小段,21.00,都市：住
RPTPMLNJPHNFFEA58DA,三玉段五小段,26.60,都市：住
RPTPMLNJPHNFFEA58DA,三玉段五小段,1.40,都市：住
RPUSMLNJPHNFFEA98DA,振興段三小段,24.73,都市：住
RPUSMLNJPHNFFEA98DA,振興段三小段,31.82,都市：住
RPUSMLNJPHNFFEA98DA,振興段三小段,17.78,都市：住
RPUSMLNJPHNFFEA98DA,振興段三小段,22.06,都市：住
RPUSMLNJPHNFFEA98DA,振興段三小段,.10,都市：住
RPRNMLRJPHNFFEA58DA,立農段二小段,31.15,都市：住
RPUOMLKMPHNFFFA68DA,仁愛段一小段,.14,都市：商
RPUOMLKMPHNFFFA68DA,仁愛段一小段,.05,都市：商
RPRNMLOKPHNFFFA48DA,瑞安段三小段,25.70,都市：住
RPRNMLOKPHNFFFA48DA,瑞安段三小段,.03,都市：住
RPWQMLTJPHNFFEA96DA,溫泉段一小段,2.66,都市：商
RPWQMLTJPHNFFEA96DA,溫泉段一小段,5.13,都市：住
RPQPMLQJPHNFFDA48DA,延吉段三小段,.02,都市：其他
RPQPMLQJPHNFFDA48DA,延吉段三小段,11.38,都市：其他
RPQPMLQJPHNFFDA48DA,延吉段三小段,.01,都市：其他
RPQPMLQJPHNFFDA48DA,延吉段三小段,3.09,都市：其他
RPOOMLKKPHNFFFA87DA,金華段二小段,4.75,都市：商
RPOOMLKKPHNFFFA87DA,金華段二小段,.01,都市：住
RPSPMLQJPHNFFEA78DA,立農段一小段,47.11,都市：住
RPXNMLSKPHNFFCA56DA,北安段三小段,10.67,都市：住
RPXNMLSKPHNFFCA56DA,北安段三小段,8.62,都市：住
RPSRMLQJPHNFFCA78DA,舊宗段,49.24,都市：住
RPRNMLPJPHNFFCA18DA,吉林段一小段,11.42,都市：住
RPWNMLRLPHNFFFA66CA,懷生段二小段,1.40,都市：其他
RPRQMLNJPHNFFCA28DA,康寧段三小段,15.34,都市：住
RPUNMLKMPHNFFBA18DA,臨沂段二小段,20.54,都市：住
RPUNMLKMPHNFFBA18DA,臨沂段二小段,21.13,都市：住
RPSOMLOLPHNFFAA28DA,河堤段二小段,8.25,都市：商
RPSOMLOLPHNFFAA28DA,河堤段二小段,.74,都市：住
RPTOMLSKPHNFFAA68DA,南海段四小段,2.78,都市：住
RPTOMLSKPHNFFAA68DA,南海段四小段,2.36,都市：商
RPTOMLSKPHNFFAA68DA,南海段四小段,.02,都市：其他
RPTOMLSKPHNFFAA68DA,南海段四小段,.00,都市：其他
RPUOMLSKPHNFFAA78DA,南海段四小段,2.78,都市：住
RPUOMLSKPHNFFAA78DA,南海段四小段,2.36,都市：商
RPUOMLSKPHNFFAA78DA,南海段四小段,.02,都市：其他
RPUOMLSKPHNFFAA78DA,南海段四小段,.00,都市：其他
RPTOMLNKPHNFFFA58CA,復興段三小段,3.09,都市：住
RPWNMLNLPHNFFFA88CA,龍泉段三小段,5.10,都市：商
RPWNMLNLPHNFFFA88CA,龍泉段三小段,14.05,都市：商
RPVNMLQKPHNFFFA98CA,仁愛段四小段,14.78,都市：商
RPVNMLQKPHNFFFA98CA,仁愛段四小段,5.04,都市：住
RPVNMLQKPHNFFFA98CA,仁愛段四小段,5.81,都市：住
RPXNMLRKPHNFFAA88DA,河堤段四小段,11.18,都市：商
RPXNMLRKPHNFFAA88DA,河堤段四小段,1.67,都市：住
RPRNMLOJPHNFFFA28CA,復興段三小段,5.82,都市：其他
RPRNMLOJPHNFFFA28CA,復興段三小段,.96,都市：其他
RPWQMLKMPHNFFEA88CA,福林段一小段,41.25,都市：住
RPVOMLNJPHNFFFA68CA,懷生段一小段,.35,都市：其他
RPVOMLNJPHNFFFA68CA,懷生段一小段,.11,都市：其他
RPVOMLNJPHNFFFA68CA,懷生段一小段,.07,都市：其他
RPVOMLNJPHNFFFA68CA,懷生段一小段,4.05,都市：其他
RPVOMLNJPHNFFFA68CA,懷生段一小段,.17,都市：其他
RPVOMLNJPHNFFFA68CA,懷生段一小段,.06,都市：其他
RPVOMLNJPHNFFFA68CA,懷生段一小段,.01,都市：其他
RPVOMLNJPHNFFFA68CA,懷生段一小段,.04,都市：其他
RPVOMLNJPHNFFFA68CA,懷生段一小段,.01,都市：其他
RPVOMLNJPHNFFFA68CA,懷生段一小段,.01,都市：其他
RPQOMLPJPHNFFFA38CA,復興段一小段,.10,都市：其他
RPQOMLPJPHNFFFA38CA,復興段一小段,5.62,都市：商
RPTNMLKKPHNFFEA08CA,秀山段三小段,1813.85,都市：住
