編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPPOMLOJPHNFFAA67CA,坡道平面,0,35.82
RPSOMLNJPHNFFAA87CA,坡道機械,0,22.49
RPWNMLMJPHNFFAA08CA,坡道平面,1950000,41.97
RPPPMLOJPHNFFAA77CA,坡道平面,0,36.79
RPOOMLMJPHNFFAA37CA,坡道平面,1950000,41.97
RPOOMLMJPHNFFAA37CA,坡道平面,2000000,41.97
RPOPMLOJPHNFFAA67CA,坡道平面,0,40.61
RPOOMLMKPHNFFAA47CA,升降機械,0,16.26
RPRNMLMKPHNFFAA67CA,塔式車位,0,
RPROMLNJPHNFFBA87CA,升降平面,0,
RPVOMLNKPHNFFCA48CA,坡道平面,0,26.49
RPVNMLNJPHNFFDA38CA,升降機械,0,
RPUPMLQKPHNFFDA88CA,坡道平面,0,
RPXPMLMJPHNFFEA78CA,坡道平面,0,38.79
RPPOMLPJPHNFFEA18CA,坡道機械,0,29.90
RPSOMLPJPHNFFEA48CA,塔式車位,0,1.06
RPQSMLSKPHNFFEA09CA,坡道平面,2300000,50.04
RPXRMLSKPHNFFEA07CA,坡道平面,2700000,50.04
RPRTMLSKPHNFFEA66CA,坡道平面,2100000,50.04
RPTSMLSKPHNFFEA76CA,坡道平面,2500000,50.04
RPSTMLSKPHNFFEA76CA,坡道平面,2500000,50.04
RPUSMLSKPHNFFEA86CA,坡道平面,2300000,50.04
RPSSMLSKPHNFFEA66CA,坡道平面,2500000,50.04
RPPNMLMLPHNFFEA97CA,坡道平面,2300000,50.04
RPPQMLPJPHNFFFA48CA,坡道平面,0,32.06
RPPQMLPJPHNFFFA48CA,坡道平面,0,32.06
RPSOMLTJPHNFFFA98CA,坡道平面,0,29.60
RPSOMLTJPHNFFFA98CA,坡道平面,0,29.60
RPSOMLTJPHNFFFA98CA,坡道平面,0,29.60
RPSOMLTJPHNFFFA98CA,坡道平面,0,29.60
RPVNMLOJPHNFFCA48DA,一樓平面,0,16.46
RPQOMLKKPHNFFFA97CA,坡道平面,0,29.60
RPQOMLKKPHNFFFA97CA,坡道平面,0,29.60
RPQOMLKKPHNFFFA97CA,坡道平面,0,29.60
RPQOMLKKPHNFFFA97CA,坡道平面,0,29.60
RPUOMLOJPHNFFDA58DA,坡道平面,2500000,38.65
RPQNMLRJPHNFFDA38DA,坡道平面,2500000,39.52
RPUOMLKMPHNFFFA68DA,升降機械,1400000,
RPSPMLQJPHNFFEA78DA,坡道平面,2800000,
RPXNMLSKPHNFFCA56DA,坡道機械,1700000,17.87
RPXNMLSKPHNFFCA56DA,坡道機械,1700000,17.87
RPUNMLKMPHNFFBA18DA,坡道平面,0,
RPUNMLKMPHNFFBA18DA,坡道機械,0,
RPUNMLKMPHNFFBA18DA,坡道機械,0,
RPUNMLKMPHNFFBA18DA,坡道機械,0,
RPSOMLOLPHNFFAA28DA,坡道平面,2600000,9.99
RPTOMLSKPHNFFAA68DA,其他,2300000,
RPUOMLSKPHNFFAA78DA,其他,2200000,
RPTOMLNKPHNFFFA58CA,坡道機械,0,
RPWNMLNLPHNFFFA88CA,坡道平面,0,35.24
RPVNMLQKPHNFFFA98CA,坡道平面,0,46.35
RPXNMLRKPHNFFAA88DA,坡道平面,0,31.83
RPWQMLKMPHNFFEA88CA,升降平面,0,32.43
RPQPMLPLPHNFFEA58CA,升降機械,0,18.34
RPWNMLTJPHNFFEA56CA,坡道平面,2500000,17.32
RPTNMLTJQHNFFEA98CA,坡道平面,0,38.93
RPUNMLTJQHNFFEA09CA,坡道平面,0,38.93
RPUNMLTJPHNFFEA98CA,坡道平面,0,
RPPPMLOJPHNFFEA18CA,坡道平面,0,
RPPPMLOJPHNFFEA18CA,坡道平面,0,
RPXNMLOJPHNFFEA78CA,坡道平面,0,43.74
RPRNMLOJPHNFFEA18CA,坡道平面,0,43.74
RPOOMLOJPHNFFEA97CA,坡道平面,0,43.62
RPTNMLOJPHNFFEA38CA,坡道平面,0,43.74
RPSNMLTJQHNFFEA88CA,坡道平面,0,33.52
RPQPMLNJPHNFFEA18CA,坡道平面,0,44.37
RPQPMLNJPHNFFEA18CA,坡道平面,0,44.37
RPQNMLQJPHNFFDA18CA,坡道平面,0,
