鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
南區,土地,半平厝段31~60地號,65.0,其他,,,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3590000,55231,,0.0,0,,RPTOMLOJPHNFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區德富路361~390號,16.69,住,,,1070501,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810221,139.6,3,2,2,有,有,6700000,47994,坡道機械,0.0,0,,RPVOMLOJPHNFFAB38CA
南區,房地(土地+建物)+車位,臺中市南區福田五街1~30號,25.45,住,,,1070601,土地2建物1車位2,十六層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041221,221.7,4,2,2,有,有,14580000,65765,坡道平面,66.18,0,,RPXOMLOJPHNFFAB58CA
南區,房地(土地+建物)+車位,臺中市南區崇倫街66巷1~30號,28.76,住,,,1070601,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070313,97.82000000000001,2,2,2,有,有,7000000,71560,一樓平面,13.82,0,,RPSOMLMJPHNFFAB87CA
西區,房地(土地+建物),臺中市西區三民路一段183巷1~30號,34.6,住,,,1070601,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750521,126.14000000000001,3,2,2,有,無,4300000,34089,,0.0,0,,RPVNMLPJPHNFFAB38CA
西區,房地(土地+建物)+車位,臺中市西區五權西三街1~30號,20.78,住,,,1070601,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881101,293.78999999999996,4,2,2,有,有,29100000,99050,坡道平面,0.0,0,,RPWNMLPJPHNFFAB48CA
西區,房地(土地+建物)+車位,臺中市西區大進街121~150號,10.8,住,,,1070501,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830114,108.07,3,2,1,有,有,5650000,52281,坡道機械,0.0,0,,RPOPMLPJPHNFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區建國南路一段151~180號,46.37,住,,,1070501,土地4建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801101,182.71,4,2,2,有,有,8800000,48164,坡道平面,0.0,0,,RPPPMLPJPHNFFAB97CA
西區,房地(土地+建物)+車位,臺中市西區向上路一段451~480號,24.93,住,,,1070501,土地2建物2車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861022,137.93,3,2,2,有,有,6800000,49300,升降機械,0.0,0,,RPTPMLPJPHNFFAB38CA
東區,房地(土地+建物)+車位,臺中市東區自由路四段181~210號,68.99,商,,,1070501,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0950808,223.08,4,3,3,有,有,14000000,62758,坡道平面,33.17,0,,RPXPMLPJPHNFFAB78CA
東區,房地(土地+建物),臺中市東區十甲路174巷1~30號,189.0,住,,,1070601,土地1建物1車位0,全,二層,透天厝,住工用,加強磚造,0741030,188.3,7,2,3,有,無,13500000,71694,,0.0,0,,RPOQMLPJPHNFFAB97CA
中區,房地(土地+建物),臺中市中區大誠街1~30號,5.51,商,,,1070501,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831110,66.4,2,2,1,有,有,3200000,48193,,0.0,0,,RPPOMLQJPHNFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區東興路一段1~30號,5.84,住,,,1070601,土地1建物2車位1,十九層,三十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950622,140.12,3,2,2,有,有,7500000,53526,升降機械,13.04,0,,RPWOMLPJPHNFFAB58CA
東區,房地(土地+建物),臺中市東區東福路31~60號,34.77,住,,,1070601,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830131,172.43,3,1,2,有,有,1174226,6810,,0.0,0,,RPWOMLTJPHNFFAB98CA
東區,房地(土地+建物),臺中市東區富臺街1~30號,43.0,住,,,1070601,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0780424,150.32,9,0,9,有,無,10500000,69851,,0.0,0,,RPWNMLKKPHNFFAB08CA
東區,房地(土地+建物)+車位,臺中市東區公園東路121~150號,12.33,商,,,1070501,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001130,130.84,3,2,2,有,有,7436000,56833,坡道平面,0.0,0,,RPSPMLKKPHNFFAB87CA
東區,車位,臺中市東區公園東路121~150號,0.44,商,,,1070501,土地0建物0車位1,一層,十五層,其他,見其他登記事項,鋼筋混凝土造,1001130,30.2,0,0,0,有,有,1100000,,坡道平面,0.0,0,,RPTPMLKKPHNFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區工學北路181~210號,14.57,住,,,1070501,土地4建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840123,142.96,3,2,2,有,有,6800000,47566,坡道機械,0.0,0,,RPPOMLLKPHNFFAB57CA
西區,房地(土地+建物),臺中市西區樂群街391~420號,4.74,住,,,1070601,土地1建物1車位0,一層，騎樓,十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0870528,59.78,2,1,1,有,無,5400000,90331,,0.0,0,,RPOPMLLKPHNFFAB57CA
南區,房地(土地+建物),臺中市南區忠明南路661~690號,91.0,住,,,1070501,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0700729,292.89,5,2,4,有,無,18300000,62481,,0.0,0,,RPXNMLNKPHNFFAB48CA
西區,房地(土地+建物),臺中市西區四維街1~30號,249.0,住,,,1070501,土地6建物3車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0801102,633.23,7,3,6,有,無,38500000,60799,,0.0,0,,RPROMLNKPHNFFAB97CA
南區,房地(土地+建物),臺中市南區仁義街189巷1~30號,66.0,住,,,1070601,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0570504,87.48,5,2,2,有,無,5800000,66301,,0.0,0,含增建或未登記建物。,RPSOMLMKPHNFFAB97CA
南區,房地(土地+建物),臺中市南區五權南路151~180號,4.22,商,,,1070501,土地1建物1車位0,八層,十六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850503,52.33,1,1,1,有,有,1800000,34397,,0.0,0,,RPSNMLQKPHNFFAB28CA
東區,房地(土地+建物),臺中市東區大公街1~30號,14.9,住,,,1070401,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730908,89.56,2,1,1,有,有,5500000,61411,,0.0,0,,RPQPMLRKPHNFFAB38CA
南區,房地(土地+建物),臺中市南區德富路146巷1~30號,9.84,其他,,,1070501,土地1建物1車位0,一層，二層,十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0890518,102.21000000000001,0,0,0,無,有,7500000,73378,,0.0,0,,RPWOMLSKPHNFFAB98CA
東區,房地(土地+建物),臺中市東區富榮街31~60號,30.16,住,,,1070501,土地2建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890815,141.4,3,1,2,有,有,6350000,44908,,0.0,0,,RPQPMLOLPHNFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區工學一街167巷1~30號,22.17,住,,,1070501,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,157.32999999999998,3,2,2,有,有,7150000,48004,坡道平面,25.05,800000,,RPUQMLQLPHNFFAB88CA
南區,土地,頂橋子頭段91~120地號,26.5,住,,,1070401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,113208,,0.0,0,,RPRNMLTLPHNFFAB58CA
北屯區,房地(土地+建物),臺中市北屯區大連路一段241~270號,23.93,住,,,1070501,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731123,88.28,3,1,1,有,有,2110000,23901,,0.0,0,,RPRPMLNJPHNFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區雷中街91巷1~30號,6.62,住,,,1070601,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810430,36.839999999999996,1,1,1,有,有,1400000,38002,,0.0,0,,RPUPMLNJPHNFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太順東街1~30號,27.87,住,,,1070601,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051123,156.95,3,2,2,有,有,8680000,55304,坡道平面,31.44,0,,RPXQMLNJPHNFFBB78CA
北屯區,房地(土地+建物),臺中市北屯區北屯路439之17巷2弄1~30號,10.87,住,,,1070601,土地1建物1車位0,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850812,109.32000000000001,3,2,2,有,有,5200000,47567,,0.0,0,,RPORMLNJPHNFFBB97CA
北屯區,房地(土地+建物),臺中市北屯區松竹路二段107巷61~90號,19.36,住,,,1070601,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820803,117.63,4,2,2,有,有,5800000,49307,,0.0,0,,RPVOMLOJPHNFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段1171~1200號,22.12,住,,,1070601,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040824,202.38,3,2,2,有,有,10200000,53683,坡道平面,34.73,1200000,,RPPQMLOJPHNFFBB08CA
