編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPTPMLPJPHNFFAB38CA,21,59.14,住家用,鋼筋混凝土造,86年10月22日,八層,三層
RPTPMLPJPHNFFAB38CA,21,35.53,住家用,鋼筋混凝土造,86年10月22日,八層,三層
RPTPMLPJPHNFFAB38CA,21,11.30,見其他登記事項,鋼筋混凝土造,86年10月22日,八層,
RPTPMLPJPHNFFAB38CA,21,8.34,共有部份,鋼筋混凝土造,86年10月22日,八層,
RPTPMLPJPHNFFAB38CA,21,23.61,見其他登記事項,鋼筋混凝土造,86年10月22日,八層,
RPXPMLPJPHNFFAB78CA,12,168.90,見其他登記事項,鋼筋混凝土造,95年8月8日,三層,一層 二層 三層 騎樓 見其他登記事項
RPXPMLPJPHNFFAB78CA,12,54.18,見其他登記事項,鋼筋混凝土造,95年8月8日,十層,
RPOPMLPJPHNFFAB87CA,24,75.52,住家用,鋼筋混凝土造,83年1月14日,十三層,二層
RPOPMLPJPHNFFAB87CA,24,8.82,共有部份,鋼筋混凝土造,83年1月14日,十三層,
RPOPMLPJPHNFFAB87CA,24,23.72,共有部份,鋼筋混凝土造,83年1月14日,十三層,
RPWNMLPJPHNFFAB48CA,19,198.67,住家用,鋼筋混凝土造,88年11月1日,二十四層,八層
RPWNMLPJPHNFFAB48CA,19,95.12,共有部份,鋼筋混凝土造,88年11月1日,二十四層,
RPVNMLPJPHNFFAB38CA,32,112.68,住家用,鋼筋混凝土造,75年5月21日,五層,三層
RPVNMLPJPHNFFAB38CA,32,13.46,見其他登記事項,鋼筋混凝土造,75年5月21日,五層,
RPXOMLOJPHNFFAB58CA,2,106.60,見其他登記事項,鋼筋混凝土造,104年12月21日,二十層,十六層
RPPPMLPJPHNFFAB97CA,27,3.11,共有部份,鋼筋混凝土造,80年11月1日,十二層,
RPXOMLOJPHNFFAB58CA,2,79.59,見其他登記事項,鋼筋混凝土造,104年12月21日,二十層,
RPPPMLPJPHNFFAB97CA,27,139.09,住家用,鋼筋混凝土造,80年11月1日,十二層,三層
RPXOMLOJPHNFFAB58CA,2,35.51,見其他登記事項,鋼筋混凝土造,104年12月21日,二十層,
