編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPTPMLPJPHNFFAB38CA,大益段,8.41,都市：住
RPTPMLPJPHNFFAB38CA,大益段,16.52,都市：住
RPXPMLPJPHNFFAB78CA,旱新段,68.99,都市：商
RPOPMLPJPHNFFAB87CA,大益段,10.80,都市：住
RPTOMLOJPHNFFAB18CA,半平厝段,65.00,都市：其他
RPWNMLPJPHNFFAB48CA,後子段,20.78,都市：住
RPVNMLPJPHNFFAB38CA,東昇段三小段,30.30,都市：住
RPVNMLPJPHNFFAB38CA,東昇段三小段,4.30,都市：住
RPXOMLOJPHNFFAB58CA,樹子腳段,14.46,都市：住
RPPPMLPJPHNFFAB97CA,樹子腳段,.74,都市：住
RPXOMLOJPHNFFAB58CA,樹子腳段,10.99,都市：住
RPPPMLPJPHNFFAB97CA,樹子腳段,45.48,都市：住
RPPPMLPJPHNFFAB97CA,樹子腳段,.01,都市：住
RPPPMLPJPHNFFAB97CA,樹子腳段,.14,都市：住
RPSOMLMJPHNFFAB87CA,半平厝段,28.76,都市：住
RPPOMLQJPHNFFAB97CA,仁愛段四小段,5.51,都市：商
RPWOMLTJPHNFFAB98CA,旱溪段,34.77,都市：住
RPWNMLKKPHNFFAB08CA,尚武段,43.00,都市：住
RPVOMLOJPHNFFAB38CA,樹子腳段,8.35,都市：住
RPVOMLOJPHNFFAB38CA,樹子腳段,8.35,都市：住
RPPOMLLKPHNFFAB57CA,樹子腳段,.00,都市：其他
RPPOMLLKPHNFFAB57CA,樹子腳段,2.99,都市：住
RPPOMLLKPHNFFAB57CA,樹子腳段,1.17,都市：其他
RPPOMLLKPHNFFAB57CA,樹子腳段,10.40,都市：住
RPWOMLPJPHNFFAB58CA,樹子腳段,5.84,都市：住
RPOPMLLKPHNFFAB57CA,公館段,4.74,都市：住
RPXNMLNKPHNFFAB48CA,半平厝段,91.00,都市：住
RPSNMLQKPHNFFAB28CA,下橋子頭段,4.22,都市：商
RPROMLNKPHNFFAB97CA,三民段三小段,57.00,都市：住
RPROMLNKPHNFFAB97CA,三民段三小段,14.00,都市：其他
RPROMLNKPHNFFAB97CA,三民段三小段,78.00,都市：住
RPROMLNKPHNFFAB97CA,三民段三小段,43.00,都市：住
RPROMLNKPHNFFAB97CA,三民段三小段,43.00,都市：住
RPROMLNKPHNFFAB97CA,三民段三小段,14.00,都市：其他
RPSOMLMKPHNFFAB97CA,頂橋子頭段,66.00,都市：住
RPTPMLKKPHNFFAB97CA,練武段,.44,都市：商
RPSPMLKKPHNFFAB87CA,練武段,12.33,都市：商
RPQPMLOLPHNFFAB18CA,尚武段,15.50,都市：住
RPQPMLOLPHNFFAB18CA,尚武段,14.66,都市：住
RPOQMLPJPHNFFAB97CA,旱溪段,189.00,都市：住
RPWOMLSKPHNFFAB98CA,樹子腳段,9.84,都市：其他
RPRNMLTLPHNFFAB58CA,頂橋子頭段,26.50,都市：住
RPUQMLQLPHNFFAB88CA,下橋子頭段,22.17,都市：住
RPQPMLRKPHNFFAB38CA,復興段二小段,2.07,都市：住
RPQPMLRKPHNFFAB38CA,復興段二小段,12.83,都市：住
RPORMLNJPHNFFBB97CA,長安段,10.87,都市：住
RPVOMLOJPHNFFBB48CA,松茂段,19.36,都市：住
RPUPMLNJPHNFFBB38CA,陳平段,6.62,都市：住
RPRPMLNJPHNFFBB08CA,東信段,23.93,都市：住
RPPQMLOJPHNFFBB08CA,太和段,22.12,都市：住
RPXQMLNJPHNFFBB78CA,太順段,27.87,都市：住
RPXQMLOJPHNFFBB88CA,平田段,11.60,都市：住
RPQSMLOJPHNFFBB38CA,東新段,12.83,都市：住
RPOOMLTJPHNFFBB28CA,景美段,10.76,都市：住
RPOOMLTJPHNFFBB28CA,景美段,6.85,都市：住
RPVQMLOJPHNFFBB68CA,松竹段,51.00,都市：其他
RPRQMLOJPHNFFBB28CA,東山段,33.34,都市：住
RPWNMLMKPHNFFBB38CA,太順段,27.31,都市：住
RPVNMLMKPHNFFBB28CA,太順段,20.37,都市：住
RPSRMLKKPHNFFBB18CA,錦村段,14.19,都市：住
RPTSMLOJPHNFFBB68CA,崇德段,18.13,都市：住
RPTSMLOJPHNFFBB68CA,崇德段,18.13,都市：住
RPQOMLMKPHNFFBB87CA,邱厝子段,23.28,都市：住
RPXNMLMKPHNFFBB48CA,太順段,20.37,都市：住
RPOOMLMKPHNFFBB67CA,太順段,27.31,都市：住
RPWPMLMKPHNFFBB58CA,太順段,27.31,都市：住
RPRQMLMKPHNFFBB18CA,太順段,27.31,都市：住
RPOQMLMKPHNFFBB87CA,太順段,35.65,都市：住
RPRPMLMKPHNFFBB08CA,中清段,26.61,都市：住
RPVQMLMKPHNFFBB58CA,太順段,35.65,都市：住
RPWQMLMKPHNFFBB68CA,太順段,27.31,都市：住
RPWNMLNKPHNFFBB48CA,太順段,20.37,都市：住
RPXQMLMKPHNFFBB78CA,太順段,27.31,都市：住
RPUQMLMKPHNFFBB48CA,太順段,27.31,都市：住
RPPQMLRKPHNFFBB48CA,東峰段,6.77,都市：商
RPXPMLMKPHNFFBB68CA,太順段,20.37,都市：住
RPTQMLMKPHNFFBB38CA,太順段,20.37,都市：住
RPORMLMKPHNFFBB97CA,太順段,20.37,都市：住
RPUQMLRKPHNFFBB98CA,太順段,27.31,都市：住
RPQOMLTKPHNFFBB58CA,松茂段,128.83,都市：其他
RPRQMLQLPHNFFBB68CA,松竹段,20.90,都市：住
RPSQMLSKPHNFFBB88CA,水源段,5.10,都市：商
RPSQMLSKPHNFFBB88CA,水源段,7.87,都市：商
RPSQMLSKPHNFFBB88CA,水源段,13.47,都市：商
RPSQMLSKPHNFFBB88CA,水源段,1.80,都市：商
RPSQMLSKPHNFFBB88CA,水源段,25.67,都市：商
RPVPMLKLPHNFFBB38CA,東正段,8.88,都市：商
RPOSMLSKPHNFFBB68CA,崇德段,22.29,都市：商
RPWTMLTKPHNFFBB07CA,太順段,15.38,都市：住
RPQNMLNLPHNFFBB97CA,松觀段,29.63,都市：住
RPQNMLNLPHNFFBB97CA,松觀段,1.56,都市：住
RPPOMLNLPHNFFBB97CA,文正段,23.03,都市：商
RPQNMLKLPHNFFBB67CA,賴厝段,5.73,都市：商
RPPOMLQLPHNFFBB28CA,文正段,5.76,都市：商
RPPOMLQLPHNFFBB28CA,文正段,1.92,都市：商
RPQPMLNJPHNFFCB08CA,豐功段,26.34,都市：商
RPRPMLKMPHNFFBB08CA,北屯段,360.47,都市：住
RPTPMLKMPHNFFBB28CA,北屯段,489.00,都市：住
RPSNMLNJPHNFFCB08CA,國安段,20.96,都市：住
RPVOMLRLPHNFFBB98CA,松竹段,19.10,都市：住
RPUPMLKMPHNFFBB38CA,北屯段,11.00,都市：住
RPVNMLNJPHNFFCB38CA,信安段,10.13,都市：其他
RPPNMLNJPHNFFCB77CA,惠民段,28.91,都市：其他
RPVPMLKMPHNFFBB48CA,北屯段,4.00,都市：住
RPVPMLKMPHNFFBB48CA,北屯段,29.00,都市：住
RPVPMLKMPHNFFBB48CA,北屯段,40.00,都市：住
RPRPMLNJPHNFFCB18CA,廣明段,3.67,都市：住
RPRPMLPJPHNFFCB38CA,上石碑段,44.93,都市：住
RPUNMLOJPHNFFCB38CA,惠信段,1.89,都市：住
RPSOMLPJPHNFFCB38CA,保安段,21.48,都市：住
RPROMLPJPHNFFCB28CA,保安段,8.98,都市：住
RPROMLPJPHNFFCB28CA,保安段,7.27,都市：住
RPQRMLQJPHNFFCB58CA,大新段,13.10,都市：住
RPWPMLPJPHNFFCB88CA,國安段,10.00,都市：住
RPWPMLPJPHNFFCB88CA,國安段,4.81,都市：住
RPUOMLKKPHNFFCB18CA,永春段,238.00,都市：住
RPTNMLRJPHNFFCB58CA,上石碑段,12.97,都市：商
RPRQMLTJPHNFFCB88CA,國安段,4.61,都市：住
RPTQMLMKPHNFFCB48CA,中仁段,12.42,都市：商
RPWRMLQJPHNFFCB56CA,大墩段,11.63,都市：住
RPROMLNKPHNFFCB18CA,豐富段,26.40,都市：住
RPOOMLRKPHNFFCB28CA,廣昌段,50.90,都市：其他
RPQNMLLKPHNFFCB77CA,大進段,1.11,都市：住
RPVOMLKKPHNFFCB28CA,上石碑段,9.11,都市：住
RPQNMLTJPHNFFCB48CA,國安段,194.97,都市：住
RPVQMLKKPHNFFCB48CA,上石碑段,17.00,都市：住
RPQPMLSKPHNFFCB68CA,中仁段,2.54,都市：商
RPVNMLSKPHNFFCB98CA,惠智段,14.20,都市：住
RPSNMLTKPHNFFCB78CA,中仁段,24.42,都市：住
RPROMLPLPHNFFCB48CA,福德段,38.54,都市：住
RPTPMLTKPHNFFCB09CA,民安段,7.84,都市：住
RPQPMLPLPHNFFCB48CA,寶山段,30.26,都市：住
RPWOMLPLPHNFFCB98CA,寶山段,29.59,都市：住
RPTRMLTKPHNFFCB66CA,國安段,30.42,都市：住
RPOPMLPLPHNFFCB28CA,寶山段,30.26,都市：住
RPWNMLSKPHNFFCB09CA,惠民段,38.03,都市：其他
RPPPMLPLPHNFFCB38CA,寶山段,29.59,都市：住
RPRPMLPLPHNFFCB58CA,寶山段,31.02,都市：住
RPPNMLPJPHNFFDB08CA,東陽段,1.90,都市：住
RPPNMLPJPHNFFDB08CA,東陽段,14.69,都市：住
RPPNMLPJPHNFFDB08CA,東陽段,105.54,都市：住
RPPNMLPJPHNFFDB08CA,東陽段,1.60,都市：住
RPPNMLPJPHNFFDB08CA,東陽段,.53,都市：住
RPPNMLPJPHNFFDB08CA,東陽段,1.12,都市：住
RPRNMLLJQHNFFCB87CA,豐業段,589.48,都市：住
RPRNMLLJQHNFFCB87CA,豐業段,1.19,都市：住
RPOOMLKKPHNFFDB67CA,神圳段,145.35,都市：住
RPUPMLKLPHNFFCB38CA,寶山段,.50,都市：住
RPUPMLKLPHNFFCB38CA,寶山段,33.51,都市：住
RPVNMLQLPHNFFCB88CA,中義段,7.67,都市：住
RPOOMLTJPHNFFDB48CA,大仁段,64.77,都市：住
RPUPMLLMPHNFFCB58CA,春安段,40.00,都市：住
RPQOMLKKPHNFFDB87CA,神圳段,171.06,都市：住
RPSNMLTJPHNFFDB78CA,墩南段,25.94,都市：住
RPSNMLTJPHNFFDB78CA,墩南段,74.18,都市：住
RPSPMLPLPHNFFCB68CA,寶山段,29.59,都市：住
RPPOMLKKPHNFFDB77CA,神圳段,172.06,都市：住
RPSNMLSKPHNFFDB78CA,南村段,17.28,都市：商
RPVOMLKKPHNFFDB38CA,南嵩段,88.87,都市：住
RPQNMLNKPHNFFDB08CA,圳前段,136.48,都市：住
RPQNMLNKPHNFFDB08CA,圳前段,5.93,都市：住
RPRNMLLJQHNFFDB97CA,社南段,112.00,都市：農
RPOOMLPJPHNFFDB08CA,南村段,7.50,都市：商
RPRNMLQJPHNFFEB48CA,安重段,1558.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLLJQHNFFDB08CA,社南段,879.00,都市：農
RPRNMLQJPHNFFEB48CA,安重段,1598.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOJPHNFFEB08CA,孔門段,101.00,都市：住
RPQNMLLKPHNFFEB97CA,福東段,30.16,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLLKPHNFFEB97CA,福東段,2.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLKKPHNFFEB18CA,甲農段,16.61,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLKKPHNFFEB18CA,甲農段,75.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLKKPHNFFEB18CA,甲農段,51.06,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLMJPHNFFFB48CA,北勢坑段六路厝小段,2701.00,都市：其他
RPTOMLMJPHNFFFB48CA,北勢坑段六路厝小段,831.50,都市：其他
RPQNMLOJPHNFFFB28CA,大同段,9.44,都市：住
RPQNMLOJPHNFFFB28CA,大同段,90.75,都市：住
RPRNMLOJPHNFFFB38CA,東英段,23.56,都市：住
RPRNMLOJPHNFFFB38CA,東英段,116.20,都市：住
RPOOMLTJPHNFFFB68CA,福興段,16.00,都市：住
RPOOMLTJPHNFFFB68CA,福興段,57.20,都市：住
RPOOMLTJPHNFFFB68CA,福興段,.14,都市：住
RPOOMLTJPHNFFFB68CA,福興段,12.55,都市：住
RPTOMLKKPHNFFFB38CA,鴨母寮段鴨母寮小段,19.57,都市：住
RPRPMLRKPHNFFFB98CA,南簡段,138.00,都市：住
RPRPMLRKPHNFFFB98CA,南簡段,3.99,都市：住
RPXNMLTJPHNFFFB86CA,福興段,16.00,都市：住
RPXNMLTJPHNFFFB86CA,福興段,74.30,都市：住
RPXNMLTJPHNFFFB86CA,福興段,.14,都市：住
RPXNMLTJPHNFFFB86CA,福興段,12.55,都市：住
RPQNMLNJPHNFFGB28CA,新盛段,384.43,都市：住
RPQOMLNJPHNFFHB48CA,東寶五段,72.24,都市：住
RPRNMLNJPHNFFGB38CA,新盛段,75.27,都市：住
RPTOMLTKPHNFFFB66CA,三民段,60.44,都市：住
RPVNMLMJPHNFFGB68CA,延平段,29.97,都市：住
RPPOMLNJPHNFFHB38CA,西員寶北段,57.05,都市：農
RPTNMLQJPHNFFGB88CA,高簡段,75.08,都市：住
RPTNMLQJPHNFFGB88CA,高簡段,11.84,都市：住
RPTNMLQJPHNFFGB88CA,高簡段,.89,都市：住
