編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPTPMLPJPHNFFAB38CA,升降機械,0,
RPXPMLPJPHNFFAB78CA,坡道平面,0,33.17
RPOPMLPJPHNFFAB87CA,坡道機械,0,
RPWNMLPJPHNFFAB48CA,坡道平面,0,
RPXOMLOJPHNFFAB58CA,坡道平面,0,33.09
RPXOMLOJPHNFFAB58CA,坡道平面,0,33.09
RPPPMLPJPHNFFAB97CA,坡道平面,0,
RPSOMLMJPHNFFAB87CA,一樓平面,0,13.82
RPVOMLOJPHNFFAB38CA,坡道機械,0,
RPPOMLLKPHNFFAB57CA,坡道機械,0,
RPWOMLPJPHNFFAB58CA,升降機械,0,13.04
RPTPMLKKPHNFFAB97CA,坡道平面,0,
RPSPMLKKPHNFFAB87CA,坡道平面,0,
RPUQMLQLPHNFFAB88CA,坡道平面,800000,25.05
RPPQMLOJPHNFFBB08CA,坡道平面,1200000,34.73
RPXQMLNJPHNFFBB78CA,坡道平面,0,31.44
RPQSMLOJPHNFFBB38CA,坡道機械,0,
RPOOMLTJPHNFFBB28CA,坡道平面,0,38.71
RPWNMLMKPHNFFBB38CA,坡道平面,1250000,34.94
RPVNMLMKPHNFFBB28CA,坡道平面,1150000,34.94
RPTSMLOJPHNFFBB68CA,坡道平面,0,
RPTSMLOJPHNFFBB68CA,坡道平面,0,
RPQOMLMKPHNFFBB87CA,坡道平面,0,
RPXNMLMKPHNFFBB48CA,坡道平面,1150000,34.94
RPOOMLMKPHNFFBB67CA,坡道平面,1150000,34.94
RPWPMLMKPHNFFBB58CA,坡道平面,1150000,34.94
RPRQMLMKPHNFFBB18CA,坡道平面,1200000,34.94
RPOQMLMKPHNFFBB87CA,坡道平面,0,34.94
RPOQMLMKPHNFFBB87CA,坡道平面,0,34.94
RPVQMLMKPHNFFBB58CA,坡道平面,0,34.94
RPVQMLMKPHNFFBB58CA,坡道平面,0,34.94
RPWQMLMKPHNFFBB68CA,坡道平面,1250000,34.94
RPWNMLNKPHNFFBB48CA,坡道平面,1200000,36.25
RPXQMLMKPHNFFBB78CA,坡道平面,1150000,34.94
RPUQMLMKPHNFFBB48CA,坡道平面,1350000,34.94
RPPQMLRKPHNFFBB48CA,升降機械,0,
RPXPMLMKPHNFFBB68CA,坡道平面,1150000,34.94
RPTQMLMKPHNFFBB38CA,坡道平面,1250000,34.94
