鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
信義區,房地(土地+建物),基隆市信義區東信路3巷61~90號,66.0,住,,,1070528,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0541001,70.14,3,1,2,有,無,4000000,57029,,0.0,0,含增建或未登記建物。,RPRNMLOJPHNFFBC08CA
仁愛區,房地(土地+建物),基隆市仁愛區仁一路241~270號,3.21,商,,,1070608,土地2建物1車位0,十二層,三十一層,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0970204,58.22,1,1,1,有,有,5700000,97905,,0.0,0,,RPXNMLOJPHNFFBC68CA
信義區,房地(土地+建物),基隆市信義區正信路31~60號,21.64,住,,,1070605,土地1建物1車位0,五層,六層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690807,70.53,0,0,0,無,無,1900000,26939,,0.0,0,,RPQNMLOKPHNFFBC08CA
中正區,房地(土地+建物),基隆市中正區正榮街77巷1~30號,125.5,住,,,1070518,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731114,122.05,3,2,2,有,無,2000000,16387,,0.0,0,,RPRNMLOKPHNFFBC18CA
信義區,房地(土地+建物),基隆市信義區深澳坑路168巷46弄1~30號,18.81,住,,,1070508,土地1建物1車位0,四層，夾層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840610,69.77000000000001,3,1,2,有,有,1350000,19349,,0.0,0,,RPTNMLOKPHNFFBC38CA
中正區,房地(土地+建物)+車位,基隆市中正區中正路331~360號,28.7,住,,,1070110,土地3建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020129,291.57,3,2,2,有,有,25000000,85743,坡道平面,32.94,0,,RPRNMLQLPHNFFBC48CA
仁愛區,房地(土地+建物),基隆市仁愛區南榮路1~30號,8.0,商,,,1070603,土地2建物1車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841014,44.42,1,1,1,有,無,2800000,63035,,0.0,0,,RPWNMLRLPHNFFBC09CA
安樂區,房地(土地+建物),基隆市安樂區中和路168巷11弄1~30號,26.52,住,,,1070527,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,100.95,3,2,2,有,無,3000000,29718,,0.0,0,,RPQOMLMJPHNFFCC97CA
七堵區,房地(土地+建物)+車位,基隆市七堵區綠葉街1~30號,76.74,,山坡地保育區,丙種建築用地,1070614,土地1建物1車位2,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010120,233.35,3,2,2,有,有,11800000,50568,坡道平面,0.0,0,,RPSNMLNJPHNFFCC18CA
暖暖區,車位,基隆市暖暖區源遠路226巷31~60號,0.59,住,,,1070516,土地0建物0車位1,一層,十二層,其他,見其他登記事項,鋼筋混凝土造,1020329,37.059999999999995,0,0,0,有,有,1400000,,坡道平面,37.06,1400000,單獨車位交易。,RPRNMLOJPHNFFCC18CA
安樂區,房地(土地+建物),基隆市安樂區安一路151~180號,14.3,商,,,1070517,土地1建物1車位0,一層，騎樓,五層,店面(店鋪),商業用,鋼筋混凝土造,0700529,49.58,1,1,1,有,無,7100000,143203,,0.0,0,,RPOOMLOJPHNFFCC97CA
暖暖區,房地(土地+建物),基隆市暖暖區源遠路297巷61~90號,88.37,住,,,1070418,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0980323,195.05,4,2,4,有,無,12200000,62548,,0.0,0,,RPXNMLOKPHNFFCC88CA
安樂區,房地(土地+建物),基隆市安樂區安樂路二段121~150號,25.15,商,,,1070512,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690501,111.01,4,2,2,有,有,5000000,45041,,0.0,0,,RPSNMLNLPHNFFCC38CA
安樂區,房地(土地+建物),基隆市安樂區中和路168巷14弄1~30號,21.97,住,,,1070604,土地4建物2車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,84.19,2,1,1,有,無,2300000,27319,,0.0,0,,RPROMLOLPHNFFCC48CA
安樂區,房地(土地+建物),基隆市安樂區樂利三街61~90號,20.84,住,,,1070520,土地7建物1車位0,十四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860117,124.1,3,2,2,有,無,4800000,38678,,0.0,0,,RPTNMLLMPHNFFCC38CA
暖暖區,土地,八德段181~210地號,140.0,住,,,1070618,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,7143,,0.0,0,,RPTNMLQJPHNFFCC68DA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街1~30號,42.17,住,,,1070527,土地2建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800606,156.43,3,2,2,有,有,5450000,34840,坡道平面,0.0,0,親友間之買賣,RPXNMLNKPHNFFCC98EA
安樂區,房地(土地+建物),基隆市安樂區安一路176巷31~60號,28.11,其他,,,1070613,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690124,78.15,2,1,1,有,無,3800000,48624,,0.0,0,,RPXNMLOJPHNFFCC98EA
中正區,建物,基隆市中正區平二路1~30號,0.0,,,,1070620,土地0建物2車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671003,92.14,1,1,1,有,無,700000,7597,,0.0,0,,RPRNMLKLPHNFFBC97DA
暖暖區,房地(土地+建物),基隆市暖暖區寧靜街60巷1~30號,21.55,住,,,1070608,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830718,105.5,2,1,2,有,有,3000000,28436,,0.0,0,親友間交易,RPTOMLNLPHNFFCC78EA
七堵區,房地(土地+建物),基隆市七堵區東新街73巷62弄1~30號,30.25,住,,,1070608,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670615,78.93,3,1,1,有,無,3500000,44343,,0.0,0,,RPPNMLPJPHNFFCC08CA
信義區,房地(土地+建物)+車位,基隆市信義區深溪路61~90號,26.41,住,,,1070524,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,136.06,3,2,2,有,有,5800000,42628,坡道平面,0.0,0,,RPQOMLRKPHNFFBC48CA
中山區,房地(土地+建物)+車位,基隆市中山區華興街53巷1~30號,26.43,住,,,1070419,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960131,130.47,2,2,1,有,有,6000000,45988,坡道平面,0.0,0,,RPPNMLLKPHNFFCC77CA
中山區,房地(土地+建物),基隆市中山區華興街291巷1~30號,38.0,住,,,1070612,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660203,77.5,4,1,1,有,有,2800000,36129,,0.0,0,,RPRNMLNKPHNFFCC18CA
暖暖區,土地,碇內段溪西股小段151~180地號,66.14,其他,,,1070619,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,6048,,0.0,0,,RPSNMLNKPHNFFCC28CA
中正區,房地(土地+建物)+車位,基隆市中正區豐稔街91~120號,33.73,住,,,1070607,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041020,212.66,4,2,2,有,有,9900000,51432,坡道平面,37.67,900000,,RPPNMLOKPHNFFBC97CA
