編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLRLPHNFFBC09CA,23,44.42,住家用,鋼筋混凝土造,84年10月14日,五層,三層
RPRNMLOJPHNFFBC08CA,53,70.14,住家用,加強磚造,54年10月1日,二層,一層 二層
RPXNMLOKPHNFFCC88CA,9,195.05,見其他登記事項,鋼筋混凝土造,98年3月23日,四層,一層 二層 三層 四層
RPOOMLOJPHNFFCC97CA,37,49.58,商業用,鋼筋混凝土造,70年5月29日,五層,一層 騎樓
RPSNMLNLPHNFFCC38CA,38,111.01,住家用,鋼筋混凝土造,69年5月1日,八層,七層
RPROMLOLPHNFFCC48CA,23,67.54,住家用,鋼筋混凝土造,84年1月17日,五層,三層
RPROMLOLPHNFFCC48CA,23,13.74,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPROMLOLPHNFFCC48CA,23,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,
RPTNMLLMPHNFFCC38CA,21,93.72,住家用,鋼筋混凝土造,86年1月17日,二十層,十四層
RPTNMLLMPHNFFCC38CA,21,28.46,共用部份,鋼筋混凝土造,86年1月17日,二十層,
RPTNMLLMPHNFFCC38CA,21,1.92,共用部份,鋼筋混凝土造,86年1月17日,二十層,
RPXNMLNKPHNFFCC98EA,27,133.78,住家用,鋼筋混凝土造,80年6月6日,十層,六層
RPXNMLNKPHNFFCC98EA,27,12.00,共用部份,鋼筋混凝土造,80年6月6日,十層,
RPXNMLNKPHNFFCC98EA,27,10.65,共用部份,鋼筋混凝土造,80年6月6日,十層,
RPXNMLOJPHNFFCC98EA,38,78.15,住家用,鋼筋混凝土造,69年1月24日,四層,一層
RPRNMLKLPHNFFBC97DA,40,46.07,住家用,鋼筋混凝土造,67年10月3日,四層,二層
RPRNMLKLPHNFFBC97DA,40,46.07,住家用,鋼筋混凝土造,67年10月3日,四層,三層
RPXNMLOJPHNFFBC68CA,10,41.16,住家用,鋼骨鋼筋混凝土造,97年2月4日,三十一層,十二層
RPRNMLQLPHNFFBC48CA,5,187.20,住家用,鋼筋混凝土造,102年1月29日,十三層,九層
RPXNMLOJPHNFFBC68CA,10,8.71,共用部份,鋼骨鋼筋混凝土造,97年2月4日,三十一層,
RPXNMLOJPHNFFBC68CA,10,8.35,共用部份,鋼骨鋼筋混凝土造,97年2月4日,三十一層,
RPRNMLQLPHNFFBC48CA,5,31.88,見其他登記事項,鋼筋混凝土造,102年1月29日,十三層,
RPRNMLQLPHNFFBC48CA,5,72.49,見其他登記事項,見其他登記事項,102年1月29日,十三層,
RPTOMLNLPHNFFCC78EA,24,85.75,住家用,鋼筋混凝土造,83年7月18日,六層,三層
RPTOMLNLPHNFFCC78EA,24,19.75,共用部份,鋼筋混凝土造,83年7月18日,六層,
RPPNMLPJPHNFFCC08CA,40,78.93,住家用,鋼筋混凝土加強磚造,67年6月15日,四層,四層
RPQOMLRKPHNFFBC48CA,19,79.53,住家用,鋼筋混凝土造,88年1月22日,七層,六層
RPPNMLLKPHNFFCC77CA,11,67.81,住家用,鋼筋混凝土造,96年1月31日,八層,七層
RPQOMLRKPHNFFBC48CA,19,14.19,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPPNMLLKPHNFFCC77CA,11,29.87,共用部份,鋼筋混凝土造,96年1月31日,八層,
RPQOMLRKPHNFFBC48CA,19,5.32,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPPNMLLKPHNFFCC77CA,11,23.13,共用部份,鋼筋混凝土造,96年1月31日,八層,
RPQOMLRKPHNFFBC48CA,19,34.92,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPPNMLLKPHNFFCC77CA,11,9.67,共用部份,鋼筋混凝土造,96年1月31日,八層,
RPQOMLRKPHNFFBC48CA,19,2.11,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPRNMLNKPHNFFCC18CA,41,77.50,住家用,鋼筋混凝土加強磚造,66年2月3日,四層,三層
RPTNMLOJPHNFFBC28CA,32,91.66,住家用,鋼筋混凝土造,75年9月8日,五層,一層
RPPNMLOKPHNFFBC97CA,3,131.25,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,五層
RPPNMLOKPHNFFBC97CA,3,57.36,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPPNMLOKPHNFFBC97CA,3,24.05,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPRNMLPJPHNFFBC18CA,38,76.74,住家用,鋼筋混凝土造,69年5月6日,五層,五層
RPTNMLOKPHNFFBC38CA,23,4.82,共用部份,鋼筋混凝土造,84年6月10日,四層,
RPTNMLOKPHNFFBC38CA,23,64.01,見其他登記事項,鋼筋混凝土造,84年6月10日,四層,四層 夾層
RPTNMLOKPHNFFBC38CA,23,.95,共用部份,鋼筋混凝土造,84年6月10日,五層,
RPQNMLOKPHNFFBC08CA,38,70.53,住家用,鋼筋混凝土造,69年8月7日,六層,五層
