編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPRNMLOJPHNFFBC08CA,光明段,66.00,都市：住
RPWNMLRLPHNFFBC09CA,德厚段,1.17,都市：商
RPWNMLRLPHNFFBC09CA,德厚段,6.83,都市：商
RPXNMLOKPHNFFCC88CA,源遠段,80.98,都市：住
RPXNMLOKPHNFFCC88CA,源遠段,7.39,都市：住
RPOOMLOJPHNFFCC97CA,西定段,14.30,都市：商
RPSNMLNLPHNFFCC38CA,安國段,25.15,都市：商
RPROMLOLPHNFFCC48CA,代天府段,20.75,都市：住
RPROMLOLPHNFFCC48CA,代天府段,.32,都市：其他
RPROMLOLPHNFFCC48CA,代天府段,.06,都市：住
RPROMLOLPHNFFCC48CA,代天府段,.84,都市：住
RPTNMLLMPHNFFCC38CA,新城段,4.00,都市：住
RPTNMLLMPHNFFCC38CA,新城段,.02,都市：其他
RPTNMLLMPHNFFCC38CA,新城段,13.92,都市：住
RPTNMLLMPHNFFCC38CA,新城段,.83,都市：其他
RPTNMLLMPHNFFCC38CA,新城段,.08,都市：其他
RPTNMLLMPHNFFCC38CA,新城段,1.98,都市：其他
RPTNMLLMPHNFFCC38CA,新城段,.01,都市：其他
RPTNMLQJPHNFFCC68DA,八德段,124.00,都市：住
RPTNMLQJPHNFFCC68DA,八德段,16.00,都市：其他
RPXNMLNKPHNFFCC98EA,碇內段碇內小段,10.58,都市：其他
RPXNMLNKPHNFFCC98EA,源遠段,31.58,都市：住
RPXNMLOJPHNFFCC98EA,西定段,26.22,都市：其他
RPXNMLOJPHNFFCC98EA,西定段,1.33,都市：其他
RPXNMLOJPHNFFCC98EA,西定段,.56,都市：其他
RPXNMLOJPHNFFBC68CA,延平段,3.20,都市：商
RPRNMLQLPHNFFBC48CA,港濱段,27.93,都市：住
RPXNMLOJPHNFFBC68CA,延平段,.01,都市：商
RPRNMLQLPHNFFBC48CA,港濱段,.19,都市：其他
RPRNMLQLPHNFFBC48CA,港濱段,.58,都市：其他
RPTOMLNLPHNFFCC78EA,過港段,21.55,都市：住
RPPNMLPJPHNFFCC08CA,明德段,30.25,都市：住
RPQOMLRKPHNFFBC48CA,深澳段,26.41,都市：住
RPPNMLLKPHNFFCC77CA,大德段,26.43,都市：住
RPSNMLNKPHNFFCC28CA,碇內段溪西股小段,15.91,都市：其他
RPSNMLNKPHNFFCC28CA,碇內段溪西股小段,16.74,都市：其他
RPSNMLNKPHNFFCC28CA,碇內段溪西股小段,16.74,都市：其他
RPRNMLNKPHNFFCC18CA,大德段,24.00,都市：住
RPSNMLNKPHNFFCC28CA,碇內段溪西股小段,16.74,都市：其他
RPRNMLNKPHNFFCC18CA,大德段,14.00,都市：其他
RPTNMLOJPHNFFBC28CA,光明段,28.54,都市：住
RPPNMLOKPHNFFBC97CA,中濱段,33.73,都市：住
RPRNMLPJPHNFFBC18CA,東信段一小段,13.00,都市：商
RPRNMLPJPHNFFBC18CA,東信段一小段,13.00,都市：商
RPTNMLOKPHNFFBC38CA,培德段,18.81,都市：住
RPQNMLOKPHNFFBC08CA,福祿段,21.64,都市：住
RPQNMLPJPHNFFBC08CA,長潭段,.55,都市：住
RPQNMLPJPHNFFBC08CA,長潭段,5.52,都市：住
RPVNMLQJPHNFFBC68CA,中濱段,7.83,都市：商
RPWNMLQJPHNFFBC78CA,光明段,68.00,都市：住
RPVNMLQJPHNFFBC68CA,中濱段,3.33,都市：商
RPVNMLQJPHNFFBC68CA,中濱段,.33,都市：其他
RPVNMLQJPHNFFBC68CA,中濱段,1.83,都市：其他
RPSNMLTJPHNFFCC78CA,新城段,.05,都市：住
RPSNMLTJPHNFFCC78CA,新城段,.01,都市：住
RPSNMLTJPHNFFCC78CA,新城段,.18,都市：其他
RPSNMLTJPHNFFCC78CA,新城段,.00,都市：住
RPSNMLTJPHNFFCC78CA,新城段,7.11,都市：住
RPSNMLTJPHNFFCC78CA,新城段,3.03,都市：住
RPSNMLTJPHNFFCC78CA,新城段,3.19,都市：其他
RPSNMLTJPHNFFCC78CA,新城段,27.10,都市：住
RPSNMLTJPHNFFCC78CA,新城段,7.86,都市：其他
RPSNMLTJPHNFFCC78CA,新城段,.03,都市：其他
RPSNMLTJPHNFFCC78CA,新城段,.01,都市：住
RPPNMLPLPHNFFBC18CA,調和段,15.19,都市：住
RPROMLPJPHNFFCC38CA,源遠段,29.50,都市：住
RPRNMLOLPHNFFBC38DA,調和段,21.12,都市：住
RPTNMLMKPHNFFCC48EA,鶯歌石段石厝坑小段,238.25,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJPHNFFCC18CA,源遠段,.59,都市：住
RPRNMLKMPHNFFBC08DA,長潭段,2.13,都市：住
RPRNMLKMPHNFFBC08DA,長潭段,21.28,都市：住
RPTNMLNLPHNFFCC48CA,暖暖段東勢坑小段,439.00,非都市：森林區 ; 非都市編定：丙種建築用地
RPPNMLPKPHNFFCC18CA,源遠段,21.12,都市：住
RPSNMLNJPHNFFCC18CA,友蚋段港口小段,76.74,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLMJPHNFFCC97CA,代天府段,.84,都市：住
RPQOMLMJPHNFFCC97CA,代天府段,25.61,都市：住
RPQOMLMJPHNFFCC97CA,代天府段,.07,都市：住
RPRNMLOKPHNFFBC18CA,港濱段,124.91,都市：住
RPRNMLOKPHNFFBC18CA,港濱段,.59,都市：其他
RPQNMLPKPHNFFCC28CA,麥金段,34.03,都市：住
RPTNMLQKPHNFFCC68CA,大武崙段內寮小段,27.98,都市：其他
