編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPXNMLNKPHNFFCC98EA,坡道平面,0,
RPRNMLQLPHNFFBC48CA,坡道平面,0,32.94
RPPNMLLKPHNFFCC77CA,坡道平面,0,
RPQOMLRKPHNFFBC48CA,坡道平面,0,
RPPNMLOKPHNFFBC97CA,坡道平面,900000,37.67
RPROMLPJPHNFFCC38CA,坡道平面,0,32.04
RPRNMLOLPHNFFBC38DA,坡道平面,0,
RPRNMLOJPHNFFCC18CA,坡道平面,1400000,37.06
RPRNMLKMPHNFFBC08DA,坡道平面,0,
RPSNMLNJPHNFFCC18CA,坡道平面,0,
RPSNMLNJPHNFFCC18CA,坡道平面,0,
RPRNMLPKPHNFFCC38CA,坡道平面,0,
RPPOMLKLPHNFFCC08EA,坡道平面,0,
RPUNMLNLPHNFFCC58CA,坡道平面,1500000,15.87
RPUNMLNLPHNFFCC58CA,坡道平面,1500000,15.87
RPUNMLNJQHNFFBC58EA,坡道平面,0,
RPPNMLLJQHNFFCC77CA,坡道平面,0,28.94
RPRNMLRLPHNFFCC68CA,坡道機械,0,
RPRNMLTJPHNFFCC68CA,坡道平面,0,
RPTNMLLKPHNFFBC08CA,坡道平面,0,
RPXNMLMKPHNFFBC58CA,坡道平面,0,24.17
RPTNMLTJPHNFFCC88CA,坡道平面,0,
RPOOMLNLPHNFFCC08CA,坡道平面,1400000,15.87
RPXNMLNLPHNFFCC88CA,坡道平面,1300000,15.87
RPSOMLLMPHNFFCC38CA,坡道平面,0,
RPVNMLNLPHNFFCC68CA,坡道平面,1300000,15.87
RPWNMLNLPHNFFCC78CA,坡道平面,1300000,13.47
RPQNMLLKPHNFFCC87CA,坡道平面,0,
RPRNMLLKPHNFFBC87CA,一樓平面,0,
RPRNMLPKPHNFFBC28CA,坡道平面,0,
RPTNMLNLPHNFFBC38CA,坡道平面,1200000,35.96
RPVNMLOKPHNFFBC58CA,坡道平面,0,
RPRNMLNLPHNFFBC18CA,坡道平面,950000,31.21
RPUNMLLKPHNFFCC28CA,升降機械,0,10.72
