鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
新營區,房地(土地+建物),臺南市新營區新東里10鄰東昌街56巷1~30號,78.2,住,,,1070531,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,0951208,143.81,4,2,3,有,無,5800000,40331,,0.0,0,,RPTNMLMJPHNFFDD38CA
下營區,土地,下營段3091~3120地號,1700.0,,特定農業區,農牧用地,1070613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2210000,1300,,0.0,0,,RPUNMLPJPHNFFFD98CA
官田區,土地,拔子林段241~270地號,1126.0,,一般農業區,農牧用地,1070620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,977,,0.0,0,,RPQNMLNJPHNFFFD38CA
下營區,土地,大屯寮段571~600地號,330.25,,鄉村區,乙種建築用地,1070611,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,379875,1150,,0.0,0,1.承租人購買2.增值稅及其他相關費用由承買人支付,RPRNMLNJPHNFFFD48CA
六甲區,土地,林鳳營段1021~1050地號,4656.0,,特定農業區,農牧用地,1070608,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,1224,,0.0,0,,RPSNMLOJPHNFFFD68CA
下營區,土地,營平段901~930地號,53.21,住,,,1070702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1126300,21167,,0.0,0,,RPTNMLOJPHNFFFD78CA
白河區,房地(土地+建物),臺南市白河區中山路61~90號,91.0,商,,,1070620,土地4建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住商用,鋼筋混凝土造,0540401,101.25,4,2,2,有,無,7800000,77037,,0.0,0,,RPQNMLSKPHNFFED88CA
下營區,土地,十六甲段331~360地號,330.0,住,,,1070612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,20000,,0.0,0,,RPTNMLPJPHNFFFD88CA
麻豆區,土地,海埤段901~930地號,135.31,住,,,1070408,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3358400,24820,,0.0,0,,RPRNMLQLPHNFFFD98CA
六甲區,房地(土地+建物),臺南市六甲區龍湖里和平街181~210號,5714.0,工,,,1070518,土地2建物2車位0,一層，二層,二層,廠辦,見其他登記事項,見其他登記事項,1031211,1511.12,0,0,0,無,無,89800000,59426,,0.0,0,,RPSNMLKMPHNFFFD58CA
佳里區,土地,子龍段571~600地號,183.79,,特定農業區,農牧用地,1070622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,3265,,0.0,0,共有人承受,RPRNMLOJPHNFFGD68CA
鹽水區,土地,番子厝段3451~3480地號,4534.0,,特定農業區,農牧用地,1070427,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6800000,1500,,0.0,0,,RPTNMLKLPHNFFDD38CA
新營區,房地(土地+建物),臺南市新營區府西路181巷1~30號,90.92,住,,,1070518,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1070213,180.12,5,2,3,有,無,8500000,47191,,0.0,0,,RPRNMLOLPHNFFDD58CA
柳營區,房地(土地+建物),臺南市柳營區士賢街211~240號,84.54,住,,,1070614,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070504,177.38,3,2,2,有,無,7080000,39914,,0.0,0,,RPTNMLOLPHNFFDD78CA
柳營區,房地(土地+建物),臺南市柳營區士賢街211~240號,74.98,住,,,1070607,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070504,166.22,3,2,2,有,無,6460000,38864,,0.0,0,,RPVNMLOLPHNFFDD98CA
東山區,土地,吉貝耍段931~960地號,2100.0,,特定農業區,農牧用地,1070625,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2583000,1230,,0.0,0,,RPPNMLOJPHNFFED28CA
東山區,土地,頂窩段1081~1110地號,1010.0,,特定農業區,農牧用地,1070619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,792,,0.0,0,,RPRNMLOJPHNFFED48CA
學甲區,土地,慈濟段241~270地號,146.51,住,,,1070605,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,5460,,0.0,0,,RPSNMLPJPHNFFGD88CA
學甲區,土地,興善段421~450地號,91.09,商,,,1070620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1850000,20310,,0.0,0,,RPQNMLRJPHNFFGD88CA
佳里區,房地(土地+建物),臺南市佳里區六安里安北路9巷1~30號,128.15,住,,,1070528,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070328,171.52,4,2,3,有,無,8620000,50257,,0.0,0,,RPSNMLTKPHNFFGD76CA
新化區,土地,崙子頂段571~600地號,147.01,,鄉村區,乙種建築用地,1070616,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1960000,13332,,0.0,0,,RPQNMLNJPHNFFHD58CA
善化區,土地,胡厝寮段91~120地號,5039.0,,一般農業區,農牧用地,1070516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6298750,1250,,0.0,0,,RPXNMLNJPHNFFHD66CA
