編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLMJPHNFFDD38CA,11,143.81,住家用,鋼筋混凝土構造,95年12月8日,三層,一層 二層 三層 屋頂突出物
RPSNMLKMPHNFFFD58CA,3,1420.75,見其他登記事項,見其他登記事項,103年12月11日,二層,一層 二層
RPSNMLKMPHNFFFD58CA,1,90.37,見其他登記事項,見其他登記事項,106年5月22日,一層,一層
RPTNMLOLPHNFFDD78CA,,177.38,住家用,鋼筋混凝土造,107年5月4日,三層,一層 二層 三層 屋頂突出物
RPQNMLSKPHNFFED88CA,53,101.25,住商用,鋼筋混凝土造,54年4月1日,二層,一層 二層 騎樓
RPVNMLOLPHNFFDD98CA,,166.22,住家用,鋼筋混凝土造,107年5月4日,三層,一層 二層 三層 屋頂突出物
RPRNMLOLPHNFFDD58CA,,180.12,住家用,鋼筋混凝土構造,107年2月13日,三層,一層 二層 三層 屋頂突出物
RPOOMLNJPHNFFHD48CA,,227.75,見其他登記事項,鋼筋混凝土構造,107年2月27日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLTKPHNFFGD76CA,,171.52,見其他登記事項,鋼筋混凝土造,107年3月28日,三層,一層 二層 三層 屋頂突出物
RPPOMLNJPHNFFHD58CA,,227.75,見其他登記事項,鋼筋混凝土構造,107年2月27日,四層,一層 二層 三層 四層 屋頂突出物
RPVNMLLJQHNFFID09CA,33,152.26,住家用,鋼筋混凝土造,74年9月5日,三層,一層 二層 三層 騎樓
RPUNMLNJPHNFFID09CA,,248.03,住家用,見其他登記事項,107年1月2日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLTJQHNFFID66CA,1,252.30,見其他登記事項,見其他登記事項,106年6月9日,四層,一層 二層 三層 四層 騎樓
RPUNMLLMPHNFFID56CA,1,18.21,見其他登記事項,見其他登記事項,106年3月7日,六層,
RPUOMLMJPHNFFID09CA,,241.47,住家用,見其他登記事項,107年1月2日,四層,一層 二層 三層 四層 屋頂突出物
RPUNMLNLPHNFFID66CA,1,160.90,住家用,見其他登記事項,106年9月30日,三層,一層 二層 三層 屋頂突出物
RPWNMLRJPHNFFKD27CA,6,114.92,見其他登記事項,見其他登記事項,101年3月20日,十四層,六層
RPWNMLRJPHNFFKD27CA,6,70.91,見其他登記事項,見其他登記事項,101年3月20日,十四層,
RPXOMLNJPHNFFKD07CA,25,71.23,住家用,鋼筋混凝土造,82年8月24日,十六層,五層
RPXOMLNJPHNFFKD07CA,25,13.55,共有部分,鋼筋混凝土造,82年8月24日,十六層,
RPXOMLNJPHNFFKD07CA,25,1.55,共有部分,鋼筋混凝土造,82年8月24日,見其他登記事項,
RPSNMLTJPHNFFKD07CA,23,80.81,住家用,鋼筋混凝土造,84年1月23日,八層,四層
RPSNMLTJPHNFFKD07CA,23,26.66,共有部分,鋼筋混凝土造,84年1月23日,八層,
RPSNMLTJPHNFFKD07CA,23,1.09,見其他登記事項,鋼筋混凝土造,84年1月23日,八層,
RPSNMLTJPHNFFKD07CA,23,.04,共有部分,鋼筋混凝土造,84年1月23日,八層,
RPSNMLTJPHNFFKD07CA,23,23.87,共有部分,鋼筋混凝土造,84年1月23日,八層,
RPSNMLTJPHNFFKD07CA,23,17.62,共有部分,鋼筋混凝土造,84年1月23日,八層,
RPXOMLQKPHNFFKD47CA,22,18.09,住家用,鋼筋混凝土造,85年1月30日,七層,五層
RPXOMLQKPHNFFKD47CA,22,9.50,共有部分,鋼筋混凝土造,85年1月30日,七層,
RPPNMLTJPHNFFID56CA,25,91.77,住家用,鋼筋混凝土構造,82年5月6日,八層,三層
RPPNMLTJPHNFFID56CA,25,28.15,見其他登記事項,鋼筋混凝土構造,82年5月6日,八層,
RPPNMLKKPHNFFKD58CA,25,72.39,住家用,鋼筋混凝土造,82年6月10日,七層,四層
RPPNMLKKPHNFFKD58CA,25,7.28,共有部分,鋼筋混凝土造,82年6月10日,七層,
RPPNMLKKPHNFFKD58CA,25,20.47,共有部分,鋼筋混凝土造,82年6月10日,七層,
RPQNMLPJPHNFFKD09CA,1,57.94,住家用,見其他登記事項,106年11月14日,十六層,九層
RPQNMLPJPHNFFKD09CA,1,52.00,見其他登記事項,見其他登記事項,106年11月14日,十六層,
RPXNMLKKPHNFFKD76CA,24,170.57,住商用,鋼筋混凝土造,82年12月30日,九層,一層 二層 三層 騎樓
RPXNMLKKPHNFFKD76CA,24,35.80,共有部分,鋼筋混凝土造,82年12月30日,九層,
RPTNMLNJPHNFFCD38CA,34,82.28,住家用,鋼筋混凝土造,73年1月11日,五層,五層
RPTNMLNJPHNFFCD38CA,34,8.77,共有部分,鋼筋混凝土造,73年1月11日,五層,
RPTNMLNJPHNFFCD38CA,34,8.99,共有部分,鋼筋混凝土造,73年1月11日,五層,
RPPNMLOJPHNFFCD08CA,24,424.97,住商用,鋼筋混凝土造,83年11月4日,五層,一層 二層 三層 四層 五層 騎樓
RPRQMLMKPHNFFKD66CA,24,98.50,住家用,鋼筋混凝土造,83年1月22日,七層,五層
RPRQMLMKPHNFFKD66CA,24,28.73,共有部分,鋼筋混凝土造,83年1月22日,七層,
RPRNMLOJPHNFFCD28CA,35,87.02,見其他登記事項,鋼筋混凝土造,72年4月22日,五層,四層
RPRNMLOJPHNFFCD28CA,35,6.23,共有部分,鋼筋混凝土造,72年4月22日,五層,
