編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPTNMLOJPHNFFFD78CA,營平段,26.60,都市：住
RPTNMLOJPHNFFFD78CA,營平段,26.60,都市：住
RPTNMLPJPHNFFFD88CA,十六甲段,330.00,都市：住
RPRNMLQLPHNFFFD98CA,海埤段,80.94,都市：住
RPRNMLQLPHNFFFD98CA,大山段,54.37,都市：其他
RPQNMLNJPHNFFFD38CA,拔子林段,1126.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLMJPHNFFDD38CA,新東段,15.03,都市：住
RPTNMLMJPHNFFDD38CA,新東段,62.03,都市：住
RPTNMLMJPHNFFDD38CA,新東段,1.14,都市：住
RPRNMLOJPHNFFGD68CA,子龍段,183.79,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLKLPHNFFDD38CA,番子厝段,2175.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLKLPHNFFDD38CA,番子厝段,2359.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNJPHNFFFD48CA,大屯寮段,303.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNJPHNFFFD48CA,大屯寮段,27.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOJPHNFFED28CA,吉貝耍段,2100.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLPJPHNFFGD88CA,文衡段,.27,都市：其他
RPSNMLPJPHNFFGD88CA,文衡段,9.41,都市：住
RPSNMLPJPHNFFGD88CA,文衡段,8.62,都市：其他
RPSNMLPJPHNFFGD88CA,文衡段,2.21,都市：住
RPSNMLPJPHNFFGD88CA,慈濟段,4.53,都市：其他
RPSNMLPJPHNFFGD88CA,慈濟段,18.01,都市：其他
RPSNMLPJPHNFFGD88CA,慈濟段,96.90,都市：住
RPSNMLPJPHNFFGD88CA,慈濟段,6.49,都市：其他
RPSNMLPJPHNFFGD88CA,慈濟段,.06,都市：其他
RPSNMLKMPHNFFFD58CA,二甲段,4295.00,都市：工
RPSNMLKMPHNFFFD58CA,二甲段,1419.00,都市：工
RPTNMLOLPHNFFDD78CA,士林段,84.54,都市：住
RPRNMLOJPHNFFED48CA,頂窩段,1010.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOJPHNFFFD68CA,林鳳營段,1358.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOJPHNFFFD68CA,林鳳營段,1649.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOJPHNFFFD68CA,林鳳營段,1649.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLSKPHNFFED88CA,中興段,10.00,都市：商
