編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPUNMLLMPHNFFID56CA,坡道平面,800000,18.21
RPSNMLTJPHNFFKD07CA,坡道平面,0,
RPPNMLTJPHNFFID56CA,坡道平面,0,
RPQNMLPJPHNFFKD09CA,坡道平面,0,
RPWNMLPJPHNFFCD88CA,坡道平面,0,24.43
RPQNMLOLPHNFFAD18CA,坡道平面,1000000,29.39
RPTOMLKLPHNFFAD18CA,坡道平面,0,24.80
RPOOMLPJPHNFFCD18CA,坡道平面,0,22.79
RPWNMLOLPHNFFBD88CA,升降平面,750000,29.26
RPQPMLRLPHNFFKD07CA,坡道平面,850000,38.58
RPQOMLRLPHNFFAD68DA,坡道平面,0,
RPUNMLQJPHNFFGD66DA,升降機械,0,7.37
RPXOMLOJPHNFFAD88DA,坡道平面,0,26.53
RPVPMLOJPHNFFAD68CA,坡道平面,0,
RPPPMLRKPHNFFCD68CA,坡道平面,0,38.56
RPQPMLSLPHNFFCD98CA,坡道平面,1350000,
RPRPMLSLPHNFFCD09CA,坡道平面,1150000,
RPSPMLSLPHNFFCD56CA,坡道平面,1150000,
RPTPMLSLPHNFFCD66CA,坡道平面,1200000,
RPUNMLNKPHNFFKD76CA,坡道機械,0,
RPPPMLSLPHNFFCD88CA,坡道平面,1100000,
RPVSMLQJPHNFFKD57CA,坡道平面,900000,27.73
RPTOMLKKPHNFFKD09CA,坡道平面,0,
RPSNMLLLPHNFFHD78CA,坡道平面,0,33.77
RPOOMLOLPHNFFHD78CA,一樓平面,0,
RPOOMLOLPHNFFHD78CA,一樓平面,0,
RPRNMLRJPHNFFID56CA,坡道平面,0,
RPPNMLPJPHNFFKD98CA,坡道平面,0,
RPUSMLQJPHNFFKD47CA,坡道平面,900000,27.73
RPRPMLQJPHNFFKD86CA,坡道平面,0,
RPVPMLSLPHNFFCD86CA,坡道平面,1200000,
RPUPMLSLPHNFFCD76CA,坡道平面,1300000,
RPUQMLSLPHNFFCD86CA,坡道平面,1250000,
RPVPMLPLPHNFFCD56CA,一樓平面,0,
RPQQMLSLPHNFFCD09CA,坡道平面,1300000,
RPXPMLSLPHNFFCD07CA,坡道平面,1200000,
RPSQMLSLPHNFFCD66CA,坡道平面,1100000,
RPTQMLSLPHNFFCD76CA,坡道平面,1350000,
RPSNMLPLPHNFFCD68CA,坡道平面,680000,29.01
RPSPMLPLPHNFFCD88CA,坡道平面,680000,29.01
