鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區明誠三路451~480號,8.09,商,,,1070601,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950626,78.42,2,1,1,有,有,5780000,73706,,0.0,0,,RPTNMLMJPHNFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路931~960號,12.9,住,,,1070501,土地1建物1車位2,十九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840503,193.25,4,2,2,有,有,8100000,41915,坡道機械,0.0,0,,RPSNMLOJPHNFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華豐街121~150號,16.94,住,,,1070601,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910701,125.56,3,2,2,有,有,6450000,51370,坡道機械,0.0,0,,RPSOMLOJPHNFFAE38CA
前金區,房地(土地+建物)+車位,高雄市前金區市中一路91~120號,5.69,商,,,1070601,土地1建物1車位0,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910618,108.81,2,1,1,有,有,5500000,50547,坡道平面,0.0,0,,RPPNMLRJPHNFFAE28CA
鹽埕區,建物,高雄市鹽埕區新樂街211~240號,0.0,,,,1070601,土地0建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810918,134.68,3,2,2,有,有,3270000,24280,,0.0,0,,RPPNMLSJPHNFFAE38CA
前金區,房地(土地+建物),高雄市前金區大同二路1~30號,46.0,商,,,1070501,土地1建物1車位0,全,三層,透天厝,,加強磚造,0600617,126.2,4,3,4,有,無,10550000,83597,,0.0,0,含增建或未登記建物。,RPQNMLSJPHNFFAE48CA
前金區,房地(土地+建物),高雄市前金區中山橫路121~150號,6.98,商,,,1070601,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980217,79.28,3,2,2,有,有,4320000,54490,,0.0,0,,RPQNMLKKPHNFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區民康街211~240號,18.37,住,,,1070501,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950511,141.18,3,2,2,有,無,7600000,53832,坡道平面,23.14,0,,RPQOMLLKPHNFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區鼓山三路1~30號,15.46,住,,,1070601,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000624,107.22,3,1,1,有,有,5200000,48498,坡道機械,0.0,0,,RPRPMLMKPHNFFAE28CA
前金區,房地(土地+建物),高雄市前金區八德二路211~240號,39.14,住,,,1070501,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730522,126.72,3,2,2,有,無,3000000,23674,,0.0,0,,RPSNMLNKPHNFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路151~180號,9.54,商,,,1070501,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950809,92.49,2,1,1,有,有,5450000,58925,坡道機械,11.82,0,,RPTOMLRKPHNFFAE88CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區瑞豐街1~30號,43.68,住,,,1070501,土地1建物1車位1,九層，十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770419,245.98000000000002,3,1,2,有,有,9050000,36792,坡道平面,0.0,0,,RPTOMLTKPHNFFAE09CA
