編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLOJPHNFFAE38CA,16,82.34,住家用,鋼筋混凝土造,91年7月1日,十四層,十一層
RPSOMLOJPHNFFAE38CA,16,43.22,共有部分,鋼筋混凝土造,91年7月1日,十四層,
RPTNMLMJPHNFFAE18CA,12,52.92,住家用,鋼筋混凝土造,95年6月26日,十五層,十三層
RPTNMLMJPHNFFAE18CA,12,25.50,共有部分,鋼筋混凝土造,95年6月26日,十五層,
RPSNMLNKPHNFFAE28CA,34,106.66,,鋼筋混凝土造,73年5月22日,五層,三層
RPSNMLNKPHNFFAE28CA,34,20.06,,鋼筋混凝土造,73年5月22日,五層,
RPRPMLMKPHNFFAE28CA,7,57.63,住家用,鋼筋混凝土造,100年6月24日,十層,二層
RPRPMLMKPHNFFAE28CA,7,49.59,見其它登記事項,鋼筋混凝土造,100年6月24日,十層,
RPPNMLSJPHNFFAE38CA,26,33.75,見使用執照,鋼筋混凝土造,81年9月18日,十五層,
RPPNMLSJPHNFFAE38CA,26,100.93,住家用,鋼筋混凝土造,81年9月18日,十五層,十五層
RPQNMLKKPHNFFAE77CA,9,51.64,住家用,鋼筋混凝土造,98年2月17日,十五層,二層
RPQNMLKKPHNFFAE77CA,9,27.64,共有部分,鋼筋混凝土造,98年2月17日,十五層,
RPQOMLLKPHNFFAE97CA,12,83.36,住家用,鋼筋混凝土造,95年5月11日,十一層,十一層
RPQOMLLKPHNFFAE97CA,12,57.82,共有部分,鋼筋混凝土造,95年5月11日,十一層,
RPSNMLOJPHNFFAE28CA,23,114.61,住家用,鋼筋混凝土造,84年5月3日,二十二層,十九層
RPSNMLOJPHNFFAE28CA,23,78.64,見使用執照,鋼筋混凝土造,84年5月3日,二十二層,
RPQNMLSJPHNFFAE48CA,47,126.20,,加強磚造,60年6月17日,三層,一層 二層 三層 騎樓 地下層
RPTOMLTKPHNFFAE09CA,30,175.52,住家用,鋼筋混凝土造,77年4月19日,十層,九層 十層
RPTOMLTKPHNFFAE09CA,30,70.46,見使用執照,鋼筋混凝土造,77年4月19日,十層,
RPPNMLRJPHNFFAE28CA,16,48.11,住家用,鋼筋混凝土造,91年6月18日,二十二層,二十一層
RPPNMLRJPHNFFAE28CA,16,60.70,共有部分,鋼筋混凝土造,91年6月18日,二十二層,
RPQPMLKMPHNFFAE18CA,35,29.63,,鋼筋混凝土造,72年2月23日,十二層,八層
RPQPMLKMPHNFFAE18CA,35,7.13,,鋼筋混凝土造,72年2月23日,十二層,
RPTOMLRKPHNFFAE88CA,12,54.98,住家用,鋼筋混凝土造,95年8月9日,十五層,十一層
RPTOMLRKPHNFFAE88CA,12,37.51,共有部分,鋼筋混凝土造,95年8月9日,十五層,
RPUOMLTKPHNFFAE56CA,38,79.46,,鋼筋混凝土造,69年7月16日,五層,一層
RPTNMLMKPHNFFBE38CA,33,75.96,,鋼筋混凝土造,74年1月12日,四層,一層
RPTNMLMKPHNFFBE38CA,33,14.91,,鋼筋混凝土造,74年1月12日,四層,
RPSNMLMKPHNFFBE28CA,30,99.28,,鋼筋混凝土造,77年5月3日,五層,二層
RPSNMLMKPHNFFBE28CA,30,16.26,,鋼筋混凝土造,77年5月3日,五層,
RPTOMLPLPHNFFBE88CA,,162.18,見其他登記事項,鋼筋混凝土造,107年3月15日,十五層,十二層
RPTOMLPLPHNFFBE88CA,,96.35,共有部分,鋼筋混凝土造,107年3月15日,十五層,
RPROMLPLPHNFFBE68CA,2,145.19,住家用,鋼筋混凝土造,105年6月17日,十五層,十三層
RPROMLPLPHNFFBE68CA,2,138.02,共有部分,鋼筋混凝土造,105年6月17日,十五層,
RPPOMLPLPHNFFBE48CA,,147.41,見其他登記事項,鋼筋混凝土造,107年3月15日,十五層,十五層
RPPOMLPLPHNFFBE48CA,,89.25,共有部分,鋼筋混凝土造,107年3月15日,十五層,
RPPNMLNJPHNFFCE08CA,34,79.45,,鋼筋混凝土造,73年6月13日,五層,五層
RPXOMLOJPHNFFCE09CA,41,49.99,,鋼筋混凝土造,66年2月2日,六層,五層
RPWOMLNJPHNFFCE88CA,12,103.74,住家用,鋼筋混凝土造,95年3月14日,十四層,八層
RPWOMLNJPHNFFCE88CA,12,69.35,共有部份,鋼筋混凝土造,95年3月14日,十四層,
RPQNMLNJPHNFFCE18CA,3,274.02,住家用,鋼筋混凝土造,103年11月21日,四層,一層 二層 三層 四層
RPOQMLNKPHNFFCE38CA,34,93.50,,鋼筋混凝土造,72年12月14日,五層,四層
RPSNMLOJPHNFFCE48CA,38,106.28,,加強磚造,69年6月18日,二層,一層 二層 騎樓
RPXNMLPJPHNFFCE09CA,24,74.81,住家用,鋼筋混凝土造,83年7月29日,七層,七層
RPXNMLPJPHNFFCE09CA,24,36.45,見使用執照,鋼筋混凝土造,83年7月29日,七層,
RPOOMLMKPHNFFCE08CA,2,355.47,見其它登記事項,鋼筋混凝土造,105年2月4日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPWNMLMKPHNFFCE78CA,3,118.48,見其它登記事項,鋼筋混凝土造,104年10月14日,十五層,一層 夾層
RPWNMLMKPHNFFCE78CA,3,45.01,見其它登記事項,鋼筋混凝土造,104年10月14日,十五層,
RPPOMLLKPHNFFCE08CA,12,86.87,住家用,鋼筋混凝土造,95年3月2日,十五層,八層
RPPOMLLKPHNFFCE08CA,12,61.83,住商用,鋼筋混凝土造,95年3月2日,十五層,
RPRNMLOJPHNFFDE48CA,26,38.20,住家用,鋼筋混凝土造,81年11月18日,七層,三層
RPRNMLOJPHNFFDE48CA,26,38.20,住家用,鋼筋混凝土造,81年11月18日,七層,三層
RPRNMLOJPHNFFDE48CA,26,10.80,見使用執照,鋼筋混凝土造,81年11月18日,七層,
RPRNMLOJPHNFFDE48CA,26,10.80,見使用執照,鋼筋混凝土造,81年11月18日,七層,
RPPPMLPJPHNFFDE58CA,6,55.82,住家用,鋼筋混凝土造,101年9月27日,十五層,三層
RPPPMLPJPHNFFDE58CA,6,29.64,共有部分,鋼筋混凝土造,101年9月27日,十五層,
RPWOMLQLPHNFFCE76CA,3,386.16,住家用,鋼筋混凝土造,104年2月6日,五層,一層 二層 三層 四層 五層 騎樓
RPOOMLPJPHNFFDE38CA,5,67.06,住家用,鋼筋混凝土造,102年4月29日,十一層,六層
RPOOMLPJPHNFFDE38CA,5,34.90,共有部分,鋼筋混凝土造,102年4月29日,十一層,
RPRNMLKLPHNFFCE18CA,1,78.42,見其它登記事項,鋼筋混凝土造,106年8月29日,十五層,四層
RPRNMLKLPHNFFCE18CA,1,58.91,見其它登記事項,鋼筋混凝土造,106年8月29日,十五層,
RPWNMLKKPHNFFDE68CA,25,80.40,住家用,鋼筋混凝土造,82年11月26日,二十層,十三層
RPWNMLKKPHNFFDE68CA,25,56.03,見使用執照,鋼筋混凝土造,82年11月26日,二十層,
RPROMLPJPHNFFDE68CA,13,98.16,住家用,鋼筋混凝土造,94年3月9日,十五層,八層
RPROMLPJPHNFFDE68CA,13,34.89,見其它登記事項,鋼筋混凝土造,94年3月9日,十五層,
RPVOMLNKPHNFFDE98CA,21,46.16,住家用,鋼筋混凝土造,86年7月9日,十四層,二層
RPVOMLNKPHNFFDE98CA,21,46.16,住家用,鋼筋混凝土造,86年7月9日,十四層,二層
RPVOMLNKPHNFFDE98CA,21,24.89,見使用執照,鋼筋混凝土造,86年7月9日,十四層,
RPVOMLNKPHNFFDE98CA,21,24.89,見使用執照,鋼筋混凝土造,86年7月9日,十四層,
RPUOMLTJPHNFFDE76CA,38,81.68,,鋼筋混凝土造,69年5月13日,五層,三層
RPUNMLQKPHNFFDE09CA,34,105.73,,加強磚造,73年11月26日,二層,一層 二層 屋頂突出物
RPSNMLRKPHNFFDE98CA,20,84.20,住家用,鋼筋混凝土造,87年11月2日,十四層,八層
RPSNMLRKPHNFFDE98CA,20,56.91,見使用執照,鋼筋混凝土造,87年11月2日,十四層,
