編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPSOMLOJPHNFFAE38CA,龍華段一小段,16.94,都市：住
RPTNMLMJPHNFFAE18CA,龍中段,8.09,都市：商
RPSNMLNKPHNFFAE28CA,東金段,39.14,都市：住
RPRPMLMKPHNFFAE28CA,內惟段八小段,15.46,都市：住
RPQNMLKKPHNFFAE77CA,前金段,6.98,都市：商
RPQOMLLKPHNFFAE97CA,龍華段二小段,18.37,都市：住
RPQNMLOJPHNFFBE18CA,新興段二小段,34.00,都市：其他
RPSNMLOJPHNFFAE28CA,內惟段四小段,12.90,都市：住
RPQNMLSJPHNFFAE48CA,前金段,46.00,都市：商
RPTOMLTKPHNFFAE09CA,龍華段二小段,43.68,都市：住
RPPNMLRJPHNFFAE28CA,博孝段,5.69,都市：商
RPQPMLKMPHNFFAE18CA,東金段,.18,都市：商
RPTOMLRKPHNFFAE88CA,龍中段,9.54,都市：商
RPUOMLTKPHNFFAE56CA,內惟段一小段,28.00,都市：住
RPTNMLMKPHNFFBE38CA,正德段,26.52,都市：住
RPTNMLMKPHNFFBE38CA,正德段,13.87,都市：商
RPSNMLMKPHNFFBE28CA,林興段,24.03,都市：住
RPSNMLMKPHNFFBE28CA,林興段,.09,都市：住
RPOOMLLMPHNFFBE08CA,福裕段,53.00,都市：商
RPOOMLLMPHNFFBE08CA,福裕段,46.00,都市：商
RPOOMLLMPHNFFBE08CA,福裕段,46.00,都市：商
RPOOMLLMPHNFFBE08CA,福裕段,46.00,都市：商
RPOOMLLMPHNFFBE08CA,福裕段,46.00,都市：商
RPOOMLLMPHNFFBE08CA,福裕段,46.00,都市：商
RPOOMLLMPHNFFBE08CA,福裕段,46.00,都市：商
RPOOMLLMPHNFFBE08CA,福裕段,54.00,都市：商
RPTOMLPLPHNFFBE88CA,林德官段一小段,8.12,都市：商
RPTOMLPLPHNFFBE88CA,林德官段一小段,8.27,都市：商
RPROMLPLPHNFFBE68CA,新興段四小段,18.51,都市：商
RPPOMLPLPHNFFBE48CA,林德官段一小段,7.44,都市：商
RPPOMLPLPHNFFBE48CA,林德官段一小段,7.57,都市：商
RPPOMLPLPHNFFBE48CA,林德官段一小段,.12,都市：商
RPPNMLNJPHNFFCE08CA,店鎮段一小段,25.24,都市：商
RPXOMLOJPHNFFCE09CA,竹北段,12.96,都市：住
RPWOMLNJPHNFFCE88CA,獅甲段二小段,16.82,都市：商
RPQNMLNJPHNFFCE18CA,坪鳳段,172.55,都市：住
RPOQMLNKPHNFFCE38CA,店鎮段一小段,9.22,都市：商
RPOQMLNKPHNFFCE38CA,店鎮段一小段,6.66,都市：商
RPOQMLNKPHNFFCE38CA,店鎮段一小段,9.00,都市：商
RPSNMLOJPHNFFCE48CA,高鳳段,90.00,都市：住
RPXNMLPJPHNFFCE09CA,高松段一小段,17.61,都市：住
RPOOMLMKPHNFFCE08CA,愛群段,100.00,都市：商
RPWNMLMKPHNFFCE78CA,愛群段,20.24,都市：商
RPPOMLLKPHNFFCE08CA,憲德段二小段,13.39,都市：商
RPRNMLNLPHNFFCE48CA,坪鳳段,576.69,都市：住
