編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPSOMLOJPHNFFAE38CA,坡道機械,0,
RPRPMLMKPHNFFAE28CA,坡道機械,0,
RPQOMLLKPHNFFAE97CA,坡道平面,0,23.14
RPSNMLOJPHNFFAE28CA,坡道平面,0,
RPSNMLOJPHNFFAE28CA,坡道機械,0,
RPTOMLTKPHNFFAE09CA,坡道平面,0,
RPPNMLRJPHNFFAE28CA,坡道平面,0,
RPTOMLRKPHNFFAE88CA,坡道機械,0,11.82
RPTOMLPLPHNFFBE88CA,坡道平面,0,18.00
RPROMLPLPHNFFBE68CA,坡道機械,0,19.47
RPROMLPLPHNFFBE68CA,坡道平面,0,39.90
RPPOMLPLPHNFFBE48CA,坡道平面,0,18.00
RPPOMLLKPHNFFCE08CA,坡道平面,0,
RPRNMLKLPHNFFCE18CA,坡道機械,0,13.53
RPWNMLKKPHNFFDE68CA,坡道平面,0,
RPROMLPJPHNFFDE68CA,一樓平面,0,
RPVOMLNKPHNFFDE98CA,坡道平面,0,
RPSNMLRKPHNFFDE98CA,坡道平面,0,30.51
RPXOMLNJPHNFFEE56CA,坡道平面,0,19.41
RPXNMLOJPHNFFEE56CA,坡道平面,0,22.74
RPXNMLOJPHNFFEE56CA,坡道平面,0,12.13
RPXNMLOJPHNFFEE56CA,坡道平面,0,12.13
RPSNMLOJPHNFFEE68CA,坡道平面,0,
RPRQMLQJPHNFFEE09CA,坡道平面,0,24.07
RPRQMLQJPHNFFEE09CA,坡道平面,0,28.09
RPUNMLTJPHNFFEE76CA,坡道機械,0,12.62
RPTNMLLKPHNFFEE58CA,坡道平面,0,
RPSOMLTJPHNFFEE66CA,坡道機械,0,
RPTNMLKKPHNFFEE48CA,坡道平面,0,22.10
RPOPMLQJPHNFFEE68CA,坡道平面,0,29.75
RPUOMLLKPHNFFEE78CA,坡道平面,0,
RPRPMLQKPHNFFEE09CA,坡道機械,750000,29.27
RPVOMLNKPHNFFEE09CA,坡道平面,0,
RPVNMLPLPHNFFFE76CA,坡道平面,0,20.17
RPOOMLPJPHNFFFE58CA,坡道平面,0,
RPWNMLPLPHNFFFE86CA,坡道平面,0,20.17
RPRNMLNJPHNFFGE68CA,升降機械,0,
RPPNMLRLOHNFFAE68CD,坡道平面,0,
RPSNMLQLOHNFFDE56CD,坡道平面,0,
RPSNMLSLOHNFFDE76CD,坡道平面,0,23.24
RPRNMLSLOHNFFDE66CD,坡道平面,0,23.24
RPXNMLSLOHNFFDE27CD,坡道平面,0,30.40
RPTNMLOKOHNFFGE66CD,坡道平面,1170000,
RPVNMLOKOHNFFGE86CD,坡道平面,1140000,
RPUNMLOKOHNFFGE76CD,坡道平面,1080000,
RPQNMLSLOHNFFGE86CD,坡道平面,1750000,66.69
RPRNMLSLOHNFFGE96CD,坡道機械,0,12.30
RPQNMLSLOHNFFIE07CD,坡道平面,0,
RPQNMLOKOHNFFGE98CD,坡道平面,1020000,
RPUNMLSLOHNFFDE96CD,坡道平面,0,
RPPNMLSLOHNFFGE76CD,坡道平面,1300000,
RPPNMLSLNHNFFGE66CD,坡道平面,1300000,
RPPNMLMKOHNFFCE28CD,坡道平面,1050000,16.51
RPPNMLTLOHNFFAE88CD,坡道機械,0,
RPPNMLTLOHNFFAE88CD,坡道機械,0,
RPPNMLSLOHNFFAE78CD,坡道平面,0,
RPUNMLLKPHNFFBE48DA,坡道平面,0,
RPUNMLLKPHNFFBE48DA,坡道平面,0,
RPTPMLOKQHNFFEE66DA,坡道平面,1180000,17.81
RPSPMLOKQHNFFEE56DA,坡道平面,1280000,17.81
RPVPMLOKQHNFFEE86DA,坡道平面,1180000,17.81
RPUNMLPJPHNFFDE98DA,坡道平面,0,14.96
RPTOMLPJPHNFFGE56CA,坡道平面,0,
RPVNMLKMPHNFFFE98CA,坡道平面,1160000,24.91
RPSOMLNLPHNFFEE88CA,坡道平面,0,
RPQNMLLKPHNFFEE28CA,坡道平面,0,
RPQNMLLLPHNFFEE38CA,坡道機械,0,
RPSNMLKLPHNFFEE48CA,坡道平面,0,29.91
RPVNMLKLPHNFFEE78CA,坡道平面,0,29.91
RPUNMLLKPHNFFEE68CA,坡道平面,0,
RPPNMLQJPHNFFEE58CA,坡道平面,0,19.07
RPPPMLLKPHNFFEE38CA,坡道平面,1280000,17.81
RPTNMLQJPHNFFEE98CA,坡道機械,0,
RPUNMLKKPHNFFEE58CA,坡道機械,0,
RPQOMLPJPHNFFEE68CA,坡道機械,0,5.97
RPPOMLPJPHNFFEE58CA,坡道平面,0,16.50
RPOPMLNJPHNFFEE38CA,坡道平面,0,
RPWNMLPJPHNFFEE56CA,坡道機械,0,5.97
RPPPMLNJPHNFFEE48CA,坡道平面,0,
RPWOMLRLPHNFFDE96CA,坡道平面,0,34.69
RPWOMLRLPHNFFDE96CA,坡道平面,0,34.69
RPPNMLQLPHNFFDE68CA,一樓平面,0,
RPPNMLQLPHNFFDE68CA,一樓平面,0,
RPPQMLNKPHNFFCE48CA,坡道平面,0,16.87
RPPOMLQJPHNFFDE58CA,坡道機械,0,
RPOOMLKKPHNFFCE87CA,坡道機械,1200000,8.16
RPROMLKKPHNFFCE18CA,坡道平面,1750000,13.96
RPVOMLNJPHNFFCE78CA,坡道平面,1200000,23.61
RPQNMLPJPHNFFCE38CA,坡道平面,0,19.43
RPQNMLPJPHNFFCE38CA,坡道平面,0,19.43
RPVNMLPJPHNFFCE88CA,升降機械,0,
RPSOMLPLPHNFFBE78CA,坡道機械,0,14.85
RPSOMLKKPHNFFCE28CA,坡道機械,1000000,8.16
RPSOMLKMPHNFFBE38CA,坡道平面,0,17.67
RPSOMLKMPHNFFBE38CA,坡道平面,0,17.67
RPXNMLNKPHNFFBE88CA,坡道平面,0,
RPRNMLQLPHNFFAE58CA,坡道平面,0,19.89
RPRNMLQLPHNFFAE58CA,坡道平面,0,19.89
RPQOMLKKPHNFFBE97CA,坡道平面,0,
RPWNMLQJPHNFFAE88CA,坡道機械,0,
RPQOMLTJPHNFFAE68CA,坡道平面,0,25.70
RPROMLOJPHNFFAE28CA,坡道平面,0,18.99
RPTNMLPJPHNFFAE48CA,坡道平面,0,20.21
RPVNMLOJPHNFFAE58CA,坡道機械,0,11.78
RPTNMLKKPHNFFAE08CA,坡道平面,0,
RPVNMLTJPHNFFAE09CA,坡道平面,0,
RPUNMLKKPHNFFAE18CA,坡道平面,0,
RPTOMLTJPHNFFAE98CA,坡道平面,800000,23.28
RPWNMLNLPHNFFAE78CA,坡道平面,0,27.21
RPWNMLNLPHNFFAE78CA,坡道平面,0,27.21
RPTNMLLKPHNFFAE18CA,坡道平面,0,
RPPNMLQLPHNFFBE48CA,坡道平面,1000000,29.15
RPUOMLKMPHNFFBE58CA,坡道平面,0,17.67
RPQOMLLKPHNFFBE08CA,坡道平面,0,
RPVOMLKMPHNFFBE68CA,坡道平面,0,17.67
RPTOMLKMPHNFFBE48CA,坡道平面,0,17.67
RPQNMLLJQHNFFBE97CA,坡道平面,0,17.67
RPWNMLNKPHNFFCE88CA,坡道機械,0,
RPQPMLQJPHNFFDE78CA,坡道平面,0,23.83
RPROMLQJPHNFFDE78CA,坡道平面,0,
RPROMLQJPHNFFDE78CA,坡道機械,0,
RPQOMLKLPHNFFCE18CA,坡道機械,0,
RPTOMLQJPHNFFDE98CA,坡道平面,0,24.75
RPWNMLTJPHNFFDE86CA,坡道平面,0,
RPRPMLTJPHNFFDE56CA,坡道平面,0,33.12
