鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
板橋區,房地(土地+建物),新北市板橋區四川路二段241~270號,3.02,住,,,1070529,土地1建物1車位0,十層,十五層,套房(1房1廳1衛),住家用,鋼骨混凝土造,,28.77,0,0,0,無,有,2680000,93153,,0.0,0,,RPONNLMJPHNFFAF87CA
板橋區,房地(土地+建物),新北市板橋區文化路一段331~360號,2.52,住,,,1070601,土地1建物1車位0,五層,四十層,套房(1房1廳1衛),住家用,見其他登記事項,0990715,49.64,0,0,0,無,有,10800000,217566,,0.0,0,夾層增建。,RPRNNLMJPHNFFAF18CA
板橋區,房地(土地+建物),新北市板橋區縣民大道一段181~210號,6.83,商,,,1070601,土地2建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970808,86.34,3,1,1,有,有,15500000,179523,,0.0,0,,RPQNMLNJPHNFFAF08CA
板橋區,房地(土地+建物)+車位,新北市板橋區金門街271~300號,21.52,住,,,1070527,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981229,138.8,3,2,2,有,有,12600000,90778,坡道平面,21.5,0,,RPSNMLNJPHNFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,10.28,住,,,1070606,土地2建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,121.0,2,2,1,有,無,17400000,156425,坡道平面,22.87,2050000,本案尚未成立管理委員會.,RPROMLNJPHNFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區南雅南路二段91~120號,23.95,住,,,1070608,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000602,205.45,3,2,2,有,有,26080000,143519,坡道平面,36.97,1900000,,RPTOMLNJPHNFFAF48CA
板橋區,房地(土地+建物),新北市板橋區瑞安街59巷6弄1~30號,25.0,住,,,1070511,土地3建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700418,68.08,3,2,1,有,無,9800000,143948,,0.0,0,,RPSQMLNJPHNFFAF58CA
板橋區,房地(土地+建物),新北市板橋區重慶路274巷1~30號,23.9,住,,,1070522,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860627,104.63000000000001,2,2,2,有,有,13000000,124247,,0.0,0,含增建或未登記建物。,RPSRMLNJPHNFFAF68CA
土城區,土地,頂福段1~30地號,141.09,住,,,1070609,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12377142,87725,,0.0,0,,RPOSMLNJPHNFFAF38CA
土城區,土地,頂福段1~30地號,141.09,住,,,1070609,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12377142,87725,,0.0,0,,RPTSMLNJPHNFFAF88CA
板橋區,房地(土地+建物),新北市板橋區幸福路70巷1~30號,25.0,住,,,1070620,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630914,74.46,3,2,1,有,無,8500000,114155,,0.0,0,,RPXSMLNJPHNFFAF66CA
土城區,房地(土地+建物),新北市土城區延吉街296巷1~30號,19.53,住,,,1070604,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701221,71.31,3,1,1,有,無,5200000,72921,,0.0,0,,RPPSMLPJPHNFFAF68CA
板橋區,房地(土地+建物),新北市板橋區大觀路二段148巷22弄1~30號,28.2,住,,,1070520,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680525,73.9,3,2,1,有,無,5750000,77808,,0.0,0,,RPRRMLOJPHNFFAF68CA
土城區,房地(土地+建物),新北市土城區延和路42巷2弄1~30號,17.25,住,,,1070531,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830421,101.84,3,2,2,有,有,10400000,102121,,0.0,0,,RPXUMLPJPHNFFAF07CA
土城區,房地(土地+建物),新北市土城區中華路二段181~210號,20.68,住,,,1070515,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,60.6,2,2,1,有,無,4300000,70957,,0.0,0,含增建或未登記建物。,RPVWMLPJPHNFFAF07CA
板橋區,土地,板翠段61~90地號,9.02,住,,,1070518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3083770,341881,,0.0,0,,RPSNMLSJPHNFFAF78CA
板橋區,土地,板翠段91~120地號,151.66,住,,,1070505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,51839654,341815,,0.0,0,,RPTNMLSJPHNFFAF88CA
板橋區,土地,板翠段91~120地號,369.6,住,,,1070516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,126339989,341829,,0.0,0,,RPUNMLSJPHNFFAF98CA
板橋區,房地(土地+建物)+車位,新北市板橋區樂群路1~30號,25.68,住,,,1010930,土地1建物1車位1,九層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070114,180.35,3,2,2,有,有,9648795,53500,坡道平面,31.65,0,,RPROMLKKPHNFFAF08CA
板橋區,房地(土地+建物),新北市板橋區合宜一路31~60號,13.17,住,,,1060526,土地1建物1車位0,十二層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,80.6,2,2,1,有,有,4415658,54785,,0.0,0,,RPSOMLKKPHNFFAF18CA
板橋區,房地(土地+建物)+車位,新北市板橋區樂群路1~30號,25.02,住,,,1011009,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070114,179.26,3,2,2,有,有,9614506,53634,坡道平面,31.65,0,,RPUOMLKKPHNFFAF38CA
板橋區,房地(土地+建物)+車位,新北市板橋區樂群路1~30號,25.02,住,,,1060530,土地1建物1車位1,八層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070114,179.26,3,2,2,有,有,9614506,53634,坡道平面,31.65,0,,RPVOMLKKPHNFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜一路1~30號,24.36,住,,,1060517,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,173.5,3,2,2,有,有,9163195,52814,坡道平面,31.65,0,,RPWOMLKKPHNFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區樂群路1~30號,14.48,住,,,1011002,土地1建物1車位2,十三層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,142.13,2,2,1,有,有,7234258,50899,坡道平面,63.3,0,,RPQPMLKKPHNFFAF08CA
板橋區,房地(土地+建物),新北市板橋區樂群路1~30號,13.17,住,,,1011001,土地1建物1車位0,十層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070114,78.83,2,2,1,有,有,4314258,54729,,0.0,0,,RPRPMLKKPHNFFAF18CA
板橋區,房地(土地+建物),新北市板橋區合宜一路1~30號,23.7,住,,,1011005,土地1建物1車位0,十七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,141.86,3,2,2,有,有,7783195,54865,,0.0,0,,RPSPMLKKPHNFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區樂群路1~30號,24.36,住,,,1010929,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070114,173.5,3,2,2,有,有,9243195,53275,坡道平面,31.65,0,,RPXPMLKKPHNFFAF78CA
板橋區,房地(土地+建物)+車位,新北市板橋區樂群路1~30號,13.83,住,,,1010929,土地1建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,110.47999999999999,2,2,1,有,有,5694258,51541,坡道平面,31.65,0,,RPOQMLKKPHNFFAF97CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜一路1~30號,13.83,住,,,1011202,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,110.47999999999999,2,2,1,有,有,5731038,51874,坡道平面,31.65,0,,RPQQMLKKPHNFFAF18CA
板橋區,房地(土地+建物),新北市板橋區樂群路1~30號,13.17,住,,,1011011,土地1建物1車位0,五層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,78.83,2,2,1,有,有,4314258,54729,,0.0,0,,RPRQMLKKPHNFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜一路31~60號,24.36,住,,,1011003,土地1建物1車位1,十九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,173.5,3,2,2,有,有,9163195,52814,坡道平面,31.65,0,,RPUQMLKKPHNFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區樂群路1~30號,25.02,住,,,1011007,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070114,179.26,3,2,2,有,有,9534506,53188,坡道平面,31.65,0,,RPWQMLKKPHNFFAF78CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜一路31~60號,24.36,住,,,1011026,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,173.5,3,2,2,有,有,9163195,52814,坡道平面,31.65,0,,RPUPMLKKPHNFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜一路1~30號,25.68,住,,,1011007,土地1建物1車位1,十三層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,180.94,3,2,2,有,有,9649934,53332,坡道平面,31.65,0,,RPXQMLMKPHNFFAF09CA
板橋區,房地(土地+建物)+車位,新北市板橋區樂群路31~60號,26.34,住,,,1060505,土地1建物1車位1,七層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,184.04,3,2,2,有,有,9850028,53521,坡道平面,31.65,0,,RPORMLMKPHNFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜一路61~90號,24.36,住,,,1060528,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,175.46,3,2,2,有,有,9314177,53084,坡道平面,31.65,0,,RPPRMLMKPHNFFAF38CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜一路121~150號,24.36,住,,,1060508,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,173.5,3,2,2,有,有,9163195,52814,坡道平面,31.65,0,,RPRRMLMKPHNFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜一路31~60號,25.02,住,,,1011109,土地1建物1車位1,六層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,179.54000000000002,3,2,2,有,有,9528530,53072,坡道平面,31.65,0,,RPSRMLMKPHNFFAF68CA
