編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPRNNLMJPHNFFAF18CA,8,32.45,住家用,見其他登記事項,99年7月15日,四十層,五層
RPRNNLMJPHNFFAF18CA,8,1.83,見其他登記事項,見其他登記事項,99年7月15日,四十六層,
RPRNNLMJPHNFFAF18CA,8,3.11,見其他登記事項,見其他登記事項,99年7月15日,四十六層,
RPRNNLMJPHNFFAF18CA,8,12.24,見其他登記事項,見其他登記事項,99年7月15日,四十層,
RPONNLMJPHNFFAF87CA,,22.93,住家用,鋼骨混凝土造,,十五層,十層
RPONNLMJPHNFFAF87CA,,1.88,共有部份,鋼骨混凝土造,,十五層,
RPONNLMJPHNFFAF87CA,26,3.96,見使用執照,見其他登記事項,81年8月8日,十五層,地下一層 地下二層
RPONNLMJPHNFFAF87CA,,.00,共有部份,鋼骨混凝土造,,十五層,
RPSNMLNJPHNFFAF28CA,8,87.92,住家用,鋼筋混凝土造,98年12月29日,十二層,五層
RPSNMLNJPHNFFAF28CA,8,14.82,見其他登記事項,鋼筋混凝土造,98年12月29日,十二層,
RPSNMLNJPHNFFAF28CA,8,36.06,見其他登記事項,鋼筋混凝土造,98年12月29日,十二層,
RPQNMLNJPHNFFAF08CA,10,64.18,住家用,鋼筋混凝土造,97年8月8日,十五層,五層
RPQNMLNJPHNFFAF08CA,10,12.12,共有部份,鋼筋混凝土造,97年8月8日,十五層,
RPQNMLNJPHNFFAF08CA,10,10.04,共有部份,鋼筋混凝土造,97年8月8日,十五層,
RPSQMLNJPHNFFAF58CA,37,68.08,住家用,鋼筋混凝土造,70年4月18日,五層,一層 平台
RPXSMLNJPHNFFAF66CA,44,74.46,住家用,鋼筋混凝土造,63年9月14日,四層,四層
RPTOMLNJPHNFFAF48CA,7,122.74,住家用,鋼筋混凝土造,100年6月2日,十四層,二層
RPTOMLNJPHNFFAF48CA,7,24.31,見其他登記事項,鋼筋混凝土造,100年6月2日,十四層,
RPTOMLNJPHNFFAF48CA,7,19.05,見其他登記事項,鋼筋混凝土造,100年6月2日,十四層,
RPTOMLNJPHNFFAF48CA,7,2.39,見其他登記事項,鋼筋混凝土造,100年6月2日,十四層,
RPTOMLNJPHNFFAF48CA,7,36.97,見其他登記事項,鋼筋混凝土造,100年6月2日,十四層,
RPRRMLOJPHNFFAF68CA,39,73.90,住家用,鋼筋混凝土造,68年5月25日,四層,四層
RPROMLNJPHNFFAF28CA,2,69.03,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,九層
RPROMLNJPHNFFAF28CA,2,19.06,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,
RPSRMLNJPHNFFAF68CA,21,88.76,住家用,鋼筋混凝土造,86年6月27日,十二層,六層
RPROMLNJPHNFFAF28CA,2,32.91,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,
RPSRMLNJPHNFFAF68CA,21,15.87,共有部份,鋼筋混凝土造,86年6月27日,十二層,
RPPSMLPJPHNFFAF68CA,36,71.31,住家用,鋼筋混凝土造,70年12月21日,五層,四層
RPXUMLPJPHNFFAF07CA,24,88.98,住家用,鋼筋混凝土造,83年4月21日,十層,九層
RPVWMLPJPHNFFAF07CA,,60.60,住家用,鋼筋混凝土造,,五層,四層
RPXUMLPJPHNFFAF07CA,24,12.86,共有部份,鋼筋混凝土造,83年4月21日,十層,
RPWOMLKKPHNFFAF58CA,,99.98,見其他登記事項,鋼筋混凝土造,107年1月4日,二十四層,七層
RPUOMLKKPHNFFAF38CA,,104.04,見其他登記事項,鋼筋混凝土造,107年1月14日,二十三層,六層
RPWOMLKKPHNFFAF58CA,,41.88,見其他登記事項,鋼筋混凝土造,107年1月4日,二十四層,
RPUOMLKKPHNFFAF38CA,,31.65,見其他登記事項,鋼筋混凝土造,107年1月4日,二十四層,
RPWOMLKKPHNFFAF58CA,,31.65,見其他登記事項,鋼筋混凝土造,107年1月4日,二十四層,
RPUOMLKKPHNFFAF38CA,,43.58,見其他登記事項,鋼筋混凝土造,107年1月4日,二十四層,
RPRPMLKKPHNFFAF18CA,,55.57,見其他登記事項,鋼筋混凝土造,107年1月14日,二十三層,十層
RPRPMLKKPHNFFAF18CA,,23.26,見其他登記事項,鋼筋混凝土造,107年1月4日,二十四層,
RPVOMLKKPHNFFAF48CA,,104.04,見其他登記事項,鋼筋混凝土造,107年1月14日,二十三層,八層
RPVOMLKKPHNFFAF48CA,,31.65,見其他登記事項,鋼筋混凝土造,107年1月4日,二十四層,
RPVOMLKKPHNFFAF48CA,,43.58,見其他登記事項,鋼筋混凝土造,107年1月4日,二十四層,
RPQPMLKKPHNFFAF08CA,,55.57,見其他登記事項,鋼筋混凝土造,107年1月4日,二十一層,十三層
