編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPRNNLMJPHNFFAF18CA,文化段,2.52,都市：住
RPONNLMJPHNFFAF87CA,新雅段,3.02,都市：住
RPSNMLNJPHNFFAF28CA,成功段,21.52,都市：住
RPQNMLNJPHNFFAF08CA,府中段,2.21,都市：商
RPQNMLNJPHNFFAF08CA,府中段,4.62,都市：商
RPOSMLNJPHNFFAF38CA,頂福段,13.37,都市：住
RPOSMLNJPHNFFAF38CA,頂福段,1.36,都市：其他
RPOSMLNJPHNFFAF38CA,頂福段,.98,都市：其他
RPOSMLNJPHNFFAF38CA,頂福段,.00,都市：住
RPOSMLNJPHNFFAF38CA,頂福段,69.80,都市：住
RPOSMLNJPHNFFAF38CA,頂福段,2.84,都市：其他
RPOSMLNJPHNFFAF38CA,頂福段,2.22,都市：其他
RPOSMLNJPHNFFAF38CA,頂福段,43.34,都市：住
RPOSMLNJPHNFFAF38CA,頂福段,1.20,都市：其他
RPOSMLNJPHNFFAF38CA,頂福段,.05,都市：其他
RPOSMLNJPHNFFAF38CA,頂福段,4.00,都市：其他
RPOSMLNJPHNFFAF38CA,頂福段,1.94,都市：住
RPTSMLNJPHNFFAF88CA,頂福段,13.37,都市：住
RPTSMLNJPHNFFAF88CA,頂福段,1.36,都市：其他
RPTSMLNJPHNFFAF88CA,頂福段,.98,都市：其他
RPTSMLNJPHNFFAF88CA,頂福段,.00,都市：住
RPTSMLNJPHNFFAF88CA,頂福段,69.80,都市：住
RPTSMLNJPHNFFAF88CA,頂福段,2.84,都市：其他
RPTSMLNJPHNFFAF88CA,頂福段,2.22,都市：其他
RPTSMLNJPHNFFAF88CA,頂福段,43.34,都市：住
RPTSMLNJPHNFFAF88CA,頂福段,1.20,都市：其他
RPTSMLNJPHNFFAF88CA,頂福段,.05,都市：其他
RPTSMLNJPHNFFAF88CA,頂福段,4.00,都市：其他
RPTSMLNJPHNFFAF88CA,頂福段,1.94,都市：住
RPSQMLNJPHNFFAF58CA,大庭段,2.04,都市：住
RPSQMLNJPHNFFAF58CA,大庭段,21.20,都市：住
RPSQMLNJPHNFFAF58CA,大庭段,1.76,都市：住
RPXSMLNJPHNFFAF66CA,公館段,25.00,都市：住
RPTOMLNJPHNFFAF48CA,新雅段,.11,都市：住
RPTOMLNJPHNFFAF48CA,新雅段,23.84,都市：住
RPRRMLOJPHNFFAF68CA,龍安段,28.20,都市：住
RPSRMLNJPHNFFAF68CA,重慶段,23.90,都市：住
RPROMLNJPHNFFAF28CA,新雅段,9.25,都市：住
RPROMLNJPHNFFAF28CA,力行段,1.03,都市：住
RPPSMLPJPHNFFAF68CA,清水段,19.53,都市：住
RPXUMLPJPHNFFAF07CA,延和段,17.25,都市：住
RPVWMLPJPHNFFAF07CA,城林段,20.68,都市：住
RPSNMLSJPHNFFAF78CA,板翠段,9.02,都市：住
RPTNMLSJPHNFFAF88CA,板翠段,151.66,都市：住
