編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPSNMLNJPHNFFAF28CA,坡道平面,0,21.50
RPTOMLNJPHNFFAF48CA,坡道平面,1900000,36.97
RPROMLNJPHNFFAF28CA,坡道平面,2050000,22.87
RPWOMLKKPHNFFAF58CA,坡道平面,0,31.65
RPUOMLKKPHNFFAF38CA,坡道平面,0,31.65
RPVOMLKKPHNFFAF48CA,坡道平面,0,31.65
RPQPMLKKPHNFFAF08CA,坡道平面,0,31.65
RPQPMLKKPHNFFAF08CA,坡道平面,0,31.65
RPXPMLKKPHNFFAF78CA,坡道平面,0,31.65
RPOQMLKKPHNFFAF97CA,坡道平面,0,31.65
RPUPMLKKPHNFFAF48CA,坡道平面,0,31.65
RPQQMLKKPHNFFAF18CA,坡道平面,0,31.65
RPROMLKKPHNFFAF08CA,坡道平面,0,31.65
RPORMLMKPHNFFAF28CA,坡道平面,0,31.65
RPURMLMKPHNFFAF88CA,坡道平面,0,31.65
RPPRMLMKPHNFFAF38CA,坡道平面,0,31.65
RPTRMLMKPHNFFAF78CA,坡道平面,0,31.65
RPRRMLMKPHNFFAF58CA,坡道平面,0,31.65
RPWQMLKKPHNFFAF78CA,坡道平面,0,31.65
RPXQMLMKPHNFFAF09CA,坡道平面,0,31.65
RPUQMLKKPHNFFAF58CA,坡道平面,0,31.65
RPSRMLMKPHNFFAF68CA,坡道平面,0,31.65
RPOSMLMKPHNFFAF38CA,坡道平面,0,31.65
RPXNNLMKPHNFFAF88CA,升降機械,1400000,7.56
RPSSMLMKPHNFFAF78CA,坡道平面,0,31.65
RPWRMLMKPHNFFAF09CA,坡道平面,0,31.65
RPWSMLNKPHNFFAF66CA,坡道平面,0,31.65
RPQSMLMKPHNFFAF58CA,坡道平面,0,31.65
RPVSMLNKPHNFFAF56CA,坡道平面,0,31.65
RPWNNLMKPHNFFAF78CA,升降機械,1500000,7.56
RPQTMLNKPHNFFAF78CA,坡道平面,0,31.65
RPUTMLNKPHNFFAF56CA,坡道平面,0,31.65
RPWTMLNKPHNFFAF76CA,坡道平面,0,31.65
RPRUMLNKPHNFFAF98CA,坡道平面,0,31.65
RPUUMLNKPHNFFAF66CA,坡道平面,0,31.65
RPWUMLNKPHNFFAF86CA,坡道平面,0,31.65
RPOUMLNKPHNFFAF68CA,坡道平面,0,31.65
RPOUMLNKPHNFFAF68CA,坡道平面,0,31.65
RPRNMLSKPHNFFAF78CA,坡道平面,0,31.65
RPRNMLSKPHNFFAF78CA,坡道平面,0,31.65
RPOSMLSKPHNFFAF98CA,坡道平面,0,31.65
RPTNMLMLPHNFFAF48CA,坡道平面,0,36.97
RPTNMLMLPHNFFAF48CA,坡道平面,0,36.97
RPXRMLSKPHNFFAF17CA,坡道平面,0,31.65
RPVOMLPJPHNFFBF98CA,坡道平面,1250000,48.67
RPWQMLNJPHNFFBF09CA,坡道平面,0,
RPTQMLOJPHNFFBF88CA,坡道平面,1950000,24.17
RPUQMLOJPHNFFBF98CA,坡道平面,1900000,24.17
RPVRMLPJPHNFFBF66CA,坡道機械,1550000,22.09
RPWSMLPJPHNFFBF86CA,坡道平面,0,
RPURMLPJPHNFFBF56CA,坡道機械,1200000,22.09
RPXQMLTJPHNFFBF17CA,坡道平面,0,27.12
RPUNMLNJPHNFFBF58CA,坡道平面,0,
RPUNMLNJPHNFFBF58CA,坡道平面,0,
RPUNMLNJPHNFFBF58CA,坡道平面,0,
RPUNMLNJPHNFFBF58CA,坡道平面,0,
RPUNMLNJPHNFFBF58CA,坡道平面,0,
RPUNMLNJPHNFFBF58CA,坡道平面,0,
RPUNMLNJPHNFFBF58CA,坡道平面,0,
RPSSMLTJPHNFFBF86CA,坡道平面,0,27.12
RPWUMLPJPHNFFBF07CA,塔式車位,0,25.03
RPXUMLQLPHNFFBF47CA,坡道平面,1100000,31.30
RPURMLMKPHNFFBF98CA,坡道平面,1600000,26.32
RPTNMLNKPHNFFBF58CA,坡道平面,0,16.03
RPRNMLKKPHNFFBF08CA,坡道平面,1600000,29.07
RPWQMLRKPHNFFBF96CA,坡道平面,1300000,36.98
RPRNMLKMPHNFFBF28CA,坡道平面,0,27.12
RPPRMLQKPHNFFBF88CA,坡道平面,1500000,26.32
RPVPMLSKPHNFFBF86CA,坡道平面,0,33.21
RPVOMLMJPHNFFCF78CA,坡道平面,1805000,55.90
RPPOMLOJPHNFFCF38CA,升降平面,0,29.04
RPPNMLKKPHNFFCF97CA,坡道平面,0,30.21
RPVOMLOJPHNFFDF09CA,坡道平面,1900000,35.87
RPVRMLRKPHNFFDF17CA,坡道平面,2100000,30.31
RPSRMLRKPHNFFDF86CA,坡道平面,2100000,30.31
RPURMLRKPHNFFDF07CA,坡道平面,1900000,30.31
RPORMLQJPHNFFDF88CA,升降機械,0,20.41
RPXSMLKMPHNFFBF76CA,坡道平面,2400000,39.97
RPUOMLSKPHNFFDF86CA,坡道平面,1900000,30.31
RPVOMLSKPHNFFDF96CA,坡道平面,2100000,30.31
RPWOMLSKPHNFFDF07CA,坡道平面,2000000,28.34
RPRQMLKMPHNFFBF58CA,坡道平面,2250000,28.53
RPXPMLTKPHNFFDF37CA,坡道平面,2300000,37.10
RPPQMLKMPHNFFBF38CA,坡道平面,2250000,28.53
RPXOMLSKPHNFFDF17CA,坡道平面,2000000,30.31
RPXPMLKMPHNFFBF09CA,坡道平面,2000000,32.64
RPOQMLTKPHNFFDF56CA,坡道平面,2000000,37.10
RPVPMLTJPHNFFEF17CA,坡道機械,900000,24.34
RPRNMLMJPHNFFEF48CA,坡道平面,0,25.92
RPVQMLKKPHNFFEF09CA,坡道平面,0,28.50
RPRNMLPJPHNFFEF78CA,坡道平面,0,23.58
RPVNMLNJQHNFFEF09CA,坡道平面,0,29.20
RPWNMLPLPHNFFEF86CA,坡道平面,0,23.16
RPWNMLPLPHNFFEF86CA,坡道平面,0,23.16
RPQPMLNJPHNFFGF88CA,坡道平面,0,38.56
RPRPMLNJPHNFFGF98CA,坡道平面,0,38.56
RPOPMLNJPHNFFGF68CA,坡道平面,0,38.56
RPOPMLNJPHNFFGF68CA,坡道平面,0,38.56
RPSNMLOJPHNFFGF98CA,坡道機械,1100000,19.55
RPORMLMKPHNFFGF88CA,坡道平面,0,36.97
RPORMLMKPHNFFGF88CA,坡道平面,0,36.97
RPORMLMKPHNFFGF88CA,坡道平面,0,36.98
RPTPMLRKPHNFFGF07CA,坡道平面,0,26.99
RPRQMLRKPHNFFEF76CA,坡道平面,0,40.95
RPTNMLNJPHNFFHF09CA,坡道平面,0,37.38
RPWPMLTKPHNFFGF57CA,坡道平面,1900000,34.45
RPXPMLTKPHNFFGF67CA,坡道平面,2000000,34.45
RPWNMLNJPHNFFHF76CA,坡道平面,0,37.38
RPUPMLQLPHNFFGF17CA,坡道平面,0,44.40
RPTNMLOJPHNFFHF56CA,塔式車位,1500000,21.33
RPXNMLKMPHNFFHF86CA,坡道機械,1200000,40.10
RPWNMLNJPHNFFIF86CA,坡道平面,0,27.80
RPRNMLOJPHNFFIF09CA,坡道平面,0,18.99
RPXNMLPJPHNFFIF17CA,坡道平面,0,25.69
RPRNMLPJPHNFFIF56CA,坡道平面,0,39.02
RPROMLPJPHNFFIF66CA,坡道機械,0,
RPPPMLPJPHNFFIF56CA,坡道平面,1100000,37.36
RPXOMLPJPHNFFIF27CA,坡道平面,0,33.08
RPPUMLKKPHNFFAF58DA,坡道平面,2500000,25.38
RPQNMLTKPHNFFDF56DA,坡道平面,1300000,20.12
RPQNMLTKPHNFFDF56DA,坡道平面,1300000,20.12
RPQNMLTKPHNFFDF56DA,坡道平面,1300000,20.12
RPQNMLTKPHNFFDF56DA,坡道平面,1300000,20.12
RPOOMLQJPHNFFIF09CA,坡道平面,0,36.58
