鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
五結鄉,房地(土地+建物),宜蘭縣五結鄉自強路1~30號,88.0,住,,,1070531,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041104,183.86,4,3,4,有,無,12550000,68258,,0.0,0,,RPSOMLMJPHNFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮西寧路121~150號,18.0,住,,,1061228,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840311,84.91,2,2,1,有,無,3750000,44164,,0.0,0,,RPSNMLNJPHNFFAG38CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿安路391~420號,115.55,住,,,1060326,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070517,181.12,4,2,4,有,無,13380000,73874,,0.0,0,"本件為106年3月間之預售屋買賣交易,公契日非私契日.",RPQOMLOJPHNFFAG38CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉香和路31~60號,144.81,住,,,1070608,土地4建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1040723,170.0,2,2,3,有,無,11000000,64706,,0.0,0,,RPVNMLKKPHNFFAG48CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉廣安路97巷1弄1~30號,11.56,,特定農業區,甲種建築用地,1070529,土地2建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880203,49.61,2,1,1,有,無,2800000,56440,,0.0,0,,RPSOMLKKPHNFFAG28CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉鎮安路1巷1~30號,60.94,商,,,1070605,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0840127,152.59,5,2,3,有,無,5200000,34078,,0.0,0,,RPTOMLKKPHNFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮博愛路100巷1~30號,36.67,住,,,1070516,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620625,72.26,2,2,1,有,無,3480000,48159,,0.0,0,,RPPOMLRKPHNFFAG68CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結路二段117巷1~30號,136.54,,特定農業區,甲種建築用地,1070209,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070323,205.54,4,2,5,有,無,8900000,43301,,0.0,0,,RPRNMLSKPHNFFAG88CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市宜興路三段1~30號,14.03,住,,,1070522,土地1建物1車位0,六層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1030701,43.61,0,0,1,無,有,2130000,48842,,0.0,0,,RPTOMLNJPHNFFBG68CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路61~90號,6.18,住,,,1070614,土地1建物1車位0,五層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930108,46.14,1,1,1,有,有,3350000,72605,,0.0,0,1、本案買賣包括含傢俱等。,RPSNMLOJPHNFFBG58CA
礁溪鄉,土地,十六結段1321~1350地號,10.99,,特定農業區,甲種建築用地,1070619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,404432,36800,,0.0,0,,RPOOMLOJPHNFFBG28CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮朝陽路1~30號,19.64,住,,,1030718,土地1建物1車位0,二十七層,二十九層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,1061221,77.56,1,1,1,有,有,7840000,101083,,0.0,0,,RPWOMLOJPHNFFBG09CA
壯圍鄉,土地,五權段1261~1290地號,3537.0,,特定農業區,農牧用地,1070625,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,3110,,0.0,0,,RPPPMLOJPHNFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路二段68巷11弄1~30號,81.44,住,,,1070531,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0590924,101.44,2,2,2,有,無,5400000,53233,,0.0,0,,RPQOMLMJPHNFFBG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市慈安路10巷2弄1~30號,124.01,住,,,1070522,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0681226,126.9,2,2,2,有,無,7100000,55950,,0.0,0,,RPQNMLNJPHNFFBG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市黎明三路391~420號,109.73,住,,,1070530,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0770104,129.49,4,2,3,有,無,10000000,77226,,0.0,0,,RPWNMLNJPHNFFBG88CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉信義路34巷1~30號,6.13,商,,,1070610,土地2建物1車位0,四層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971231,58.65,1,0,1,有,有,4430000,75533,,0.0,0,,RPQOMLNJPHNFFBG38CA
壯圍鄉,土地,功勞段871~900地號,3615.0,,特定農業區,農牧用地,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10935375,3025,,0.0,0,,RPPNMLNKPHNFFBG28CA
壯圍鄉,土地,功勞段871~900地號,3615.0,,特定農業區,農牧用地,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10935375,3025,,0.0,0,,RPQNMLNKPHNFFBG38CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉順和路31~60號,125.0,,鄉村區,乙種建築用地,1070610,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0730713,103.4,3,2,2,有,無,4350000,42070,,0.0,0,,RPOPMLNKPHNFFBG38CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉梅花路541~570號,209.0,,鄉村區,乙種建築用地,1070426,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0690308,111.72,3,3,6,有,無,11000000,98460,,0.0,0,"增建三樓,包含未辦保存建物一棟",RPSNMLMJPHNFFAG48EA
