編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLKKPHNFFAG28CA,19,36.94,住家用,鋼筋混凝土造,88年2月3日,六層,四層
RPSOMLKKPHNFFAG28CA,19,4.52,見其他登記事項,鋼筋混凝土造,88年2月3日,六層,
RPSOMLKKPHNFFAG28CA,19,8.15,見其他登記事項,鋼筋混凝土造,88年2月3日,六層,
RPPOMLRKPHNFFAG68CA,45,72.26,住家用,鋼筋混凝土加強磚造,62年6月25日,三層,三層
RPSNMLNJPHNFFAG38CA,23,75.33,住家用,鋼筋混凝土造,84年3月11日,五層,二層
RPSNMLNJPHNFFAG38CA,23,2.78,見其他登記事項,鋼筋混凝土造,84年3月11日,五層,
RPSNMLNJPHNFFAG38CA,23,6.80,共有部份,鋼筋混凝土造,84年3月11日,五層,
RPSNMLOJPHNFFBG58CA,14,29.93,住家用,鋼筋混凝土造,93年1月8日,九層,五層
RPSNMLOJPHNFFBG58CA,14,16.21,共有部分,鋼筋混凝土造,93年1月8日,九層,
RPVNMLKKPHNFFAG48CA,3,170.00,住家用,見其他登記事項,104年7月23日,三層,一層 二層 三層
RPRNMLSKPHNFFAG88CA,,205.54,住家用,見其他登記事項,107年3月23日,三層,一層 二層 三層
RPSOMLMJPHNFFAG38CA,3,183.86,住家用,鋼筋混凝土造,104年11月4日,三層,一層 二層 三層 見其他登記事項
RPTOMLKKPHNFFAG38CA,23,152.59,住商用,鋼筋混凝土造,84年1月27日,四層,一層 二層 三層 四層
RPTOMLNJPHNFFBG68CA,4,26.03,見其他登記事項,鋼筋混凝土造,103年7月1日,六層,六層
RPTOMLNJPHNFFBG68CA,4,4.75,見其他登記事項,鋼筋混凝土造,103年7月1日,六層,
RPTOMLNJPHNFFBG68CA,4,12.83,見其他登記事項,鋼筋混凝土造,103年7月1日,六層,
RPQOMLOJPHNFFAG38CA,,181.12,見其他登記事項,見其他登記事項,107年5月17日,三層,一層 二層 三層
RPQOMLNJPHNFFBG38CA,9,32.18,見其他登記事項,鋼筋混凝土造,97年12月31日,十三層,四層
RPQOMLNJPHNFFBG38CA,9,16.12,共有部分,鋼筋混凝土造,97年12月31日,十三層,
RPQOMLNJPHNFFBG38CA,9,3.04,共有部分,鋼筋混凝土造,97年12月31日,十三層,
RPQOMLNJPHNFFBG38CA,9,7.31,共有部分,鋼筋混凝土造,97年12月31日,十三層,
RPQNMLNJPHNFFBG28CA,38,126.90,住家用,鋼筋混凝土加強磚造,68年12月26日,二層,一層 二層
RPOPMLNKPHNFFBG38CA,34,103.40,住家用,鋼筋混凝土加強磚造,73年7月13日,二層,一層 二層
RPWOMLOJPHNFFBG09CA,,42.79,見其他登記事項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,二十七層
RPWOMLOJPHNFFBG09CA,,34.77,見其他登記事項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPQOMLMJPHNFFBG28CA,48,101.44,住家用,鋼筋混凝土加強磚造,59年9月24日,二層,一層 二層
RPWNMLNJPHNFFBG88CA,30,129.49,住家用,鋼筋混凝土加強磚造,77年1月4日,二層,一層 二層 騎樓
RPSOMLQKPHNFFAG09EA,39,194.62,住商用,鋼筋混凝土造,68年9月19日,三層,一層 二層 三層 騎樓
RPSNMLMJPHNFFAG48EA,38,111.72,住家用,加強磚造,69年3月8日,二層,一層 二層
RPOOMLMJPHNFFAG18EA,37,122.34,住家用,鋼筋混凝土加強磚造,70年7月28日,二層,一層 二層
RPVOMLMJPHNFFBG98EA,20,97.02,住家用,鋼筋混凝土造,87年6月11日,七層,七層
RPVOMLMJPHNFFBG98EA,20,22.94,共有部分,鋼筋混凝土造,87年6月11日,七層,
RPVOMLMJPHNFFBG98EA,20,29.44,共有部分,鋼筋混凝土造,87年6月11日,七層,
RPUNMLQJPHNFFBG56EA,2,231.37,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPQNMLNJPHNFFAG38EA,1,323.82,見其他登記事項,見其他登記事項,106年7月5日,四層,一層 二層 三層 四層 見其他登記事項
RPOOMLPJPHNFFAG48EA,41,78.12,住家用,鋼筋混凝土造,66年3月12日,四層,三層
RPTOMLNLPHNFFBG88CA,,98.94,住家用,鋼筋混凝土加強磚造,,,二層
RPRNMLOKPHNFFBG58CA,5,131.52,見其他登記事項,鋼筋混凝土造,101年12月3日,四層,一層 地下一層
RPRNMLOKPHNFFBG58CA,5,97.10,見其他登記事項,鋼筋混凝土造,101年12月3日,四層,
RPRNMLOKPHNFFBG58CA,5,18.11,見其他登記事項,鋼筋混凝土造,101年12月3日,四層,
RPPNMLOKPHNFFBG38CA,8,49.45,見其他登記事項,鋼筋混凝土造,99年4月29日,九層,八層
RPPNMLOKPHNFFBG38CA,8,33.83,見其他登記事項,鋼筋混凝土造,99年4月29日,九層,
RPOOMLOLPHNFFBG48CA,29,143.56,住家用,鋼筋混凝土加強磚造,78年2月15日,二層,一層 二層
RPROMLMKPHNFFBG48CA,26,200.76,住家用,鋼筋混凝土造,81年9月9日,三層,一層 二層 三層
RPUNMLOKPHNFFBG88CA,21,167.85,見其他登記事項,鋼筋混凝土造,86年11月3日,四層,一層 二層 三層 四層
RPOOMLQKPHNFFBG58CA,13,18.15,住家用,鋼筋混凝土造,94年9月14日,六層,五層
RPOOMLQKPHNFFBG58CA,13,11.97,共有部分,鋼筋混凝土造,94年9月14日,六層,
RPRPMLOJPHNFFBG68CA,36,87.30,住家用,鋼筋混凝土加強磚造,70年12月17日,二層,一層 二層
RPTNMLOKPHNFFBG78CA,36,109.42,住家用,鋼筋混凝土加強磚造,70年12月24日,二層,一層 二層
RPROMLQKPHNFFAG78CA,24,26.46,見其他登記事項,鋼筋混凝土造,83年4月19日,六層,
RPPOMLQKPHNFFBG68CA,13,18.15,住家用,鋼筋混凝土造,94年9月14日,六層,五層
RPPOMLQKPHNFFBG68CA,13,12.29,共有部分,鋼筋混凝土造,94年9月14日,六層,
RPWOMLQKPHNFFAG66CA,28,78.90,住家用,鋼筋混凝土造,79年2月3日,五層,四層
RPWOMLQKPHNFFAG66CA,33,6.12,共有部份,鋼筋混凝土造,74年3月1日,五層,
RPPNMLTJPHNFFAG68CA,9,526.63,農舍,見其他登記事項,98年9月17日,三層,一層 二層 三層
RPPNMLOJPHNFFAG18CA,,189.15,住家用,見其他登記事項,107年3月27日,三層,一層 二層 三層
RPVNMLQKPHNFFAG09CA,38,87.78,住家用,鋼筋混凝土加強磚造,69年2月11日,二層,一層 二層
RPTNMLKMPHNFFAG48CA,27,189.42,住家用,鋼筋混凝土造,79年12月24日,三層,二層 三層 一層
RPOOMLMKPHNFFAG08CA,26,113.70,住家用,鋼筋混凝土造,81年11月2日,五層,四層
RPOOMLMKPHNFFAG08CA,26,21.05,見其他登記事項,鋼筋混凝土造,81年11月2日,五層,
RPOOMLMKPHNFFAG08CA,26,6.89,見其他登記事項,鋼筋混凝土造,81年11月2日,五層,
RPRNMLPJPHNFFBG58CA,12,196.83,住家用,鋼筋混凝土造,95年5月30日,三層,一層 二層 三層
