編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPSOMLKKPHNFFAG28CA,廣安段,9.86,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSOMLKKPHNFFAG28CA,廣安段,1.70,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLRKPHNFFAG68CA,南昌段,36.67,都市：住
RPSNMLNJPHNFFAG38CA,維揚段,18.00,都市：住
RPSNMLOJPHNFFBG58CA,協天段,6.18,都市：住
RPVNMLKKPHNFFAG48CA,興平段,124.34,都市：住
RPVNMLKKPHNFFAG48CA,興平段,15.00,都市：住
RPVNMLKKPHNFFAG48CA,興平段,.81,都市：住
RPVNMLKKPHNFFAG48CA,香和段,4.66,都市：住
RPOOMLOJPHNFFBG28CA,十六結段,10.99,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLSKPHNFFAG88CA,協孝段,136.54,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSOMLMJPHNFFAG38CA,五結段,88.00,都市：住
RPTOMLKKPHNFFAG38CA,鎮安段,11.94,都市：商
RPTOMLKKPHNFFAG38CA,鎮安段,49.00,都市：商
RPTOMLNJPHNFFBG68CA,雙福段,14.03,都市：住
RPQOMLOJPHNFFAG38CA,義成八段,33.86,都市：住
RPQOMLOJPHNFFAG38CA,義成八段,81.69,都市：住
RPPPMLOJPHNFFBG48CA,五權段,3537.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNKPHNFFBG38CA,功勞段,3615.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLNJPHNFFBG38CA,湯仔城段,2.29,都市：商
RPQOMLNJPHNFFBG38CA,湯仔城段,3.84,都市：商
RPPNMLNKPHNFFBG28CA,功勞段,3615.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNJPHNFFBG28CA,中興段,124.01,都市：住
RPUNMLMJPHNFFAG68EA,東榮一段,218.82,都市：商
RPOPMLNKPHNFFBG38CA,壯東段,14.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLNKPHNFFBG38CA,壯東段,111.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLOJPHNFFBG09CA,烏石港段,19.64,都市：住
RPXNMLKMPHNFFAG09EA,東榮一段,1387.38,都市：商
RPQOMLMJPHNFFBG28CA,和睦段,81.44,都市：住
RPWNMLNJPHNFFBG88CA,黎明段,81.08,都市：住
RPWNMLNJPHNFFBG88CA,黎明段,28.65,都市：住
RPSOMLQKPHNFFAG09EA,國華段,96.00,都市：商
RPSNMLMJPHNFFAG48EA,梅花段,65.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMJPHNFFAG48EA,梅花段,144.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJPHNFFBG38EA,建業段,1070.75,都市：住
RPPNMLNJPHNFFBG38EA,建業段,259.88,都市：住
RPPNMLNJPHNFFBG38EA,建業段,259.90,都市：住
RPPNMLNJPHNFFBG38EA,建業段,259.87,都市：住
RPPNMLNJPHNFFBG38EA,建業段,259.88,都市：住
RPTNMLPJPHNFFAG88EA,信義段,23.80,都市：商
RPOOMLMJPHNFFAG18EA,丸山段,85.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLMJPHNFFBG98EA,坤門三段,27.63,都市：住
RPVOMLNKPHNFFBG98CA,女中段,233.12,都市：其他
RPVNMLNLPHNFFBG98CA,和平段,2205.04,都市：商
RPUNMLQJPHNFFBG56EA,新福段,105.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLQJPHNFFBG56EA,新福段,31.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
