鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,42.26,住,,,1061224,土地1建物1車位2,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,323.46,3,2,3,有,有,29680000,96869,坡道平面,50.1,3200000,,RPSPMLNJPHNFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,42.58,住,,,1060310,土地1建物1車位3,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,341.3,3,2,3,有,有,33000000,105955,坡道平面,75.15,4800000,,RPTPMLNJPHNFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,50.5,住,,,1070414,土地1建物1車位2,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,378.33000000000004,4,2,3,有,有,34800000,97493,坡道平面,50.1,2800000,,RPWPMLNJPHNFFAH09CA
桃園區,房地(土地+建物),桃園市桃園區向善街48巷1~30號,11.05,其他,,,1070603,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871215,57.480000000000004,3,2,1,有,有,3500000,60891,,0.0,0,,RPSRMLNJPHNFFAH88CA
桃園區,土地,中路三段121~150地號,3368.77,住,,,1070330,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,653999999,194136,,0.0,0,向政府機關承購之案件。,RPWRMLNJPHNFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉六街1~30號,30.32,住,,,1070522,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030930,218.29,3,2,2,有,有,12500000,57263,坡道平面,36.63,0,,RPOOMLOJPHNFFAH28CA
桃園區,房地(土地+建物),桃園市桃園區中平路91~120號,12.63,商,,,1070530,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840406,123.86000000000001,3,2,2,有,有,5700000,46020,,0.0,0,,RPPOMLOJPHNFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國聖三街61~90號,36.57,住,,,1070523,土地1建物1車位1,一層,十六層,店面(店鋪),商業用,鋼筋混凝土造,0951208,219.14,1,0,1,有,有,19000000,86703,坡道平面,15.68,0,,RPXOMLPJPHNFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路二段139巷61~90號,38.54,住,,,1070514,土地1建物1車位2,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981030,265.33,3,2,2,有,有,18140000,68368,坡道機械,0.0,0,,RPRQMLPJPHNFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路二段69巷121~150號,25.33,住,,,1070529,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000309,169.56,3,2,2,有,有,10500000,61925,坡道平面,0.0,0,所有費用由買賣方各負擔一半,RPQPMLMJPHNFFAH38CA
桃園區,土地,國際段481~510地號,7.2,農,,,1070522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,108000,15000,,0.0,0,,RPWOMLQJPHNFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區自強里莊敬路一段181巷1~30號,27.91,住,,,1070603,土地1建物2車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840519,192.42000000000002,4,1,2,有,有,8800000,45733,坡道平面,0.0,0,,RPROMLKKPHNFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安北路421~450號,21.6,住,,,1070514,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910222,152.45999999999998,3,1,2,有,有,10000000,65591,坡道平面,0.0,0,,RPSPMLKKPHNFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路61~90號,36.56,住,,,1070508,土地1建物1車位2,三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060824,273.89,3,2,2,有,有,26660000,99650,坡道平面,36.46,3000000,,RPTNMLMKPHNFFAH58CA
桃園區,房地(土地+建物),桃園市桃園區大興西路二段271~300號,8.8,住,,,1070422,土地1建物1車位0,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841103,98.69,3,2,1,有,有,6500000,65863,,0.0,0,,RPVOMLMKPHNFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區長壽街61~90號,31.22,住,,,1070524,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061121,130.21,3,2,1,有,有,10860000,83404,升降機械,18.23,0,,RPSQMLMKPHNFFAH78CA
桃園區,房地(土地+建物),桃園市桃園區莊敬路二段91~120號,12.66,住,,,1070528,土地1建物1車位0,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830713,130.44,3,2,2,有,有,7000000,53665,,0.0,0,,RPQPMLNKPHNFFAH58CA
桃園區,土地,會稽段571~600地號,0.17,其他,,,1070426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000,0,,0.0,0,,RPPNMLPKPHNFFAH48CA
桃園區,土地,大有段211~240地號,4.41,其他,,,1070426,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,140000,31746,,0.0,0,,RPRNMLPKPHNFFAH68CA
桃園區,土地,大有段211~240地號,0.27,其他,,,1070426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000,0,,0.0,0,,RPSNMLPKPHNFFAH78CA
桃園區,房地(土地+建物),桃園市桃園區三民路三段412巷1弄1~30號,31.35,住,,,1070618,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770903,117.63,3,2,2,有,無,4500000,38256,,0.0,0,,RPQPMLQKPHNFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔二街121~150號,55.68,住,,,1070616,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030925,332.01,3,2,3,有,有,35000000,111467,坡道平面,35.06,1900000,,RPWNMLRKPHNFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新埔八街61~90號,54.39,住,,,1070608,土地1建物1車位3,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060322,395.9,0,0,0,無,有,33080000,90809,坡道平面,86.13,4950000,,RPRNMLMLPHNFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路945巷1~30號,36.6,住,,,1070421,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051103,163.05,3,2,2,有,有,6850000,48284,坡道平面,39.82,900000,實為2+1房,RPRNMLQLPHNFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區藝文一街1~30號,39.09,商,,,1070312,土地1建物1車位2,十四層,二十八層,其他,見其他登記事項,鋼筋混凝土造,1040303,457.81,0,0,0,無,有,39880000,87110,坡道平面,84.84,0,,RPQRMLNLPHNFFAH88CA
桃園區,土地,西門段1021~1050地號,108.89,其他,,,1070525,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5803609,53298,,0.0,0,,RPXSMLOLPHNFFAH17CA
桃園區,房地(土地+建物)+車位,桃園市桃園區泰昌三街31~60號,27.91,住,,,1060330,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061218,174.94,2,2,2,有,有,13000000,74311,坡道平面,28.67,0,,RPWVMLQLPHNFFAH57CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大連三街31~60號,58.3,住,,,1070517,土地1建物1車位2,一層，二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940805,312.27,5,2,3,有,有,17800000,57002,坡道平面,72.74,0,,RPUOMLRLPHNFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國強十一街61~90號,22.05,住,,,1070503,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050713,180.04,3,2,2,有,有,9980000,55432,坡道平面,43.37,0,,RPUPMLRLPHNFFAH86CA
