編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLOJPHNFFAH28CA,4,129.35,住家用,鋼筋混凝土造,103年9月30日,十二層,五層
RPOOMLOJPHNFFAH28CA,4,65.29,見其他登記事項,鋼筋混凝土造,103年9月30日,十二層,
RPOOMLOJPHNFFAH28CA,4,23.64,見其他登記事項,鋼筋混凝土造,103年9月30日,十二層,
RPQPMLMJPHNFFAH38CA,7,96.35,住家用,鋼筋混凝土造,100年3月9日,十五層,十四層
RPQPMLMJPHNFFAH38CA,7,73.21,見其他登記事項,鋼筋混凝土造,100年3月9日,十五層,
RPSRMLNJPHNFFAH88CA,19,44.77,住家用,鋼筋混凝土造,87年12月15日,十二層,六層
RPSRMLNJPHNFFAH88CA,19,12.71,共有部份,鋼筋混凝土造,87年12月15日,十二層,
RPTPMLNJPHNFFAH78CA,1,182.40,住家用,鋼筋混凝土造,107年5月7日,二十四層,二十三層
RPTPMLNJPHNFFAH78CA,1,31.49,共有部份,鋼筋混凝土造,107年5月7日,二十四層,
RPTPMLNJPHNFFAH78CA,1,127.41,共有部份,鋼筋混凝土造,107年5月7日,二十四層,
RPXOMLPJPHNFFAH66CA,11,165.98,商業用,鋼筋混凝土造,95年12月8日,十六層,一層
RPXOMLPJPHNFFAH66CA,11,17.56,共有部份,鋼筋混凝土造,95年12月8日,十六層,
RPXOMLPJPHNFFAH66CA,11,35.60,共有部份,鋼筋混凝土造,95年12月8日,十六層,
RPRQMLPJPHNFFAH88CA,9,161.94,住家用,鋼筋混凝土造,98年10月30日,十二層,五層
RPRQMLPJPHNFFAH88CA,9,103.39,見其他登記事項,鋼筋混凝土造,98年10月30日,十二層,
RPPOMLOJPHNFFAH38CA,23,90.65,住家用,鋼筋混凝土造,84年4月6日,十六層,十五層
RPPOMLOJPHNFFAH38CA,23,33.21,共有部份,鋼筋混凝土造,84年4月6日,十六層,
RPSPMLNJPHNFFAH68CA,,187.98,住家用,鋼筋混凝土造,107年5月7日,二十四層,六層
RPSPMLNJPHNFFAH68CA,,31.96,共有部份,鋼筋混凝土造,107年5月7日,二十四層,
RPSPMLNJPHNFFAH68CA,,103.51,共有部份,鋼筋混凝土造,107年5月7日,二十四層,
RPWPMLNJPHNFFAH09CA,,224.97,住家用,鋼筋混凝土造,107年5月7日,二十四層,九層
RPWPMLNJPHNFFAH09CA,,38.64,共有部份,鋼筋混凝土造,107年5月7日,二十四層,
RPWPMLNJPHNFFAH09CA,,114.72,共有部份,鋼筋混凝土造,107年5月7日,二十四層,
RPSQMLMKPHNFFAH78CA,1,77.36,住家用,鋼筋混凝土造,106年11月21日,五層,三層
RPSQMLMKPHNFFAH78CA,1,52.85,見其他登記事項,鋼筋混凝土造,106年11月21日,五層,
RPROMLKKPHNFFAH28CA,23,122.07,住家用,鋼筋混凝土造,84年5月19日,十六層,十三層
RPROMLKKPHNFFAH28CA,23,21.21,共有部份,鋼筋混凝土造,84年5月19日,十六層,
RPROMLKKPHNFFAH28CA,23,13.44,共有部份,鋼筋混凝土造,84年5月19日,十六層,
RPROMLKKPHNFFAH28CA,23,.11,見其他登記事項,鋼筋混凝土造,84年5月19日,十六層,
RPROMLKKPHNFFAH28CA,23,35.59,共有部份,鋼筋混凝土造,84年5月19日,十六層,
RPQPMLNKPHNFFAH58CA,24,109.55,住家用,鋼筋混凝土造,83年7月13日,十七層,五層
RPQPMLNKPHNFFAH58CA,24,20.89,共有部份,鋼筋混凝土造,83年7月13日,十七層,
RPTNMLMKPHNFFAH58CA,1,156.87,住家用,鋼筋混凝土造,106年8月24日,二十九層,三層
RPTNMLMKPHNFFAH58CA,1,117.02,見其他登記事項,鋼筋混凝土造,106年8月24日,二十九層,
RPSPMLKKPHNFFAH48CA,16,91.86,住家用,鋼筋混凝土造,91年2月22日,九層,九層
RPSPMLKKPHNFFAH48CA,16,30.00,共有部份,鋼筋混凝土造,91年2月22日,九層,
RPSPMLKKPHNFFAH48CA,16,.02,見其他登記事項,鋼筋混凝土造,91年2月22日,九層,
RPSPMLKKPHNFFAH48CA,16,30.58,共有部份,鋼筋混凝土造,91年2月22日,九層,
RPVOMLMKPHNFFAH88CA,22,73.31,住家用,鋼筋混凝土造,84年11月3日,二十層,七層
RPVOMLMKPHNFFAH88CA,22,10.24,共有部份,鋼筋混凝土造,84年11月3日,二十層,
RPVOMLMKPHNFFAH88CA,22,15.14,共有部份,鋼筋混凝土造,84年11月3日,二十層,
RPWNMLRKPHNFFAH76CA,4,200.54,住家用,鋼筋混凝土造,103年9月25日,十四層,三層
RPWNMLRKPHNFFAH76CA,4,103.10,見其他登記事項,鋼筋混凝土造,103年9月25日,十四層,
RPWNMLRKPHNFFAH76CA,4,.46,見其他登記事項,鋼筋混凝土造,103年9月25日,十三層,
RPWNMLRKPHNFFAH76CA,4,27.91,見其他登記事項,鋼筋混凝土造,103年9月25日,十四層,
RPRNMLMLPHNFFAH48CA,1,208.03,住家用,鋼筋混凝土造,106年3月22日,二十三層,十九層
RPRNMLMLPHNFFAH48CA,1,187.87,見其他登記事項,鋼筋混凝土造,106年3月22日,二十三層,
RPQPMLQKPHNFFAH88CA,30,111.17,住家用,鋼筋混凝土造,77年9月3日,五層,四層
RPQPMLQKPHNFFAH88CA,30,6.46,共有部份,鋼筋混凝土造,77年9月3日,五層,
RPRNMLQLPHNFFAH88CA,1,82.41,住家用,鋼筋混凝土造,105年11月3日,九層,七層
RPRNMLQLPHNFFAH88CA,1,64.75,見其他登記事項,鋼筋混凝土造,105年11月3日,九層,
RPRNMLQLPHNFFAH88CA,1,15.89,見其他登記事項,鋼筋混凝土造,105年11月3日,九層,
RPQRMLNLPHNFFAH88CA,3,248.73,見其他登記事項,鋼筋混凝土造,104年3月3日,二十八層,十四層
RPQRMLNLPHNFFAH88CA,3,37.40,見其他登記事項,鋼筋混凝土造,104年3月3日,二十八層,
RPQRMLNLPHNFFAH88CA,3,151.47,見其他登記事項,鋼筋混凝土造,104年3月3日,二十八層,
RPQRMLNLPHNFFAH88CA,3,20.21,見其他登記事項,鋼筋混凝土造,104年3月3日,二十八層,
RPUOMLRLPHNFFAH76CA,13,184.35,住家用,鋼筋混凝土造,94年8月5日,七層,一層 二層
RPUOMLRLPHNFFAH76CA,13,35.39,共有部份,鋼筋混凝土造,94年8月5日,九層,
RPUOMLRLPHNFFAH76CA,13,92.53,共有部份,鋼筋混凝土造,94年8月5日,十層,
RPWVMLQLPHNFFAH57CA,1,99.84,住家用,鋼筋混凝土造,106年12月18日,十三層,七層
RPWVMLQLPHNFFAH57CA,1,75.10,見其他登記事項,鋼筋混凝土造,106年12月18日,十三層,
RPUPMLRLPHNFFAH86CA,2,91.32,住家用,鋼筋混凝土造,105年7月13日,十五層,十層
RPUPMLRLPHNFFAH86CA,2,88.72,見其他登記事項,鋼筋混凝土造,105年7月13日,十五層,
RPQNMLKMPHNFFAH28CA,23,33.35,見其他登記事項,鋼筋混凝土造,84年5月20日,十層,七層
RPQNMLKMPHNFFAH28CA,23,17.89,共有部份,鋼筋混凝土造,84年5月20日,十層,
RPSNMLKMPHNFFAH48CA,4,86.66,住家用,鋼筋混凝土造,103年2月26日,十五層,四層
RPSNMLKMPHNFFAH48CA,4,71.95,見其他登記事項,鋼筋混凝土造,103年2月26日,十五層,
RPVNMLPJPHNFFBH09CA,33,84.94,見其他登記事項,鋼筋混凝土造,74年9月2日,五層,一層 騎樓
RPVNMLPJPHNFFBH09CA,33,4.69,共有部份,鋼筋混凝土造,74年9月2日,五層,
RPWOMLQJPHNFFBH76CA,5,63.52,見其他登記事項,鋼筋混凝土造,102年8月26日,十一層,十一層
RPWOMLQJPHNFFBH76CA,5,56.29,見其他登記事項,鋼筋混凝土造,102年8月26日,十一層,
RPWQMLLMPHNFFAH66CA,3,61.50,見其他登記事項,鋼筋混凝土造,107年4月3日,十八層,三層
RPWQMLLMPHNFFAH66CA,3,80.76,見其他登記事項,鋼筋混凝土造,107年4月3日,十八層,
RPRPMLTJPHNFFBH66CA,36,82.85,住家用,鋼筋混凝土造,70年12月23日,五層,一層
RPOOMLKKPHNFFBH08CA,1,68.25,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,十二層
RPOOMLKKPHNFFBH08CA,1,68.86,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,
RPWNMLKKPHNFFBH78CA,1,68.25,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,六層
RPWNMLKKPHNFFBH78CA,1,70.90,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,
RPVNMLKKPHNFFBH68CA,1,68.25,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,十三層
RPVNMLKKPHNFFBH68CA,1,70.90,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,
RPVQMLKKPHNFFBH98CA,24,116.60,住家用,鋼筋混凝土造,83年1月24日,六層,六層
RPVQMLKKPHNFFBH98CA,24,28.37,共有部份,鋼筋混凝土造,83年1月24日,六層,
RPUQMLKKPHNFFBH88CA,23,164.96,住家用,鋼筋混凝土造,84年5月9日,四層,一層 二層 三層 四層
RPWPMLNKPHNFFBH66CA,,68.19,見其他登記事項,鋼筋混凝土造,107年3月16日,十五層,五層
RPWPMLNKPHNFFBH66CA,,12.50,見其他登記事項,鋼筋混凝土造,107年3月16日,十五層,
RPWPMLNKPHNFFBH66CA,,5.33,見其他登記事項,鋼筋混凝土造,107年3月16日,十五層,
RPWPMLNKPHNFFBH66CA,,13.27,見其他登記事項,鋼筋混凝土造,107年3月16日,十五層,
RPWPMLNKPHNFFBH66CA,,.33,見其他登記事項,鋼筋混凝土造,107年3月16日,十五層,
RPWPMLNKPHNFFBH66CA,,35.09,見其他登記事項,鋼筋混凝土造,107年3月16日,十五層,
RPRTMLNKPHNFFBH56CA,,85.72,見其他登記事項,鋼筋混凝土造,107年4月2日,十二層,十層
RPRTMLNKPHNFFBH56CA,,59.95,見其他登記事項,鋼筋混凝土造,107年4月2日,十四層,
RPRTMLNKPHNFFBH56CA,,18.84,見其他登記事項,鋼筋混凝土造,107年4月2日,十二層,
RPORMLQKPHNFFBH98CA,17,68.12,住家用,鋼筋混凝土造,90年8月30日,二十二層,二十層
RPORMLQKPHNFFBH98CA,17,2.33,共有部份,鋼筋混凝土造,90年8月30日,二十二層,
RPORMLQKPHNFFBH98CA,17,16.30,共有部份,鋼筋混凝土造,90年8月30日,二十二層,
RPORMLQKPHNFFBH98CA,17,1.73,共有部份,鋼筋混凝土造,90年8月30日,二十二層,
