編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPWRMLNJPHNFFAH66CA,中路三段,1457.07,都市：住
RPWRMLNJPHNFFAH66CA,中路三段,1911.70,都市：住
RPOOMLOJPHNFFAH28CA,龍祥段,30.32,都市：住
RPQPMLMJPHNFFAH38CA,慈文段,25.00,都市：住
RPQPMLMJPHNFFAH38CA,慈文段,.33,都市：住
RPSRMLNJPHNFFAH88CA,春日段,11.05,都市：其他
RPTPMLNJPHNFFAH78CA,中路二段,42.58,都市：住
RPWOMLQJPHNFFAH66CA,國際段,7.20,都市：農
RPXOMLPJPHNFFAH66CA,國聖段,36.57,都市：住
RPRQMLPJPHNFFAH88CA,慈文段,38.54,都市：住
RPPOMLOJPHNFFAH38CA,中山段,12.63,都市：商
RPSPMLNJPHNFFAH68CA,中路二段,42.26,都市：住
RPWPMLNJPHNFFAH09CA,中路二段,50.50,都市：住
RPRNMLPKPHNFFAH68CA,會稽段,1.16,都市：其他
RPRNMLPKPHNFFAH68CA,大有段,.43,都市：其他
RPRNMLPKPHNFFAH68CA,大有段,2.82,都市：其他
RPSQMLMKPHNFFAH78CA,桃園段武陵小段,31.22,都市：住
RPROMLKKPHNFFAH28CA,新埔段,27.91,都市：住
RPQPMLNKPHNFFAH58CA,富國段,12.66,都市：住
RPTNMLMKPHNFFAH58CA,同安段,36.56,都市：住
RPPNMLPKPHNFFAH48CA,會稽段,.17,都市：其他
RPSPMLKKPHNFFAH48CA,富國段,21.60,都市：住
RPVOMLMKPHNFFAH88CA,慈文段,8.80,都市：住
RPSNMLPKPHNFFAH78CA,大有段,.27,都市：其他
RPWNMLRKPHNFFAH76CA,中埔段,55.68,都市：住
RPRNMLMLPHNFFAH48CA,新埔段,54.39,都市：住
RPQPMLQKPHNFFAH88CA,大樹林段,31.35,都市：住
RPXSMLOLPHNFFAH17CA,西門段,7.60,都市：其他
RPXSMLOLPHNFFAH17CA,西門段,9.14,都市：其他
RPXSMLOLPHNFFAH17CA,西門段,31.29,都市：其他
RPXSMLOLPHNFFAH17CA,西門段,1.29,都市：其他
RPXSMLOLPHNFFAH17CA,西門段,16.57,都市：其他
RPXSMLOLPHNFFAH17CA,西門段,14.00,都市：其他
RPXSMLOLPHNFFAH17CA,西門段,29.00,都市：其他
RPRNMLQLPHNFFAH88CA,峨眉段,36.60,都市：住
RPQRMLNLPHNFFAH88CA,同德段,39.09,都市：商
RPUOMLRLPHNFFAH76CA,埔子段埔子小段,58.30,都市：住
RPSTMLMJPHNFFBH09CA,興和段,706.55,都市：農
RPWVMLQLPHNFFAH57CA,中平段,27.91,都市：住
RPUPMLRLPHNFFAH86CA,江南段,22.05,都市：住
RPQNMLKMPHNFFAH28CA,東國段,6.31,都市：其他
RPOQMLNJPHNFFBH48CA,富強段,186.96,都市：其他
RPVOMLNJPHNFFBH98CA,大江段,1357.76,都市：農
RPVOMLNJPHNFFBH98CA,大江段,208.19,都市：農
RPSNMLKMPHNFFAH48CA,大有段,27.99,都市：住
RPPPMLOJPHNFFBH58CA,甘泉段,8.56,都市：住
RPVNMLPJPHNFFBH09CA,復興段,21.80,都市：住
RPWOMLQJPHNFFBH76CA,福德段,19.53,都市：住
RPWQMLLMPHNFFAH66CA,同德段,14.68,都市：商
RPRPMLTJPHNFFBH66CA,健行段,16.80,都市：住
RPRPMLTJPHNFFBH66CA,健行段,16.84,都市：住
RPOOMLKKPHNFFBH08CA,雙嶺段,21.89,都市：住
RPWNMLKKPHNFFBH78CA,雙嶺段,21.89,都市：住
RPVNMLKKPHNFFBH68CA,雙嶺段,21.89,都市：住
RPVQMLKKPHNFFBH98CA,普義段,32.83,都市：住
RPWPMLRKPHNFFBH07CA,興和段,66.53,都市：農
RPOQMLRKPHNFFBH98CA,興和段,21.98,都市：農
RPOQMLRKPHNFFBH98CA,興和段,231.00,都市：農
RPUQMLKKPHNFFBH88CA,草新段,72.97,都市：住
RPWPMLNKPHNFFBH66CA,六和段,17.97,都市：住
RPRTMLNKPHNFFBH56CA,雙嶺段,23.74,都市：住
RPQUMLSKPHNFFBH07CA,興和段,158.40,都市：農
RPWTMLSKPHNFFBH57CA,興和段,3859.70,都市：農
RPWTMLSKPHNFFBH57CA,興和段,216.56,都市：農
RPORMLQKPHNFFBH98CA,興南段興南小段,8.30,都市：商
RPQNMLOLPHNFFBH68CA,育仁段,32.61,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRVMLRKPHNFFBH17CA,雙嶺段,23.13,都市：住
RPXPMLOLPHNFFBH96CA,雙嶺段,23.86,都市：住
RPTNNLSKPHNFFBH76CA,雙嶺段,16.60,都市：住
RPTNNLSKPHNFFBH76CA,雙嶺段,.60,都市：住
RPVPMLOLPHNFFBH76CA,雙嶺段,23.74,都市：住
RPUQMLTKPHNFFBH17CA,仁祥段,18.04,都市：住
RPPQMLOLPHNFFBH88CA,雙嶺段,23.70,都市：住
RPOQMLOLPHNFFBH78CA,雙嶺段,24.00,都市：住
RPQQMLOLPHNFFBH98CA,雙嶺段,15.61,都市：住
RPWPMLOLPHNFFBH86CA,雙嶺段,23.86,都市：住
RPRQMLOLPHNFFBH09CA,雙嶺段,15.61,都市：住
RPTQMLOLPHNFFBH66CA,雙嶺段,15.61,都市：住
RPVQMLOLPHNFFBH86CA,雙嶺段,23.74,都市：住
RPUQMLOLPHNFFBH76CA,雙嶺段,23.86,都市：住
RPXNMLPJPHNFFCH76CA,黃龍段,34.96,都市：住
RPXNMLPJPHNFFCH76CA,黃龍段,.16,都市：住
RPSQMLOLPHNFFBH56CA,雙嶺段,15.61,都市：住
RPWNMLPJPHNFFCH66CA,黃龍段,34.96,都市：住
RPWNMLPJPHNFFCH66CA,黃龍段,.16,都市：住
RPSPMLKMPHNFFBH78CA,興崙段,127.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSPMLKMPHNFFBH78CA,興崙段,8.30,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLLJQHNFFBH28CA,工業區段二小段,74.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPVSMLPLPHNFFBH17CA,雙嶺段,23.86,都市：住
RPQOMLNJPHNFFCH58CA,健行段,139.18,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPUOMLPJPHNFFCH56CA,龍華段,134.99,都市：住
RPOOMLPJPHNFFCH58CA,黃龍段,27.98,都市：住
RPOOMLPJPHNFFCH58CA,黃龍段,.16,都市：住
RPPOMLPJPHNFFCH68CA,黃龍段,27.98,都市：住
RPPOMLPJPHNFFCH68CA,黃龍段,.32,都市：住
RPQNMLPJPHNFFCH68CA,仁善段,7.70,都市：住
RPQNMLPJPHNFFCH68CA,仁善段,64.10,都市：住
RPRNMLNJPHNFFCH58CA,梅龍段,41.92,非都市：鄉村區 ; 非都市編定：乙種建築用地
