鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
嘉義市,土地,盧厝段151~180地號,579.0,住,,,1070518,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13130000,22677,,0.0,0,,RPQNMLNJPHNFFAI38CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雙竹街80巷1~30號,38.26,住,,,1070607,土地2建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,見其他登記事項,1060920,141.23000000000002,3,1,2,有,有,6380000,45175,升降機械,0.0,0,,RPOOMLOJPHNFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市大統路27巷1~30號,163.0,住,,,1070606,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1000120,388.48,7,3,7,有,無,18750000,48265,,0.0,0,,RPUNMLPJPHNFFAI98CA
嘉義市,土地,末廣段一小段1~30地號,0.12,商,,,1070615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000,0,,0.0,0,,RPPNMLNJPHNFFAI48EA
嘉義市,房地(土地+建物),嘉義市嘉義市蘭井街151~180號,20.1,住,,,1070618,土地3建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820227,140.9,3,2,2,有,有,3900000,27679,,0.0,0,,RPQNMLNJPHNFFAI58EA
嘉義市,土地,何庄段631~660地號,47.88,農,,,1070605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,309305,6460,,0.0,0,,RPQNMLPJPHNFFAI78EA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市永春三街1~30號,20.56,住,,,1070623,土地1建物2車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810804,141.79,3,2,2,有,有,4360000,30750,坡道平面,0.0,0,,RPQNMLMLPHNFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市溪興街153巷30弄31~60號,16.62,住,,,1070610,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711116,53.54,2,1,1,有,無,1500000,28016,,0.0,0,,RPRNMLMLPHNFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市軍輝路91~120號,88.0,住,,,1040607,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0820429,222.16,3,2,2,有,無,8700000,39161,,0.0,0,,RPQNMLPLPHNFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市青年街181~210號,19.25,住,,,1070524,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0900110,143.43,5,2,3,有,無,2000000,13944,,0.0,0,,RPQNMLQJPHNFFAI68CA
