編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMLPHNFFAI48CA,26,105.42,住家用,鋼筋混凝土造,81年8月4日,十層,八層
RPQNMLMLPHNFFAI48CA,26,22.51,共有部份,鋼筋混凝土造,81年8月4日,十層,
RPQNMLMLPHNFFAI48CA,26,11.92,共有部份,鋼筋混凝土造,81年8月4日,十層,
RPQNMLMLPHNFFAI48CA,26,.47,住家用,鋼筋混凝土造,81年8月4日,十層,
RPQNMLMLPHNFFAI48CA,26,.94,共有部份,鋼筋混凝土造,81年8月4日,十層,
RPQNMLMLPHNFFAI48CA,26,.53,共有部份,鋼筋混凝土造,81年8月4日,十層,
RPQNMLPLPHNFFAI78CA,22,222.16,住商用,鋼筋混凝土造,82年4月29日,四層,一層 二層 三層 四層
RPRNMLMLPHNFFAI58CA,36,46.96,住家用,鋼筋混凝土造,71年11月16日,五層,四層
RPRNMLMLPHNFFAI58CA,36,6.58,共有部份,鋼筋混凝土造,71年11月16日,五層,
RPQNMLQJPHNFFAI68CA,17,143.43,住家用,鋼筋混凝土造,90年1月10日,三層,一層 二層 三層
RPOOMLOJPHNFFAI38CA,1,85.29,住家用,見其他登記事項,106年9月20日,九層,八層
RPOOMLOJPHNFFAI38CA,1,18.26,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPOOMLOJPHNFFAI38CA,1,37.68,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPQNMLNJPHNFFAI58EA,25,112.37,住家用,鋼筋混凝土造,82年2月27日,十四層,十四層
RPQNMLNJPHNFFAI58EA,25,28.53,共有部份,鋼筋混凝土造,82年2月27日,十四層,
RPSOMLTJPHNFFAI66CA,25,78.10,住家用,鋼筋混凝土造,82年10月18日,十四層,十一層
RPSOMLTJPHNFFAI66CA,25,24.04,共有部份,鋼筋混凝土造,82年10月18日,十四層,
RPUNMLPJPHNFFAI98CA,7,388.48,住家用,見其他登記事項,100年1月20日,四層,一層 二層 三層 四層
RPVNMLOJPHNFFAI98CA,,247.26,住家用,見其他登記事項,107年5月24日,四層,一層 二層 三層 四層
RPVNMLSKPHNFFAI86CA,30,226.32,住商用,鋼筋混凝土造,77年8月25日,四層,一層 二層 三層 四層
RPSNMLMLPHNFFAI68CA,25,88.31,住家用,鋼筋混凝土造,82年11月17日,七層,六層
RPSNMLMLPHNFFAI68CA,25,13.61,共有部份,鋼筋混凝土造,82年11月17日,七層,
RPSNMLMLPHNFFAI68CA,25,11.78,共有部份,鋼筋混凝土造,82年11月17日,七層,
RPVNMLLLPHNFFAI88CA,11,202.53,住家用,鋼筋混凝土造,96年1月12日,四層,一層 二層 三層 四層
RPQNMLKMPHNFFAI38CA,26,105.07,住家用,鋼筋混凝土造,81年10月6日,七層,七層
RPQNMLKMPHNFFAI38CA,26,26.46,見其他登記事項,鋼筋混凝土造,81年10月6日,七層,
RPQNMLKMPHNFFAI38CA,26,16.79,共有部份,鋼筋混凝土造,81年10月6日,七層,
RPQNMLKMPHNFFAI38CA,26,4.47,,鋼筋混凝土造,81年10月6日,七層,
RPQNMLKMPHNFFAI38CA,26,.00,,鋼筋混凝土造,81年10月6日,七層,
RPXNMLOLPHNFFAI76CA,1,117.05,見其他登記事項,見其他登記事項,106年6月28日,十層,二層
RPXNMLOLPHNFFAI76CA,1,25.69,見其他登記事項,見其他登記事項,106年6月28日,十層,
RPXNMLOLPHNFFAI76CA,1,52.41,見其他登記事項,見其他登記事項,106年6月28日,十層,
RPXNMLOLPHNFFAI76CA,1,3.88,見其他登記事項,見其他登記事項,106年6月28日,十層,
RPXNMLOLPHNFFAI76CA,1,.70,見其他登記事項,見其他登記事項,106年6月28日,十層,
RPXOMLTJPHNFFAI17CA,29,32.24,住家用,鋼筋混凝土造,78年1月17日,七層,四層
RPXOMLTJPHNFFAI17CA,29,5.06,共有部份,鋼筋混凝土造,78年1月17日,七層,
RPROMLKMPHNFFAI58CA,21,228.49,住家用,鋼筋混凝土造,86年9月15日,四層,一層 二層 三層 四層
RPQNMLOKPHNFFAI58CA,33,85.03,住家用,鋼筋混凝土造,74年8月21日,五層,一層
RPQNMLOKPHNFFAI58CA,33,8.85,共有部份,鋼筋混凝土造,74年8月21日,五層,
RPQNMLOKPHNFFAI58CA,33,6.61,共有部份,鋼筋混凝土造,74年8月21日,五層,
RPTOMLKMPHNFFAI78CA,29,110.11,住家用,鋼筋混凝土造,78年6月6日,五層,二層
RPTOMLKMPHNFFAI78CA,29,20.18,共有部份,鋼筋混凝土造,78年6月6日,五層,
RPOOMLNJQHNFFAI38CA,17,81.08,商業用,見其他登記事項,90年8月21日,一層,一層
RPOOMLNJQHNFFAI38CA,17,81.08,商業用,見其他登記事項,90年8月21日,一層,一層
RPOOMLNJQHNFFAI38CA,17,112.18,見其他登記事項,見其他登記事項,90年8月21日,二層,一層 二層
RPOOMLNJQHNFFAI38CA,17,112.18,見其他登記事項,見其他登記事項,90年8月21日,二層,一層 二層
RPSOMLKMPHNFFAI68CA,20,144.68,住家用,鋼筋混凝土造,87年3月19日,二十二層,十九層 二十層
RPSOMLKMPHNFFAI68CA,20,29.16,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPSOMLKMPHNFFAI68CA,20,36.19,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPWNMLOJPHNFFAI09CA,,240.66,住家用,見其他登記事項,107年5月24日,四層,一層 二層 三層 四層
RPXNMLLLPHNFFAI09CA,23,90.36,住家用,鋼筋混凝土造,84年7月11日,十二層,七層
RPXNMLLLPHNFFAI09CA,23,29.67,共有部份,鋼筋混凝土造,84年7月11日,十二層,
RPTNMLRLPHNFFAI66CA,,119.62,住家用,見其他登記事項,107年2月22日,十層,七層
RPTNMLRLPHNFFAI66CA,,26.47,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPTNMLRLPHNFFAI66CA,,29.79,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPOOMLTKPHNFFAI98CA,27,115.17,住家用,鋼筋混凝土造,80年6月27日,十五層,十二層
RPOOMLTKPHNFFAI98CA,27,19.30,共有部份,鋼筋混凝土造,80年6月27日,十五層,
RPOOMLTKPHNFFAI98CA,27,1.74,共有部份,鋼筋混凝土造,80年6月27日,十五層,
RPOOMLTKPHNFFAI98CA,27,25.85,見其他登記事項,鋼筋混凝土造,80年6月27日,十五層,
RPWNMLRLPHNFFAI96CA,,273.49,見其他登記事項,見其他登記事項,107年2月22日,五層,一層 二層 三層 四層 五層
RPWNMLRLPHNFFAI96CA,,1.00,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPUOMLTJPHNFFAI86CA,23,28.88,住家用,鋼筋混凝土造,84年5月17日,九層,四層
RPUOMLTJPHNFFAI86CA,23,10.00,共有部份,鋼筋混凝土造,84年5月17日,九層,
RPSNMLTJPHNFFAI56CA,40,102.02,住商用,鋼筋混凝土加強磚造,67年5月25日,二層,一層 二層
RPUNMLRLPHNFFAI76CA,,122.71,住家用,見其他登記事項,107年2月22日,十層,七層
RPUNMLRLPHNFFAI76CA,,44.54,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPUNMLRLPHNFFAI76CA,,32.75,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPTNMLMLPHNFFAI78CA,25,86.96,住家用,鋼筋混凝土造,82年6月9日,十六層,四層
RPTNMLMLPHNFFAI78CA,25,21.37,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPTNMLMLPHNFFAI78CA,25,14.23,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPSPMLTJPHNFFAI76CA,28,29.93,住家用,鋼筋混凝土造,79年10月23日,七層,二層
RPSPMLTJPHNFFAI76CA,28,5.32,共有部份,鋼筋混凝土造,79年10月23日,七層,
RPSPMLTJPHNFFAI76CA,28,8.84,共有部份,鋼筋混凝土造,79年10月13日,七層,
RPXNMLRLPHNFFAI07CA,,108.97,住家用,見其他登記事項,107年2月22日,十層,八層
RPXNMLRLPHNFFAI07CA,,33.49,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPXNMLRLPHNFFAI07CA,,28.26,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPVNMLRLPHNFFAI86CA,,109.40,住家用,見其他登記事項,107年2月22日,十層,七層
RPVNMLRLPHNFFAI86CA,,25.52,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPVNMLRLPHNFFAI86CA,,28.76,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPUNMLQJPHNFFAI09CA,19,83.30,住家用,鋼筋混凝土造,88年7月31日,十四層,二層
RPUNMLQJPHNFFAI09CA,19,14.16,共有部份,鋼筋混凝土造,88年7月31日,十四層,
RPUNMLQJPHNFFAI09CA,19,9.81,共有部份,鋼筋混凝土造,88年7月31日,十四層,
