編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPQNMLPJPHNFFAI78EA,何庄段,47.88,都市：農
RPQNMLNJPHNFFAI38CA,盧厝段,316.00,都市：住
RPQNMLNJPHNFFAI38CA,盧厝段,263.00,都市：農
RPQNMLMLPHNFFAI48CA,港子坪段港坪小段,20.56,都市：住
RPQNMLPLPHNFFAI78CA,軍輝段,5.00,都市：住
RPQNMLPLPHNFFAI78CA,軍輝段,83.00,都市：住
RPRNMLMLPHNFFAI58CA,興村段,16.62,都市：住
RPQNMLQJPHNFFAI68CA,車店段,19.25,都市：住
RPOOMLOJPHNFFAI38CA,竹圍子段,.14,都市：住
RPOOMLOJPHNFFAI38CA,竹圍子段,38.11,都市：住
RPQNMLNJPHNFFAI58EA,南門段六小段,2.61,都市：住
RPQNMLNJPHNFFAI58EA,元段六小段,7.14,都市：住
RPQNMLNJPHNFFAI58EA,元段六小段,10.35,都市：住
RPPNMLNJPHNFFAI48EA,末廣段一小段,.12,都市：商
RPSNMLOJPHNFFAI68CA,湖子內段新民小段,232.00,都市：住
RPQNMLMKPHNFFAI38CA,湖子內段新民小段,818.25,都市：住
RPSOMLTJPHNFFAI66CA,東門段七小段,11.73,都市：商
RPUNMLPJPHNFFAI98CA,劉厝段,163.00,都市：住
RPVNMLOJPHNFFAI98CA,下路頭段,103.00,都市：住
RPVNMLQJPHNFFAI56CA,湖子內段新民小段,2908.34,都市：住
RPTNMLPJPHNFFAI09EA,中山段一小段,71.00,都市：住
RPTNMLPJPHNFFAI09EA,中山段一小段,5.25,都市：住
RPVNMLSKPHNFFAI86CA,車店段車店小段,100.00,都市：住
RPSNMLMLPHNFFAI68CA,竹圍子段,22.69,都市：住
RPVNMLLLPHNFFAI88CA,劉厝段玉山小段,93.62,都市：住
RPQNMLKMPHNFFAI38CA,台斗坑段,.29,都市：住
RPQNMLKMPHNFFAI38CA,台斗坑段,16.50,都市：住
RPQNMLKMPHNFFAI38CA,台斗坑段,11.12,都市：住
RPXNMLOLPHNFFAI76CA,北社尾段保安小段,28.08,都市：住
RPXNMLOLPHNFFAI76CA,北社尾段保安小段,.00,都市：住
RPXOMLTJPHNFFAI17CA,車店段車店小段,8.28,都市：住
RPROMLKMPHNFFAI58CA,車店段,92.00,都市：住
RPROMLKMPHNFFAI58CA,車店段,23.09,都市：住
RPQNMLOKPHNFFAI58CA,湖內段,25.75,都市：住
RPTOMLKMPHNFFAI78CA,白川段,39.63,都市：住
RPOOMLNJQHNFFAI38CA,竹圍子段,160.00,都市：住
RPOOMLNJQHNFFAI38CA,竹圍子段,160.00,都市：住
RPSOMLKMPHNFFAI68CA,太平段,25.73,都市：住
RPWNMLOJPHNFFAI09CA,下路頭段,103.00,都市：住
RPXNMLLLPHNFFAI09CA,港子坪段,16.34,都市：住
RPTNMLRLPHNFFAI66CA,竹圍子段,26.53,都市：住
RPTNMLRLPHNFFAI66CA,竹圍子段,3.54,都市：住
RPWNMLNKPHNFFAI09CA,劉厝段玉山小段,1120.19,都市：住
RPOOMLTKPHNFFAI98CA,興村段,21.00,都市：住
RPWNMLRLPHNFFAI96CA,竹圍子段,.50,都市：住
RPWNMLRLPHNFFAI96CA,竹圍子段,23.15,都市：住
RPWNMLRLPHNFFAI96CA,竹圍子段,101.00,都市：住
RPUOMLTJPHNFFAI86CA,中山段七小段,4.56,都市：商
RPSNMLTJPHNFFAI56CA,下路頭段,63.00,都市：住
RPSNMLTJPHNFFAI56CA,下路頭段,4.00,都市：住
