編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPQNMLMLPHNFFAI48CA,坡道平面,0,
RPOOMLOJPHNFFAI38CA,升降機械,0,
RPSNMLMLPHNFFAI68CA,坡道機械,0,
RPQNMLKMPHNFFAI38CA,坡道平面,0,
RPXNMLOLPHNFFAI76CA,坡道平面,0,33.93
RPXNMLLLPHNFFAI09CA,坡道機械,0,
RPTNMLRLPHNFFAI66CA,坡道機械,0,8.26
RPOOMLTKPHNFFAI98CA,坡道機械,0,
RPWNMLRLPHNFFAI96CA,一樓平面,0,
RPUNMLRLPHNFFAI76CA,坡道平面,0,16.23
RPUNMLRLPHNFFAI76CA,坡道機械,0,8.26
RPXNMLRLPHNFFAI07CA,坡道平面,0,16.23
RPVNMLRLPHNFFAI86CA,升降機械,0,8.26
RPSNMLRLPHNFFAI56CA,坡道機械,0,8.26
RPSNMLRLPHNFFAI56CA,坡道平面,0,16.23
RPUNMLMLPHNFFAI88CA,坡道平面,0,
RPUNMLRKPHNFFAI66CA,坡道機械,1100000,14.31
RPUNMLRKPHNFFAI66CA,坡道機械,0,14.31
RPQOMLSLPHNFFAI56CA,坡道平面,0,
RPTNMLQJPHNFFAI98CA,坡道平面,0,
RPXNMLKKPHNFFAI88CA,坡道平面,0,
RPVOMLLJQHNFFAI88CA,坡道機械,0,
RPSNMLMKPHNFFAI58CA,坡道機械,0,
RPSNMLRKPHNFFAI09CA,坡道機械,1100000,14.31
RPSNMLRKPHNFFAI09CA,坡道機械,0,14.31
RPSNMLNLPHNFFAI98EA,坡道機械,0,
