鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十二街31~60號,48.39,住,,,1070528,土地1建物1車位2,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020513,304.69,4,2,2,有,有,21200000,69579,坡道平面,66.12,0,,RPVPMLMJPHNFFBJ56CA
竹北市,土地,翰林段361~390地號,133.28,住,,,1070613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13500000,101291,,0.0,0,,RPQQMLMJPHNFFBJ78CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市環北路五段391~420號,24.05,住,,,1040923,土地1建物2車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070209,166.95,3,2,2,有,有,9000000,58911,坡道平面,32.0,1050000,,RPRPMLNJPHNFFBJ88CA
關西鎮,房地(土地+建物),新竹縣關西鎮青山街82巷1~30號,177.88,住,,,1060420,土地7建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1070309,320.35,5,3,3,有,無,17000000,53067,,0.0,0,有增建部分,RPWNMLOJPHNFFBJ66CA
竹北市,土地,家興段301~330地號,2406.54,住,,,1070613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,473000000,196548,,0.0,0,,RPPNMLPJPHNFFBJ68CA
竹北市,房地(土地+建物),新竹縣竹北市竹義街31~60號,84.2,住,,,1070509,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620716,151.2,6,2,2,有,無,14600000,96561,,0.0,0,,RPOOMLPJPHNFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路二段1~30號,45.82,商,,,1070428,土地1建物1車位2,十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050111,414.01,4,2,4,有,有,42800000,119812,坡道平面,79.32,2700000,,RPROMLOJPHNFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市中正東路371巷1~30號,34.13,住,,,1070514,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861209,221.14999999999998,4,2,2,有,有,8860000,40063,,0.0,0,,RPOOMLQJPHNFFBJ78CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉政十街1~30號,50.85,住,,,1070520,土地1建物1車位2,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060911,304.40999999999997,4,2,2,有,有,25700000,84426,坡道平面,65.62,0,,RPPNMLSJPHNFFBJ98CA
