編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLOJPHNFFBJ88CA,2,225.25,住家用,鋼筋混凝土造,105年1月11日,二十層,十層
RPROMLOJPHNFFBJ88CA,2,48.92,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,
RPROMLOJPHNFFBJ88CA,2,60.52,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPROMLOJPHNFFBJ88CA,2,79.32,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPRPMLNJPHNFFBJ88CA,,94.19,住家用,鋼筋混凝土造,107年2月9日,十四層,九層
RPRPMLNJPHNFFBJ88CA,,50.95,見其他登記事項,鋼筋混凝土造,107年2月9日,十四層,
RPRPMLNJPHNFFBJ88CA,,21.70,見其他登記事項,鋼筋混凝土造,107年2月9日,十四層,
RPRPMLNJPHNFFBJ88CA,,.10,商業用,鋼筋混凝土造,107年2月9日,十四層,
RPRPMLNJPHNFFBJ88CA,,.00,見其他登記事項,鋼筋混凝土造,107年2月9日,十四層,
RPPNMLSJPHNFFBJ98CA,1,162.38,住家用,鋼筋混凝土造,106年9月11日,十九層,六層
RPPNMLSJPHNFFBJ98CA,1,30.55,見其他登記事項,鋼筋混凝土造,106年9月11日,十九層,
RPPNMLSJPHNFFBJ98CA,1,111.48,見其他登記事項,鋼筋混凝土造,106年9月11日,十九層,
RPOOMLPJPHNFFBJ68CA,45,151.20,住家用,加強磚造,62年7月16日,二層,一層 二層 騎樓
RPVPMLMJPHNFFBJ56CA,5,158.12,住家用,鋼筋混凝土造,102年5月13日,十二層,三層
RPVPMLMJPHNFFBJ56CA,5,106.55,見其他登記事項,鋼筋混凝土造,102年5月13日,十二層,
RPVPMLMJPHNFFBJ56CA,5,40.02,見其他登記事項,鋼筋混凝土造,102年5月13日,十二層,
RPWQMLNKPHNFFBJ96CA,,94.41,住家用,鋼筋混凝土造,107年4月9日,十二層,四層
RPWQMLNKPHNFFBJ96CA,,29.35,見其他登記事項,鋼筋混凝土造,107年4月9日,十二層,
RPPSMLNKPHNFFBJ09CA,,86.44,住家用,鋼筋混凝土造,107年4月9日,十二層,七層
RPPSMLNKPHNFFBJ09CA,,29.99,見其他登記事項,鋼筋混凝土造,107年4月9日,十二層,
RPOOMLQJPHNFFBJ78CA,20,145.82,住家用,鋼筋混凝土造,86年12月9日,十二層,六層
RPOOMLQJPHNFFBJ78CA,20,59.68,共用部分,鋼筋混凝土造,86年12月9日,十二層,
RPOOMLQJPHNFFBJ78CA,20,15.65,共用部分,鋼筋混凝土造,86年12月9日,十二層,
RPWNMLOJPHNFFBJ66CA,,320.35,住家用,鋼筋混凝土造,107年3月9日,四層,一層 二層 三層 四層
RPPRMLNKPHNFFBJ98CA,,94.41,住家用,鋼筋混凝土造,107年4月9日,十二層,五層
RPPRMLNKPHNFFBJ98CA,,43.35,見其他登記事項,鋼筋混凝土造,107年4月9日,十二層,
RPRRMLNKPHNFFBJ56CA,,96.44,住家用,鋼筋混凝土造,107年4月9日,十二層,五層
RPRRMLNKPHNFFBJ56CA,,29.99,見其他登記事項,鋼筋混凝土造,107年4月9日,十二層,
RPTSMLNKPHNFFBJ86CA,14,25.45,商業用,鋼筋混凝土造,93年3月9日,十層,十層
RPTSMLNKPHNFFBJ86CA,14,3.47,共用部分,鋼筋混凝土造,93年3月9日,十層,
RPTSMLNKPHNFFBJ86CA,14,7.08,共用部分,鋼筋混凝土造,93年3月9日,十層,
RPPOMLQKPHNFFBJ98CA,,94.41,住家用,鋼筋混凝土造,107年4月9日,十二層,九層
