編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPNMLPJPHNFFBJ68CA,家興段,2406.54,都市：住
RPROMLOJPHNFFBJ88CA,永興段,45.82,都市：商
RPRPMLNJPHNFFBJ88CA,國義段,24.05,都市：住
RPQQMLMJPHNFFBJ78CA,翰林段,133.28,都市：住
RPPNMLSJPHNFFBJ98CA,隘興段,50.85,都市：住
RPOOMLPJPHNFFBJ68CA,站後段,84.20,都市：住
RPVPMLMJPHNFFBJ56CA,自強段,48.39,都市：住
RPWQMLNKPHNFFBJ96CA,麻園段,15.05,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWQMLNKPHNFFBJ96CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWQMLNKPHNFFBJ96CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWQMLNKPHNFFBJ96CA,麻園段,23.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPSMLNKPHNFFBJ09CA,麻園段,15.05,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPSMLNKPHNFFBJ09CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPSMLNKPHNFFBJ09CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPSMLNKPHNFFBJ09CA,麻園段,23.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLQJPHNFFBJ78CA,竹義段,34.13,都市：住
RPWNMLOJPHNFFBJ66CA,關農段,5.71,都市：住
RPWNMLOJPHNFFBJ66CA,關農段,25.37,都市：住
RPWNMLOJPHNFFBJ66CA,關農段,4.01,都市：住
RPWNMLOJPHNFFBJ66CA,關農段,6.34,都市：住
RPWNMLOJPHNFFBJ66CA,關農段,135.49,都市：住
RPWNMLOJPHNFFBJ66CA,關農段,.61,都市：住
RPWNMLOJPHNFFBJ66CA,關農段,.33,都市：住
RPPRMLNKPHNFFBJ98CA,麻園段,15.05,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPRMLNKPHNFFBJ98CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPRMLNKPHNFFBJ98CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRRMLNKPHNFFBJ56CA,麻園段,15.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRRMLNKPHNFFBJ56CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRRMLNKPHNFFBJ56CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRRMLNKPHNFFBJ56CA,麻園段,23.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTSMLNKPHNFFBJ86CA,大學段,5.10,都市：商
RPPOMLQKPHNFFBJ98CA,麻園段,15.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLQKPHNFFBJ98CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLQKPHNFFBJ98CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLQKPHNFFBJ07CA,麻園段,15.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLQKPHNFFBJ07CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLQKPHNFFBJ07CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLQKPHNFFBJ07CA,麻園段,23.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLQKPHNFFBJ56CA,麻園段,15.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLQKPHNFFBJ56CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLQKPHNFFBJ56CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLQKPHNFFBJ56CA,麻園段,23.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLOLPHNFFBJ98CA,泰陽段,255.16,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOLPHNFFBJ98CA,泰陽段,368.15,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXOMLQKPHNFFBJ17CA,麻園段,15.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLQKPHNFFBJ17CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLQKPHNFFBJ17CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLQKPHNFFBJ17CA,麻園段,46.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLQKPHNFFBJ76CA,麻園段,15.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLQKPHNFFBJ76CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLQKPHNFFBJ76CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLQKPHNFFBJ76CA,麻園段,23.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTPMLRKPHNFFBJ96CA,大學段,15.93,都市：商
RPVOMLQKPHNFFBJ96CA,麻園段,15.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLQKPHNFFBJ96CA,麻園段,2.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLQKPHNFFBJ96CA,麻園段,2.19,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLRKPHNFFBJ96CA,大學段,17.19,都市：商
