鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
卓蘭鎮,土地,大坪林段241~270地號,56.0,,山坡地保育區,農牧用地,1070222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13988,250,,0.0,0,,RPPNMLPLPHNFFAK88CA
苗栗市,土地,恭敬段2281~2310地號,1157.0,農,,,1070611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,519,,0.0,0,,RPTNMLNJPHNFFBK98CA
公館鄉,土地,義民段1171~1200地號,1094.74,,特定農業區,農牧用地,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,2010,,0.0,0,,RPPOMLNJPHNFFBK68CA
公館鄉,房地(土地+建物),苗栗縣公館鄉中義村8鄰中義151~180號,108.88,,特定農業區,甲種建築用地,1070523,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1061229,183.77,5,2,3,有,無,4200000,22855,,0.0,0,室內尚未裝修完善部分由買方自行處理。,RPQOMLNJPHNFFBK78CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市福麗里33鄰忠孝31~60號,77.58,,山坡地保育區,丙種建築用地,1070601,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050712,154.14,4,2,2,有,有,6250000,40548,一樓平面,0.0,300000,車位面積內含在公設共有部分,RPTOMLNJPHNFFBK09CA
公館鄉,房地(土地+建物),苗栗縣公館鄉館南村17鄰通明街121~150號,162.89,住,,,1070610,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060711,189.95,4,2,2,有,無,8500000,44749,,0.0,0,,RPPNMLPJPHNFFBK78CA
苗栗市,土地,嘉盛段1171~1200地號,410.0,,特定農業區,農牧用地,1070520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,18293,,0.0,0,,RPQNMLOJPHNFFBK78CA
公館鄉,土地,尖山段1981~2010地號,3010.0,,特定農業區,農牧用地,1070515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9300000,3090,,0.0,0,,RPPNMLQKPHNFFBK98CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮客庄里14鄰初中路31~60號,121.7,住,,,1070418,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070213,237.25,4,1,5,有,無,9200000,38778,,0.0,0,,RPSNMLMJPHNFFCK88CA
