編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLOJPHNFFCK88CA,27,92.59,住家用,鋼筋混凝土造,80年5月1日,七層,六層
RPQNMLOJPHNFFCK88CA,27,12.76,見其他登記事項,鋼筋混凝土造,80年5月1日,七層,
RPPNMLPJPHNFFBK78CA,1,189.95,住家用,鋼筋混凝土造,106年7月11日,三層,一層 二層 三層
RPTOMLNJPHNFFBK09CA,2,52.54,住家用,鋼筋混凝土造,105年7月12日,七層,六層
RPTOMLNJPHNFFBK09CA,2,18.01,見其他登記事項,鋼筋混凝土造,105年7月12日,七層,
RPTOMLNJPHNFFBK09CA,2,6.52,見其他登記事項,鋼筋混凝土造,105年7月12日,七層,
RPTOMLNJPHNFFBK09CA,2,52.54,住家用,鋼筋混凝土造,105年7月12日,七層,六層
RPTOMLNJPHNFFBK09CA,2,18.01,見其他登記事項,鋼筋混凝土造,105年7月12日,七層,
RPTOMLNJPHNFFBK09CA,2,6.52,見其他登記事項,鋼筋混凝土造,105年7月12日,七層,
RPQOMLNJPHNFFBK78CA,,183.77,住家用,鋼筋混凝土造,106年12月29日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLMJPHNFFCK88CA,,237.25,見其他登記事項,鋼筋混凝土造,107年2月13日,三層,一層 二層 三層 見其他登記事項
RPTNMLPJPHNFFDK76CA,40,152.40,住家用,鋼筋混凝土造,67年5月26日,二層,一層 二層 騎樓
RPQNMLQKPHNFFCK56CA,30,228.40,住家用,鋼筋混凝土造,77年5月22日,三層,一層 二層 三層
RPSNMLOJPHNFFDK56CA,2,220.67,見其他登記事項,鋼筋混凝土造,104年11月17日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLMJPHNFFDK09CA,20,139.93,住家用,鋼筋混凝土造,87年9月1日,三層,一層 二層 三層 屋頂突出物
RPRNMLOJPHNFFEK56CA,1,281.72,農舍,見其他登記事項,106年2月7日,二層,一層 二層
RPQNMLQJPHNFFEK66CA,21,87.89,住家用,鋼筋混凝土造,86年5月28日,五層,四層
RPQNMLQJPHNFFEK66CA,21,.48,見其他登記事項,鋼筋混凝土造,86年5月28日,五層,
RPQNMLQJPHNFFEK66CA,21,8.17,住家用,鋼筋混凝土造,86年5月28日,五層,
RPVNMLOJPHNFFFK07CA,21,82.94,住家用,鋼筋混凝土造,86年1月29日,九層,六層
RPUOMLNJPHNFFFK96CA,1,69.51,見其他登記事項,鋼筋混凝土造,106年4月11日,十三層,七層
RPUOMLNJPHNFFFK96CA,1,9.38,見其他登記事項,鋼筋混凝土造,106年4月11日,十三層,
RPUOMLNJPHNFFFK96CA,1,21.76,見其他登記事項,鋼筋混凝土造,106年4月11日,十三層,
RPUOMLNJPHNFFFK96CA,1,.46,見其他登記事項,鋼筋混凝土造,106年4月11日,十三層,
RPUOMLNJPHNFFFK96CA,1,.06,見其他登記事項,鋼筋混凝土造,106年4月11日,十三層,
RPUOMLNJPHNFFFK96CA,1,.14,見其他登記事項,鋼筋混凝土造,106年4月11日,十三層,
RPTNMLQLPHNFFDK17DA,1,108.83,見其他登記事項,鋼筋混凝土造,106年7月25日,五層,三層
RPTNMLQLPHNFFDK17DA,1,14.50,共有部分,鋼筋混凝土造,106年7月25日,五層,
RPTNMLQLPHNFFDK17DA,1,24.11,共有部分,鋼筋混凝土造,106年7月25日,五層,
RPRNMLQJPHNFFDK76DA,16,20.71,住家用,鋼筋混凝土造,91年4月17日,四層,二層
RPRNMLQJPHNFFDK76DA,16,20.71,住家用,鋼筋混凝土造,91年4月17日,四層,二層
RPRNMLQJPHNFFDK76DA,16,12.35,見其他登記事項,鋼筋混凝土造,91年4月17日,四層,
RPUNMLPJPHNFFFK17DA,38,108.64,住家用,加強磚造,69年7月1日,二層,一層 二層
RPSNMLKKPHNFFFK09CA,22,197.61,住家用,鋼筋混凝土造,85年10月29日,四層,一層 二層 三層 四層
RPPPMLPJPHNFFFK76CA,2,89.46,住家用,鋼筋混凝土造,105年7月7日,十二層,十層
RPPPMLPJPHNFFFK76CA,2,59.09,見其他登記事項,鋼筋混凝土造,105年7月7日,十二層,
RPPPMLPJPHNFFFK76CA,2,24.64,見其他登記事項,鋼筋混凝土造,105年7月7日,十二層,
RPQOMLOJPHNFFFK66CA,23,167.18,住家用,鋼筋混凝土造,84年11月30日,四層,一層 二層 三層 四層
RPQOMLOJPHNFFFK66CA,23,3.98,見其他登記事項,鋼筋混凝土造,84年11月30日,,
RPSOMLKKPHNFFFK56CA,14,241.57,見其他登記事項,鋼筋混凝土造,93年10月2日,四層,一層 二層 三層 四層 騎樓
RPOOMLQJPHNFFFK66CA,1,69.51,見其他登記事項,鋼筋混凝土造,105年12月22日,七層,六層
RPOOMLQJPHNFFFK66CA,1,11.32,見其他登記事項,鋼筋混凝土造,105年12月22日,七層,
RPOOMLQJPHNFFFK66CA,1,.98,見其他登記事項,鋼筋混凝土造,105年12月22日,七層,
RPOOMLQJPHNFFFK66CA,1,43.40,見其他登記事項,鋼筋混凝土造,105年12月22日,七層,
RPQNMLPJPHNFFDK09CA,15,21.07,住家用,鋼筋混凝土造,92年7月16日,四層,二層
RPQNMLPJPHNFFDK09CA,15,6.49,見其他登記事項,鋼筋混凝土造,92年7月16日,四層,
RPTOMLNJPHNFFFK86CA,29,148.54,住家用,加強磚造,78年5月18日,三層,一層 二層 三層
RPSNMLNJPHNFFDK09CA,4,381.95,農舍,鋼筋混凝土造,103年4月3日,三層,一層 二層 三層
RPPNMLSKPHNFFCK66CA,,165.64,見其他登記事項,鋼筋混凝土造,107年3月20日,四層,一層 二層 三層 四層
RPRNMLPJPHNFFDK56CA,15,20.69,住家用,鋼筋混凝土造,92年7月16日,四層,二層
RPRNMLPJPHNFFDK56CA,15,6.40,見其他登記事項,鋼筋混凝土造,92年7月16日,四層,
RPUNMLOJPHNFFDK76CA,24,187.82,住家用,鋼筋混凝土造,83年6月20日,四層,一層 二層 三層 四層
RPRNMLQLPHNFFBK66CA,23,50.02,見其他登記事項,鋼筋混凝土造,84年6月1日,十一層,六層
RPRNMLQLPHNFFBK66CA,23,7.40,見其他登記事項,鋼筋混凝土造,84年6月1日,十一層,
RPRNMLQLPHNFFBK66CA,23,6.39,見其他登記事項,鋼筋混凝土造,84年6月1日,十一層,
