編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPNMLPLPHNFFAK88CA,大坪林段,56.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJPHNFFBK98CA,恭敬段,1157.00,都市：農
RPQNMLOJPHNFFBK78CA,嘉盛段,410.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLNJPHNFFBK68CA,義民段,1094.74,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLQKPHNFFBK98CA,尖山段,3010.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLPJPHNFFCK56CA,苑裡坑段水柳坡小段,271.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLPJPHNFFCK56CA,苑裡坑段水柳坡小段,15.67,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLPJPHNFFCK56CA,苑裡坑段水柳坡小段,97.83,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLPJPHNFFCK56CA,苑裡坑段水柳坡小段,223.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLPJPHNFFCK56CA,苑裡坑段水柳坡小段,254.28,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLPJPHNFFCK56CA,苑裡坑段水柳坡小段,2475.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLPJPHNFFCK56CA,苑裡坑段水柳坡小段,233.83,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLPJPHNFFCK56CA,苑裡坑段水柳坡小段,620.67,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLOJPHNFFCK88CA,房北段,23.15,都市：住
RPROMLQLPHNFFCK86CA,泰田段,212.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLQLPHNFFCK86CA,泰田段,212.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPJPHNFFBK78CA,館聖段,122.93,都市：住
RPPNMLPJPHNFFBK78CA,館聖段,25.01,都市：住
RPPNMLPJPHNFFBK78CA,館聖段,14.95,都市：住
RPPOMLQLPHNFFCK66CA,泰田段,232.50,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLNJPHNFFBK09CA,福麗段,38.79,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTOMLNJPHNFFBK09CA,福麗段,38.79,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWNMLOJPHNFFDK96CA,頂東段,79.74,都市：農
RPQNMLNJPHNFFEK98CA,雙草湖段,2527.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQOMLNJPHNFFBK78CA,義民段,29.04,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLNJPHNFFBK78CA,義民段,79.84,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLMJPHNFFCK88CA,新興段,121.70,都市：住
RPPNMLNJPHNFFEK88CA,水美段,1441.86,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLPJPHNFFDK76CA,新生段,100.26,都市：住
RPTNMLPJPHNFFDK76CA,新生段,4.17,都市：其他
RPQNMLQKPHNFFCK56CA,南勢林段,73.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLQKPHNFFCK56CA,南勢林段,288.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLOJPHNFFDK56CA,大同段,60.26,都市：住
RPSNMLOJPHNFFDK56CA,大同段,24.25,都市：住
RPTNMLMJPHNFFDK09CA,劍潭段,19.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLMJPHNFFDK09CA,劍潭段,72.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLNJPHNFFFK96CA,四灣段,162.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLNJPHNFFFK76CA,內灣段,1129.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLOJPHNFFFK56CA,自強段,561.74,都市：住
RPTNMLOJPHNFFFK86CA,自強段,4.80,都市：住
RPTNMLOJPHNFFFK86CA,自強段,92.66,都市：其他
RPSNMLOJPHNFFFK76CA,自強段,1870.40,都市：住
RPSNMLOJPHNFFFK76CA,自強段,6.03,都市：其他
