編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPQNMLOJPHNFFCK88CA,坡道平面,0,
RPTOMLNJPHNFFBK09CA,一樓平面,300000,
RPUOMLNJPHNFFFK96CA,其他,0,
RPPPMLPJPHNFFFK76CA,坡道平面,0,
RPOOMLQJPHNFFFK66CA,坡道平面,0,
RPSNMLKMPHNFFDK09CA,坡道平面,800000,16.35
RPROMLOJPHNFFFK76CA,坡道平面,0,28.48
RPPNMLRKPHNFFFK86CA,坡道平面,980000,50.88
RPRNMLRKPHNFFFK07CA,坡道平面,880000,37.79
RPUNMLRKPHNFFFK37CA,坡道平面,700000,37.79
RPWNMLRKPHNFFFK57CA,坡道平面,880000,37.79
RPSNMLRKPHNFFFK17CA,坡道平面,900000,50.88
RPXNMLRKPHNFFFK67CA,坡道平面,880000,37.79
RPQNMLRKPHNFFFK96CA,坡道平面,800000,50.88
RPVNMLRKPHNFFFK47CA,坡道平面,880000,37.79
RPPOMLKKPHNFFFK88CA,坡道機械,0,
RPPOMLKKPHNFFFK88CA,坡道機械,0,
RPWNMLTJPHNFFFK67CA,坡道平面,0,
RPQNMLKKPHNFFDK68CA,一樓平面,0,
RPWNMLQKPHNFFDK27CA,坡道平面,1000000,47.23
RPRNMLKKPHNFFDK78CA,一樓平面,0,
RPPNMLMKPHNFFDK78CA,其他,0,
RPSNMLPJPHNFFDK66CA,坡道平面,0,
RPUNMLPLPHNFFBK86CA,一樓平面,0,
RPXNMLQKPHNFFDK37CA,坡道平面,1000000,47.23
RPTNMLPLPHNFFBK76CA,一樓平面,0,
RPWNMLPLPHNFFBK07CA,一樓平面,0,
RPSNMLKKPHNFFDK88CA,一樓平面,0,
RPVNMLPLPHNFFBK96CA,一樓平面,0,
RPRNMLTJPHNFFFK17CA,坡道平面,950000,30.12
RPRNMLTJPHNFFFK17CA,坡道平面,950000,30.12
RPXNMLOLPHNFFFK47CA,坡道平面,1100000,26.87
RPPNMLKKPHNFFFK78CA,坡道平面,0,
RPROMLOLPHNFFFK96CA,坡道平面,1050000,25.75
RPROMLOLPHNFFFK96CA,坡道平面,1100000,26.87
RPTOMLOLPHNFFFK17CA,坡道平面,1250000,26.87
RPUOMLOLPHNFFFK27CA,坡道平面,1050000,25.75
RPOOMLOLPHNFFFK66CA,坡道平面,1250000,26.87
RPOOMLOLPHNFFFK66CA,坡道平面,1250000,26.87
RPVOMLOLPHNFFFK37CA,坡道平面,1100000,26.87
RPQOMLOLPHNFFFK86CA,坡道平面,1250000,26.87
RPSOMLOLPHNFFFK07CA,坡道平面,1100000,26.87
RPOOMLRKPHNFFDK66CA,坡道平面,1100000,32.12
RPSNMLNKPHNFFDK56CA,坡道平面,1000000,33.41
RPSOMLQJQHNFFDK96CA,坡道平面,1100000,32.12
RPXNMLSKPHNFFDK57CA,坡道平面,900000,33.41
RPTNMLSKPHNFFDK17CA,坡道平面,900000,33.41
RPXNMLPLPHNFFBK17CA,一樓平面,0,
RPTNMLMKPHNFFFK76CA,升降機械,0,5.89
RPPNMLNKPHNFFDK88CA,坡道平面,900000,33.41
RPOOMLPLPHNFFBK98CA,一樓平面,0,
RPPOMLPLPHNFFBK09CA,一樓平面,0,
RPXNMLTJPHNFFBK37CA,一樓平面,300000,
RPQNMLMKPHNFFBK68CA,坡道平面,0,
RPQNMLNKPHNFFDK98CA,升降機械,600000,8.53
RPOOMLKKPHNFFFK78CA,坡道平面,0,
RPTNMLMKPHNFFDK56CA,坡道機械,0,
RPVNMLKKPHNFFFK76CA,坡道機械,0,
RPPNMLMJQHNFFFK98CA,坡道平面,900000,31.17
