鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
南投市,房地(土地+建物),南投縣南投市永鳴路160巷1~30號,218.16,,山坡地保育區,丙種建築用地,1070614,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0720819,120.08,4,2,2,有,無,4000000,33311,,0.0,0,,RPRNMLOJPHNFFAM98CA
中寮鄉,土地,龍眼林段691~720地號,2046.0,,山坡地保育區,林業用地,1070606,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,760000,371,,0.0,0,,RPXNMLOJPHNFFAM96CA
南投市,土地,成功段1321~1350地號,357.14,住,,,1070530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11340000,31752,,0.0,0,,RPPNMLQJPHNFFAM98CA
草屯鎮,土地,平西段691~720地號,92.46,,一般農業區,甲種建築用地,1070609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,10815,,0.0,0,二親等姻親買賣,RPPNMLPJPHNFFBM98CA
草屯鎮,土地,新南埔段1171~1200地號,1096.15,,山坡地保育區,農牧用地,1070310,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13326437,12157,,0.0,0,,RPWNMLPJPHNFFBM07CA
草屯鎮,房地(土地+建物),南投縣草屯鎮中和路61~90號,84.25,,鄉村區,乙種建築用地,1070517,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690101,128.7,4,2,3,有,無,3000000,23310,,0.0,0,,RPPOMLPJPHNFFBM09CA
草屯鎮,土地,中原段841~870地號,121.17,,鄉村區,乙種建築用地,1070622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1466157,12100,,0.0,0,,RPSNMLQJPHNFFBM76CA
草屯鎮,房地(土地+建物),南投縣草屯鎮草溪路695巷91~120號,248.01,,特定農業區,農牧用地,1070610,土地2建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,0830225,220.15,4,2,2,有,無,6800000,,,0.0,0,,RPXNMLKMPHNFFBM96CA
埔里鎮,土地,中峰段湳興小段211~240地號,112.49,,鄉村區,乙種建築用地,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3420000,30403,,0.0,0,,RPRNMLOJPHNFFCM56CA
埔里鎮,土地,中峰段湳興小段211~240地號,134.78,,鄉村區,乙種建築用地,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4080000,30272,,0.0,0,,RPSNMLOJPHNFFCM66CA
竹山鎮,房地(土地+建物),南投縣竹山鎮民生巷31~60號,85.9,,鄉村區,乙種建築用地,1070615,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830618,193.36,4,2,3,有,無,3350000,17325,,0.0,0,,RPQNMLOJPHNFFDM56CA
鹿谷鄉,土地,鹿彰段751~780地號,13.25,住,,,1070625,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,455656,34389,,0.0,0,,RPROMLPJPHNFFDM86CA
竹山鎮,土地,新勞水坑段1~30地號,1272.23,,河川區,農牧用地,1070605,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,747102,587,,0.0,0,政府辦理公共工程協議價購,RPQNMLQJPHNFFDM76CA
竹山鎮,土地,新勞水坑段91~120地號,92.1,,河川區,農牧用地,1070605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,55258,600,,0.0,0,政府辦理公共工程協議價購,RPRNMLQJPHNFFDM86CA
鹿谷鄉,土地,新和段541~570地號,4439.99,農,,,1070614,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17912788,4034,,0.0,0,1.本件援於民國107年4月1日所訂立之買賣契約書.2.申報價內含土地增值稅12788元.,RPTOMLPJPHNFFDM07CA
水里鄉,土地,永豐段361~390地號,208.0,,鄉村區,乙種建築用地,1070612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1887600,9075,,0.0,0,,RPTNMLTJPHNFFEM47CA
南投市,土地,東施厝坪段151~180地號,143.0,住,,,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1622000,11343,,0.0,0,,RPPOMLOJPHNFFAM98DA
草屯鎮,土地,水汴頭段61~90地號,111.46,,鄉村區,乙種建築用地,1070521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1411000,12659,,0.0,0,,RPRNMLNJPHNFFBM09DA
集集鎮,土地,八張段781~810地號,126.43,住,,,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1380000,10915,,0.0,0,,RPRNMLTJPHNFFEM37DA
竹山鎮,土地,坪林段271~300地號,1160.0,,森林區,林業用地,1070612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,105560,91,,0.0,0,,RPQNMLTJPHNFFDM17DA
名間鄉,土地,埔中段871~900地號,1309.01,,一般農業區,農牧用地,1070526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,1070,,0.0,0,,RPROMLTKPHNFFAM17DA
竹山鎮,土地,圳頭段31~60地號,588.37,農,,,1070608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,5439,,0.0,0,,RPQNMLNLPHNFFDM66CA
竹山鎮,土地,後埔子段水車小段211~240地號,2015.0,,山坡地保育區,林業用地,1070612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,397,,0.0,0,,RPRNMLLKPHNFFDM09CA
竹山鎮,土地,桂南段391~420地號,5163.78,,一般農業區,農牧用地,1070523,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,1452,,0.0,0,,RPTNMLLKPHNFFDM66CA
竹山鎮,土地,嶺頂段91~120地號,8330.82,,森林區,農牧用地,1070516,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1631700,196,,0.0,0,姐弟3人承買,RPRNMLTJPHNFFDM17CA
埔里鎮,房地(土地+建物),南投縣埔里鎮愛蘭路46巷1~30號,114.99,,鄉村區,乙種建築用地,1070508,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051226,182.73,4,3,4,有,無,7800000,42686,,0.0,0,,RPPNMLLJQHNFFCM78CA
埔里鎮,土地,中峰段541~570地號,45.38,,鄉村區,乙種建築用地,1070615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,33054,,0.0,0,,RPSNMLLJQHNFFCM09CA
