編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLPJPHNFFBM09CA,38,128.70,住家用,加強磚造,69年1月1日,二層,一層 二層 騎樓
RPXNMLKMPHNFFBM96CA,24,220.15,農舍,鋼筋混凝土造,83年2月25日,三層,一層 二層 三層
RPRNMLOJPHNFFAM98CA,35,120.08,住家用,鋼筋混凝土加強磚造,72年8月19日,二層,一層 二層
RPQNMLOJPHNFFDM56CA,24,193.36,住家用,鋼筋混凝土造,83年6月18日,四層,一層 二層 三層 四層 電梯樓梯間
RPPNMLLJQHNFFCM78CA,1,182.73,見其他登記事項,見其他登記事項,105年12月26日,三層,一層 二層 三層 見其他登記事項
RPTNMLOJPHNFFCM76CA,24,86.58,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,四層
RPTNMLOJPHNFFCM76CA,24,46.55,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,
RPQNMLPJPHNFFAM98CA,22,168.44,住家用,鋼筋混凝土造,85年8月3日,三層,一層 二層 三層 屋頂突出物
RPUNMLTJPHNFFAM17CA,25,82.90,住家用,鋼筋混凝土造,82年11月10日,十四層,十二層
RPUNMLTJPHNFFAM17CA,25,10.42,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPUNMLTJPHNFFAM17CA,25,8.97,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPUNMLTJPHNFFAM17CA,25,.50,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPUNMLTJPHNFFAM17CA,25,7.50,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPQNMLKKPHNFFAM58CA,5,222.09,見其他登記事項,鋼筋混凝土造,102年1月11日,四層,一層 二層 三層 四層
RPSNMLNLPHNFFCM76CA,39,66.05,住家用,加強磚造,68年12月3日,一層,一層
RPXNMLNLPHNFFAM07CA,1,479.34,見其他登記事項,鋼筋混凝土造,106年5月22日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPPNMLLKPHNFFCM78CA,48,123.41,住家用,鋼筋混凝土加強磚造,59年1月23日,三層,一層 二層 三層
RPVNMLTJPHNFFCM47CA,20,126.00,見其他登記事項,鋼筋混凝土造,87年10月19日,三層,一層 二層 三層
RPQNMLPJPHNFFCM66DA,24,68.03,見其他登記事項,鋼筋混凝土造,83年7月8日,十二層,七層
RPQNMLPJPHNFFCM66DA,24,10.09,見其他登記事項,鋼筋混凝土造,83年7月8日,十二層,
RPPOMLNLPHNFFAM98CA,26,93.55,住家用,鋼筋混凝土造,81年8月6日,五層,四層
RPPOMLNLPHNFFAM98CA,26,6.61,見其他登記事項,鋼筋混凝土造,81年8月6日,五層,
RPOOMLMKPHNFFDM98CA,17,240.35,住家用,鋼筋混凝土造,90年6月11日,三層,一層 二層 三層
RPPNMLPJPHNFFCM56DA,39,74.19,住家用,加強磚造,68年5月10日,一層,一層
RPWNMLKMPHNFFBM86CA,23,102.34,住家用,鋼筋混凝土造,84年9月27日,十二層,五層
RPWNMLKMPHNFFBM86CA,23,28.84,見其他登記事項,鋼筋混凝土造,84年9月27日,十二層,
RPWNMLKMPHNFFBM86CA,23,.51,見其他登記事項,鋼筋混凝土造,84年9月27日,十二層,
RPWNMLKMPHNFFBM86CA,23,11.06,見其他登記事項,鋼筋混凝土造,84年9月27日,十二層,
RPTNMLLMPHNFFBM66CA,37,110.00,住商用,鋼筋混凝土加強磚造,70年4月10日,二層,一層 二層 騎樓
RPOOMLQLPHNFFBM66CA,37,103.23,住商用,鋼筋混凝土造,70年5月25日,二層,一層 二層
RPQNMLNKPHNFFBM98CA,1,298.27,見其他登記事項,鋼筋混凝土造,106年2月15日,四層,一層 二層 三層 四層
RPVNMLTJPHNFFBM37CA,,215.64,見其他登記事項,鋼筋混凝土造,107年5月18日,三層,一層 二層 三層 見其他登記事項
RPVNMLLKPHNFFAM56CA,24,82.87,住家用,鋼筋混凝土造,83年10月7日,十一層,三層
RPVNMLLKPHNFFAM56CA,24,31.74,見其他登記事項,鋼筋混凝土造,83年10月7日,十一層,
RPSNMLNKPHNFFAM09CA,2,247.06,見其他登記事項,鋼筋混凝土造,104年12月24日,四層,一層 二層 三層 四層 屋頂突出物
RPRNMLSKPHNFFCM07CA,29,179.85,住家用,鋼筋混凝土造,77年12月30日,三層,一層 二層 三層
RPPNMLKLPHNFFCM88DA,19,41.63,見其他登記事項,鋼筋混凝土造,87年12月31日,八層,四層
RPPNMLKLPHNFFCM88DA,19,18.27,見其他登記事項,鋼筋混凝土造,87年12月31日,八層,
RPVNMLLJQHNFFBM66CA,12,154.11,住家用,鋼筋混凝土造,95年11月29日,三層,一層 二層 三層 屋頂突出物
RPPNMLKKPHNFFBM58CA,,230.38,見其他登記事項,鋼筋混凝土造,107年5月18日,三層,一層 二層 三層 見其他登記事項
RPPNMLLKPHNFFDM88CA,1,185.98,見其他登記事項,鋼筋混凝土造,106年8月25日,三層,一層 二層 三層 見其他登記事項
RPPNMLLKPHNFFDM88CA,1,.46,見其他登記事項,鋼筋混凝土造,106年8月25日,一層,
RPQNMLKKPHNFFBM68CA,32,163.61,住商用,鋼筋混凝土造,75年2月7日,三層,一層 二層 三層 騎樓
RPROMLRKPHNFFBM96CA,14,112.04,見其他登記事項,鋼筋混凝土造,93年2月5日,七層,七層
RPROMLRKPHNFFBM96CA,14,65.31,見其他登記事項,鋼筋混凝土造,93年2月5日,七層,
RPSNMLSKPHNFFAM96CA,19,59.42,住家用,鋼筋混凝土造,88年8月30日,五層,四層
RPSNMLSKPHNFFAM96CA,19,6.06,見其他登記事項,鋼筋混凝土造,88年8月30日,五層,
RPTOMLMKPHNFFAM56CA,20,88.48,住家用,鋼筋混凝土造,87年4月14日,七層,一層 二層
RPTOMLMKPHNFFAM56CA,20,23.86,見其他登記事項,鋼筋混凝土造,87年4月14日,七層,
RPUNMLNKPHNFFBM76CA,12,172.66,住家用,鋼筋混凝土造,95年11月29日,三層,一層 二層 三層 屋頂突出物
RPTNMLNKPHNFFAM56CA,38,95.96,住商用,鋼筋混凝土加強磚造,69年7月1日,三層,一層 二層 三層
RPRNMLSKPHNFFAM86CA,2,324.58,見其他登記事項,鋼筋混凝土造,105年7月6日,四層,一層 二層 三層 四層
RPPNMLNJQHNFFBM88CA,,180.50,見其他登記事項,鋼筋混凝土造,107年1月5日,四層,一層 二層 三層 四層
RPVNMLQLPHNFFBM27CA,37,114.81,住商用,鋼筋混凝土造,70年4月23日,三層,一層 二層 三層 騎樓
RPWNMLNJQHNFFBM96CA,,91.38,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,三層
RPWNMLNJQHNFFBM96CA,,49.13,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,
RPXNMLQLPHNFFBM47CA,21,121.71,住家用,鋼筋混凝土造,86年6月30日,三層,一層 二層 三層
RPXNMLQLPHNFFBM47CA,21,.17,見其他登記事項,鋼筋混凝土造,86年6月30日,一層,
RPXNMLQLPHNFFBM47CA,21,35.47,停車空間,鋼筋混凝土造,86年6月30日,地下層,
RPQOMLNJQHNFFBM09CA,,89.84,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,七層
RPQOMLNJQHNFFBM09CA,,75.54,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,
RPSOMLNJQHNFFBM66CA,,80.08,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,七層
RPSOMLNJQHNFFBM66CA,,56.67,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,
RPUNMLNJQHNFFBM76CA,,86.19,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,三層
RPUNMLNJQHNFFBM76CA,,59.97,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,
RPPOMLNJQHNFFBM98CA,,80.08,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,六層
RPPOMLNJQHNFFBM98CA,,70.28,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,
RPROMLNJQHNFFBM56CA,,86.19,見其他登記事項,鋼筋混凝土造,107年5月2日,十一層,七層
