編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPRNMLOJPHNFFCM56CA,中峰段湳興小段,112.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLQJPHNFFAM98CA,成功段,357.14,都市：住
RPXNMLOJPHNFFAM96CA,龍眼林段,1023.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPXNMLOJPHNFFAM96CA,龍眼林段,1023.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPWNMLPJPHNFFBM07CA,新南埔段,411.74,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWNMLPJPHNFFBM07CA,新南埔段,684.41,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLQJPHNFFBM76CA,中原段,121.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLOJPHNFFCM66CA,中峰段湳興小段,134.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJPHNFFBM98CA,平西段,92.46,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPOMLPJPHNFFBM09CA,北勢段,84.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLKMPHNFFBM96CA,北投埔段,88.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLKMPHNFFBM96CA,北投埔段,160.01,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLOJPHNFFAM98CA,新小半山段,218.16,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPROMLPJPHNFFDM86CA,鹿彰段,13.25,都市：住
RPQNMLOJPHNFFDM56CA,前山段,85.90,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLQJPHNFFDM76CA,新勞水坑段,446.03,非都市：河川區 ; 非都市編定：農牧用地
RPQNMLQJPHNFFDM76CA,新勞水坑段,48.65,非都市：河川區 ; 非都市編定：農牧用地
RPQNMLQJPHNFFDM76CA,新勞水坑段,228.03,非都市：河川區 ; 非都市編定：農牧用地
RPQNMLQJPHNFFDM76CA,新勞水坑段,89.03,非都市：河川區 ; 非都市編定：農牧用地
