編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPWNMLKMPHNFFBM86CA,坡道機械,0,
RPXNMLQLPHNFFBM47CA,坡道平面,0,
RPQOMLNJQHNFFBM09CA,坡道平面,850000,27.21
RPSOMLNJQHNFFBM66CA,坡道機械,650000,13.61
RPUNMLNJQHNFFBM76CA,坡道機械,600000,13.61
RPPOMLNJQHNFFBM98CA,坡道平面,1000000,27.21
RPROMLNJQHNFFBM56CA,坡道平面,850000,27.21
RPXOMLNJQHNFFBM17CA,坡道機械,450000,13.61
RPXNMLNJQHNFFBM07CA,坡道平面,850000,27.21
RPOOMLNJQHNFFBM88CA,坡道平面,850000,27.21
RPSNMLMJQHNFFCM56CA,升降平面,0,
RPPNMLMKPHNFFBM88DA,坡道平面,0,
