鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
彰化市,房地(土地+建物),彰化縣彰化市公園路二段87巷1~30號,5.65,住,,,1070613,土地2建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840318,32.45,1,1,1,有,有,1450000,44684,,0.0,0,,RPTOMLOJPHNFFAN76CA
彰化市,房地(土地+建物),彰化縣彰化市中興路71巷31~60號,33.69,住,,,1070620,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810229,115.69,2,2,1,有,有,3910000,33797,,0.0,0,,RPUOMLOJPHNFFAN86CA
彰化市,房地(土地+建物),彰化縣彰化市金馬路二段511~540號,26.11,住,,,1070527,土地2建物1車位0,一層，二層，三層，騎樓,十三層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0850912,212.89000000000001,3,2,3,有,有,8300000,38987,,0.0,0,,RPRNMLPJPHNFFAN56CA
芬園鄉,土地,富山段1021~1050地號,3994.0,,山坡地保育區,林業用地,1070531,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1917120,480,,0.0,0,,RPQOMLNJPHNFFAN98CA
秀水鄉,土地,秀水段1501~1530地號,35.33,,鄉村區,乙種建築用地,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,344286,9745,,0.0,0,,RPUNMLQJPHNFFAN96CA
秀水鄉,土地,秀水段1471~1500地號,102.57,,鄉村區,乙種建築用地,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,999444,9744,,0.0,0,,RPVNMLQJPHNFFAN07CA
秀水鄉,土地,秀水段1471~1500地號,51.29,,鄉村區,乙種建築用地,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,499722,9743,,0.0,0,,RPXNMLQJPHNFFAN27CA
秀水鄉,土地,秀水段1471~1500地號,17.1,,鄉村區,乙種建築用地,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,165837,9698,,0.0,0,,RPOOMLQJPHNFFAN09CA
彰化市,房地(土地+建物),彰化縣彰化市博愛街53巷107弄1~30號,88.27,住,,,1070423,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070202,252.71,5,2,6,有,無,16400000,64897,,0.0,0,,RPWOMLPJPHNFFAN17CA
彰化市,土地,竹巷段31~60地號,564.74,,特定農業區,農牧用地,1070424,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1077211,1907,,0.0,0,,RPVOMLOLPHNFFAN17CA
花壇鄉,房地(土地+建物),彰化縣花壇鄉白沙村大厝巷85弄1~30號,115.12,,鄉村區,乙種建築用地,1070606,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070328,219.95,4,3,4,有,無,10000000,45465,,0.0,0,,RPSNMLQLPHNFFAN96CA
秀水鄉,土地,福安段961~990地號,4110.49,,特定農業區,農牧用地,1061117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17920000,4360,,0.0,0,,RPWNMLQLPHNFFAN37CA
秀水鄉,房地(土地+建物),彰化縣秀水鄉明山街31~60號,1447.0,農,,,1070605,土地2建物1車位0,一層,一層,倉庫,農舍,鋼造,0850523,85.23,5,4,3,有,無,14750000,,,0.0,0,,RPQNMLKMPHNFFAN88CA
伸港鄉,房地(土地+建物),彰化縣伸港鄉埤墘一路174巷1~30號,110.15,住,,,1070606,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841024,147.31,5,2,3,有,無,4380000,29733,,0.0,0,,RPTNMLNJPHNFFBN66CA
線西鄉,房地(土地+建物),彰化縣線西鄉沿海路一段271~300號,99.0,,特定農業區,甲種建築用地,1070615,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0781006,113.38,0,0,0,無,無,3700000,32634,,0.0,0,,RPTNMLOJPHNFFBN76CA
和美鎮,房地(土地+建物),彰化縣和美鎮雅安路241~270號,81.0,,鄉村區,乙種建築用地,1070527,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010731,148.16,3,2,2,有,無,7500000,50621,,0.0,0,,RPQNMLMKPHNFFBN98CA
伸港鄉,房地(土地+建物),彰化縣伸港鄉彰新路七段464巷10弄1~30號,96.06,,鄉村區,乙種建築用地,1070612,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810618,166.64,4,3,3,有,無,4300000,25804,,0.0,0,,RPWNMLKKPHNFFBN76CA
線西鄉,土地,重振段151~180地號,159.38,住,,,1070608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3133700,19662,,0.0,0,,RPQNMLRLPHNFFBN96CA
鹿港鎮,土地,東昇段181~210地號,295.68,,特定農業區,甲種建築用地,1070604,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6260979,21175,,0.0,0,,RPRNMLNJPHNFFCN56CA
福興鄉,土地,福金段91~120地號,9526.3,,一般農業區,養殖用地,1061124,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28000000,2939,,0.0,0,,RPRNMLPJPHNFFCN76CA
鹿港鎮,土地,鹿鳳段601~630地號,95.63,,鄉村區,乙種建築用地,1070517,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,867600,9072,,0.0,0,,RPXNMLQJPHNFFCN47CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿草路二段783巷34弄1~30號,110.74,,鄉村區,乙種建築用地,1070523,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840116,156.03,3,2,2,有,無,3800000,24354,,0.0,0,,RPSNMLKLPHNFFCN56CA
員林市,土地,惠安段481~510地號,132.1,住,,,1070530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,24224,,0.0,0,,RPTNMLNJPHNFFDN86CA
