編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLPJPHNFFAN56CA,22,186.40,住商用,鋼筋混凝土造,85年9月12日,十三層,一層 二層 三層 騎樓
RPRNMLPJPHNFFAN56CA,22,26.49,見其他登記事項,鋼筋混凝土造,85年9月12日,十三層,
RPTOMLOJPHNFFAN76CA,23,21.00,住家用,鋼筋混凝土造,84年3月18日,八層,六層
RPTOMLOJPHNFFAN76CA,23,11.45,見其他登記事項,鋼筋混凝土造,84年3月18日,八層,
RPUOMLOJPHNFFAN86CA,26,105.02,住家用,鋼筋混凝土造,81年2月29日,五層,四層
RPUOMLOJPHNFFAN86CA,26,10.67,見其他登記事項,鋼筋混凝土造,81年2月29日,五層,
RPTNMLNJPHNFFBN66CA,23,147.31,住家用,鋼筋混凝土造,84年10月24日,三層,一層 二層 三層
RPQNMLKMPHNFFAN88CA,22,85.23,農舍,鋼造,85年5月23日,一層,一層
RPWOMLPJPHNFFAN17CA,,252.71,見其他登記事項,鋼筋混凝土造,107年2月2日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLQLPHNFFAN96CA,,219.95,見其他登記事項,鋼筋混凝土造,107年3月28日,四層,一層 二層 三層 四層
RPTNMLOJPHNFFBN76CA,29,113.38,住家用,鋼筋混凝土加強磚造,78年10月6日,二層,一層 二層 屋頂突出物
RPQNMLMKPHNFFBN98CA,6,148.16,住家用,鋼筋混凝土造,101年7月31日,三層,一層 二層 三層 屋頂突出物
RPTNMLKKPHNFFDN66CA,3,318.94,住家用,鋼筋混凝土造,104年11月26日,四層,一層 二層 三層 四層
RPSNMLKLPHNFFCN56CA,23,156.03,住家用,鋼筋混凝土造,84年1月16日,三層,一層 二層 三層 騎樓
RPWNMLKKPHNFFBN76CA,26,166.64,住家用,鋼筋混凝土造,81年6月18日,三層,一層 二層 三層
RPOOMLMKPHNFFDN09CA,2,281.92,見其他登記事項,鋼筋混凝土造,105年6月17日,四層,一層 二層 三層 四層
RPPOMLQJPHNFFDN86CA,44,138.36,住家用,鋼筋混凝土加強磚造,62年11月29日,三層,一層 二層 三層
RPPNMLSLPHNFFDN17CA,36,96.88,住家用,加強磚造,70年12月5日,二層,一層 二層
RPRNMLNJPHNFFHN07CA,19,297.60,農舍,加強磚造,88年12月9日,二層,一層 二層
RPVNMLOLPHNFFHN77CA,18,287.31,農舍,鋼筋混凝土造,89年10月6日,三層,一層 二層 三層 地下層
RPWNMLNJPHNFFGN57DA,22,166.40,住商用,鋼筋混凝土造,85年6月17日,三層,一層 二層 三層 騎樓
RPPOMLNKPHNFFHN07CA,,184.21,住家用,鋼筋混凝土造,107年4月16日,三層,一層 二層 三層 屋頂突出物
RPQOMLNKPHNFFHN17CA,,184.21,住家用,鋼筋混凝土造,107年4月16日,三層,一層 二層 三層 屋頂突出物
RPSNMLLKPHNFFGN96CA,37,110.45,住家用,加強磚造,69年12月20日,二層,一層 二層
RPROMLNKPHNFFHN27CA,,302.98,住家用,鋼筋混凝土造,107年4月16日,四層,一層 二層 三層 四層
RPPNMLNJPHNFFHN86CA,12,121.08,住家用,鋼筋混凝土造,95年11月20日,三層,一層 二層 三層 屋頂突出物
RPWNMLQLPHNFFEN77CA,,202.72,見其他登記事項,鋼筋混凝土造,107年5月23日,三層,一層 二層 三層 騎樓 見其他登記事項
RPOOMLQJPHNFFDN76CA,2,232.97,見其他登記事項,鋼筋混凝土造,105年5月16日,四層,一層 二層 三層 四層
RPOOMLQJPHNFFDN76CA,2,1.53,見其他登記事項,鋼筋混凝土造,105年5月17日,二層,
RPPOMLTJPHNFFDN17CA,,20.00,見其他登記事項,見其他登記事項,106年12月13日,一層,一層
RPQNMLPLPHNFFDN96CA,2,275.66,見其他登記事項,鋼筋混凝土造,105年6月27日,五層,一層 二層 三層 四層 五層
RPWNMLTJPHNFFDN77CA,3,164.25,見其他登記事項,鋼筋混凝土造,104年1月14日,三層,一層 二層 三層 屋頂突出物
RPQNMLSLPHNFFDN27CA,29,148.76,住商用,鋼筋混凝土造,78年8月5日,三層,一層 二層 三層 騎樓
RPVNMLQJPHNFFDN37CA,23,54.71,住家用,鋼筋混凝土造,84年3月6日,七層,六層
RPVNMLQJPHNFFDN37CA,23,17.93,見其他登記事項,鋼筋混凝土造,84年3月6日,七層,
RPPNMLOJPHNFFDN56CA,37,90.76,住家用,加強磚造,70年4月22日,二層,一層 二層
RPQNMLOLPHNFFCN76CA,19,143.28,住家用,鋼筋混凝土造,88年9月28日,三層,一層 二層 三層
RPRNMLPLPHNFFDN07CA,2,301.26,見其他登記事項,鋼筋混凝土造,105年6月27日,五層,一層 二層 三層 四層 五層
RPRNMLMKPHNFFBN09CA,27,103.52,住家用,鋼筋混凝土造,80年4月16日,二層,一層 二層
RPOOMLPLPHNFFAN56CA,18,99.77,住家用,鋼筋混凝土造,89年10月20日,十四層,七層
RPOOMLPLPHNFFAN56CA,18,59.13,見其他登記事項,鋼筋混凝土造,89年10月20日,十四層,
RPUNMLKKPHNFFAN09CA,24,97.67,見其他登記事項,鋼筋混凝土造,83年8月31日,十二層,二層
