編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPOOMLQJPHNFFAN09CA,秀水段,17.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLQJPHNFFAN27CA,秀水段,51.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLNJPHNFFAN98CA,富山段,1997.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPQOMLNJPHNFFAN98CA,富山段,1997.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPVNMLQJPHNFFAN07CA,秀水段,102.57,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQJPHNFFAN96CA,秀水段,35.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLOLPHNFFAN17CA,竹巷段,401.25,非都市：特定農業區 ; 非都市編定：農牧用地
RPVOMLOLPHNFFAN17CA,竹巷段,163.49,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLQLPHNFFAN37CA,福安段,4110.49,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLPJPHNFFAN56CA,西勢子段過溝子小段,22.47,都市：住
RPRNMLPJPHNFFAN56CA,西勢子段過溝子小段,3.64,都市：住
RPTOMLOJPHNFFAN76CA,南郭段坑子內小段,5.49,都市：住
RPTOMLOJPHNFFAN76CA,南郭段坑子內小段,.16,都市：住
RPUOMLOJPHNFFAN86CA,南郭段南郭小段,33.69,都市：住
RPTNMLNJPHNFFBN66CA,伸南段,87.00,都市：住
RPQNMLKMPHNFFAN88CA,馬鳴段,97.00,都市：農
RPTNMLNJPHNFFBN66CA,伸南段,18.05,都市：住
RPTNMLNJPHNFFBN66CA,伸南段,.50,都市：住
RPTNMLNJPHNFFBN66CA,伸南段,4.60,都市：住
RPQNMLKMPHNFFAN88CA,馬鳴段,1350.00,都市：農
RPWOMLPJPHNFFAN17CA,南郭段南郭小段,65.00,都市：住
RPWOMLPJPHNFFAN17CA,南郭段南郭小段,23.27,都市：住
RPRNMLNJPHNFFCN56CA,東昇段,10.71,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLNJPHNFFCN56CA,東昇段,48.21,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLNJPHNFFCN56CA,東昇段,140.14,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLNJPHNFFCN56CA,東昇段,86.61,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLNJPHNFFCN56CA,東昇段,10.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLRLPHNFFBN96CA,重振段,159.38,都市：住
RPSNMLQLPHNFFAN96CA,溪北段,95.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLQLPHNFFAN96CA,溪北段,19.34,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLQJPHNFFCN47CA,鹿鳳段,95.63,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNKPHNFFDN56CA,福興段,310.72,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLOJPHNFFBN76CA,重光段,99.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
