鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路151~180號,22.04,住,,,1070520,土地3建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000625,113.44,2,2,2,有,有,8400000,74048,坡道機械,15.72,0,,RPSRMLMJPHNFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市湳雅街176巷6弄1~30號,35.0,住,,,1070521,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701229,112.05,5,0,5,有,無,6200000,55332,,0.0,0,,RPTRMLMJPHNFFAO96CA
新竹市,房地(土地+建物)+車位,新竹市新竹市華北路61~90號,16.62,住,,,1070423,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830505,112.88,3,2,1,有,有,4800000,42523,升降機械,0.0,0,公契立約日：107.06.11,RPOPMLNJPHNFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市興南街31~60號,37.16,商,,,1070605,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020110,283.58,4,2,2,有,有,17500000,61711,坡道平面,30.35,0,,RPPQMLOJPHNFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂一路361~390號,38.3,住,,,1070513,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0991206,238.99,4,2,2,有,有,14580000,61007,坡道平面,32.81,0,,RPRQMLOJPHNFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市愛文街26巷1~30號,83.0,住,,,1070525,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0791016,153.93,6,3,5,有,無,7800000,50672,,0.0,0,現況有增建,RPPNMLOJPHNFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中正路1~30號,43.04,商,,,1070515,土地1建物2車位10,二層,十二層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0880602,366.69,0,2,0,有,有,53000000,144536,升降機械,222.37,0,與親友之共有人間買賣案件。,RPWNMLPJPHNFFAO17CA
新竹市,房地(土地+建物)+車位,新竹市新竹市江山街1~30號,22.07,商,,,1070320,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,199.26,3,2,2,有,有,12750000,63987,坡道平面,39.0,0,,RPROMLQJPHNFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市金竹路186巷1~30號,71.62,住,,,1070504,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970620,227.58,5,2,6,有,有,12960000,56947,,0.0,0,本次交易增值稅由買方負責繳納,RPVOMLQJPHNFFAO27CA
