編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOJPHNFFAO98CA,28,153.93,住家用,鋼筋混凝土造,79年10月16日,四層,一層 二層 三層 四層
RPTRMLMJPHNFFAO96CA,36,112.05,住家用,鋼筋混凝土造,70年12月29日,五層,三層
RPSRMLMJPHNFFAO86CA,7,67.13,見其他登記事項,鋼筋混凝土造,100年6月25日,十三層,三層
RPSRMLMJPHNFFAO86CA,7,46.31,共有部分,鋼筋混凝土造,100年6月25日,十三層,
RPRQMLOJPHNFFAO86CA,7,142.38,見其他登記事項,鋼筋混凝土造,99年12月6日,十四層,十四層
RPRQMLOJPHNFFAO86CA,7,66.44,共有部分,鋼筋混凝土造,99年12月6日,十四層,
RPRQMLOJPHNFFAO86CA,7,30.17,共有部分,鋼筋混凝土造,99年12月6日,十四層,
RPVOMLQJPHNFFAO27CA,10,227.58,見其他登記事項,鋼筋混凝土造,97年6月20日,四層,一層 二層 三層 四層 見其他登記事項
RPROMLQJPHNFFAO86CA,5,114.84,見其他登記事項,鋼筋混凝土造,101年10月15日,十一層,八層
RPROMLQJPHNFFAO86CA,5,84.42,共有部分,鋼筋混凝土造,101年10月15日,十一層,
RPOPMLKKPHNFFAO78CA,11,.01,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,一層
RPOPMLKKPHNFFAO78CA,11,43.35,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,
RPWNMLPJPHNFFAO17CA,19,86.91,商業用,鋼筋混凝土造,88年6月2日,十二層,一層 騎樓
RPWNMLPJPHNFFAO17CA,19,11.29,共有部分,鋼筋混凝土造,88年6月2日,十二層,
RPWNMLPJPHNFFAO17CA,19,65.39,共有部分,鋼筋混凝土造,88年6月2日,十二層,
RPWNMLPJPHNFFAO17CA,19,11.40,共有部分,鋼筋混凝土造,88年6月2日,十二層,
RPWNMLPJPHNFFAO17CA,19,125.85,見其他登記事項,鋼筋混凝土造,88年6月2日,十二層,二層
RPWNMLPJPHNFFAO17CA,19,33.16,共有部分,鋼筋混凝土造,88年6月2日,十二層,
