編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPNMLOJPHNFFAO98CA,北門段,83.00,都市：住
RPTRMLMJPHNFFAO96CA,自由段,17.80,都市：住
RPTRMLMJPHNFFAO96CA,自由段,17.20,都市：住
RPPPMLQJPHNFFAO76CA,唐高段,17.00,都市：住
RPPPMLQJPHNFFAO76CA,成德段,96.40,都市：住
RPSRMLMJPHNFFAO86CA,光武段,21.68,都市：住
RPSRMLMJPHNFFAO86CA,光武段,.02,都市：住
RPSRMLMJPHNFFAO86CA,光武段,.35,都市：其他
RPRQMLOJPHNFFAO86CA,光武段,38.30,都市：住
RPVOMLQJPHNFFAO27CA,自由段,53.00,都市：住
RPVOMLQJPHNFFAO27CA,自由段,15.25,都市：住
RPVOMLQJPHNFFAO27CA,自由段,3.38,都市：住
RPROMLQJPHNFFAO86CA,西門段一小段,22.07,都市：商
RPOPMLKKPHNFFAO78CA,中雅段,2.38,都市：商
RPOPMLKKPHNFFAO78CA,崙子段,.05,都市：商
RPWNMLPJPHNFFAO17CA,榮光段三小段,43.04,都市：商
RPOPMLNJPHNFFAO98CA,信義段,16.62,都市：住
RPWNMLTJPHNFFAO57CA,信義段,7.49,都市：住
RPRPMLTJPHNFFAO27CA,崙子段,46.55,都市：住
RPPQMLOJPHNFFAO66CA,西門段三小段,37.16,都市：商
RPPOMLQKPHNFFAO76CA,古峰段,199.28,都市：其他
RPTPMLQJPHNFFAO17CA,新港段,15.74,都市：住
RPTPMLQJPHNFFAO17CA,新港段,62.89,都市：住
RPSPMLKKPHNFFAO56CA,國道段,10.31,都市：商
RPVQMLRKPHNFFAO67CA,東明段,24.30,都市：住
RPWQMLRLPHNFFAO87CA,崙子段,29.37,都市：住
RPXQMLRLPHNFFAO97CA,崙子段,25.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXQMLRLPHNFFAO97CA,崙子段,1.70,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXQMLRLPHNFFAO97CA,崙子段,.89,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLSKPHNFFAO86CA,長春段,22.99,都市：住
RPQPMLQLPHNFFAO07CA,光復段,25.77,都市：住
RPROMLTKPHNFFAO27CA,長春段,10.99,都市：其他
RPROMLTKPHNFFAO27CA,長春段,.24,都市：住
RPROMLTKPHNFFAO27CA,長春段,.05,都市：住
RPOPMLRKPHNFFAO86CA,新港段,14.53,都市：住
RPVNMLSKPHNFFAO57DA,東山段一小段,119.00,都市：住
RPVNMLOLPHNFFAO17CA,武陵段,23.40,都市：住
RPUOMLQLPHNFFAO37CA,虎林段,.79,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLRKPHNFFAO17CA,成功段,45.00,都市：住
RPWNMLOJPHNFFAO27EA,民富段,24.50,都市：商
RPVPMLPLPHNFFAO67EA,光復段,23.75,都市：住
RPPOMLLLPHNFFAO98CA,北門段,29.40,都市：住
RPRQMLKMPHNFFAO76CA,國道段,17.70,都市：住
RPPOMLLLPHNFFAO98CA,北門段,6.20,都市：其他
RPQNMLLLPHNFFAO98CA,北門段,10.00,都市：其他
RPQNMLLLPHNFFAO98CA,北門段,63.00,都市：住
RPQNMLLLPHNFFAO98CA,北門段,2.00,都市：住
RPPOMLSKPHNFFAO17EA,育賢段,28.28,都市：住
RPWOMLPJPHNFFAO27CA,仙水段,44.82,都市：其他
RPUNMLQJPHNFFAO07CA,信義段,62.00,都市：商
RPUNMLQJPHNFFAO07CA,信義段,15.00,都市：其他
RPTNMLNKPHNFFAO76CA,華江段,26.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
SPUNMLQJPHNFFAO17CA,信義段,27.00,都市：商
SPUNMLQJPHNFFAO17CA,信義段,52.00,都市：住
RPROMLOJPHNFFAO66CA,信義段,5.00,都市：商
RPROMLOJPHNFFAO66CA,信義段,108.00,都市：住
RPROMLOJPHNFFAO66CA,信義段,108.00,都市：住
RPROMLOJPHNFFAO66CA,信義段,109.00,都市：住
RPXOMLPJPHNFFAO37CA,國道段,17.76,都市：住
RPTOMLOJPHNFFAO86CA,信義段,42.00,都市：商
RPTOMLOJPHNFFAO86CA,信義段,40.00,都市：住
RPUNMLMKPHNFFAO76CA,關東段,14.38,都市：商
RPQOMLLLPHNFFAO09CA,成德段,21.79,都市：住
RPQOMLLLPHNFFAO09CA,成德段,56.85,都市：住
RPQOMLLLPHNFFAO09CA,成德段,.19,都市：住
RPTNMLPJPHNFFAO86CA,東橋段,77.81,都市：住
RPRPMLPJPHNFFAO86CA,東香段,4.95,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLPJPHNFFAO86CA,東香段,1.18,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLPJPHNFFAO86CA,東香段,31.70,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLPJPHNFFAO86CA,東香段,.08,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLPJPHNFFAO86CA,東香段,.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLPJPHNFFAO86CA,東香段,.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLPJPHNFFAO86CA,東香段,.95,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLPJPHNFFAO96CA,長興段,96.83,都市：住
RPSNMLPJPHNFFAO76CA,南門段二小段,7.33,都市：其他
RPTPMLNJPHNFFAO86CA,崙子段,34.26,都市：住
RPPNMLPJPHNFFAO09CA,關東段,7.32,都市：住
RPOOMLPJPHNFFAO09CA,科園段科園小段,87.00,都市：住
RPUPMLNJPHNFFAO96CA,光復段,35.49,都市：住
RPXNMLPJPHNFFAO27CA,南華段,22.82,都市：商
RPQNMLQJPHNFFAO66CA,復興段,24.60,都市：住
RPQNMLQJPHNFFAO66CA,復興段,.06,都市：其他
RPQNMLQJPHNFFAO66CA,復興段,1.49,都市：住
RPQNMLQJPHNFFAO66CA,復興段,1.93,都市：住
RPROMLPJPHNFFAO76CA,關東段,2.24,都市：住
RPROMLPJPHNFFAO76CA,長春段,49.06,都市：住
RPPOMLPJPHNFFAO56CA,國道段,17.76,都市：住
RPUOMLKKPHNFFAO66CA,光武段,49.46,都市：住
RPSOMLQJPHNFFAO96CA,茄苳段,3.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLQJPHNFFAO96CA,茄苳段,11.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSPMLQJPHNFFAO07CA,茄苳段,26.46,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSPMLQJPHNFFAO07CA,茄苳段,92.41,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVOMLKKPHNFFAO76CA,光武段,50.69,都市：住
RPQOMLPJPHNFFAO66CA,國道段,18.78,都市：商
RPQOMLNKPHNFFAO56CA,關東段,13.25,都市：住
RPWOMLKKPHNFFAO86CA,光武段,46.99,都市：住
RPSOMLKKPHNFFAO09CA,光武段,50.69,都市：住
RPUNMLNKPHNFFAO86CA,中雅段,26.29,都市：住
RPTOMLNKPHNFFAO86CA,東橋段,1.31,都市：住
RPTOMLNKPHNFFAO86CA,東橋段,20.45,都市：住
RPTOMLNKPHNFFAO86CA,東橋段,3.37,都市：住
RPPOMLKLPHNFFAO88CA,光復段,63.31,都市：住
RPUOMLSKPHNFFAO47CA,光復段,56.82,都市：住
RPPPMLQKPHNFFAO86CA,國道段,17.09,都市：商
RPTOMLLLPHNFFAO76CA,雅溪段,67.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOOMLKLPHNFFAO78CA,光復段,53.39,都市：住
RPUOMLLLPHNFFAO86CA,介壽段,25.05,都市：住
RPWOMLTKPHNFFAO77CA,親仁段二小段,8.16,都市：住
RPUOMLOLPHNFFAO17CA,康朗段,25.92,都市：住
RPOQMLLLPHNFFAO09CA,竹蓮段,4.64,都市：住
RPOQMLLLPHNFFAO09CA,新興段,32.96,都市：住
RPOQMLLLPHNFFAO09CA,新興段,3.04,都市：住
RPSNMLPLPHNFFAO96CA,長春段,67.68,都市：住
RPWNMLNLPHNFFAO17CA,南湖段,13.27,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWNMLNLPHNFFAO17CA,南湖段,22.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLRLPHNFFAO86CA,崙子段,8.77,都市：住
RPVNMLMJQHNFFAO86CA,成德段,104.37,都市：其他
RPTOMLLMPHNFFAO86CA,光復段,53.39,都市：住
RPPNMLTLOHNFFAO27CD,和平段,13.18,都市：住
RPSQMLKMPHNFFAO86CA,南勢段,347.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLKMPHNFFAO76CA,東山段一小段,15.91,都市：商
RPOPMLPLPHNFFAO76CA,朝山段一小段,25.10,都市：商
RPUNMLKKPHNFFAO66DA,竹港段,26.32,都市：商
RPWPMLNLPHNFFAO37CA,華江段,112.72,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWPMLNLPHNFFAO37CA,華江段,118.86,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWPMLNLPHNFFAO37CA,華江段,112.04,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWPMLNLPHNFFAO37CA,華江段,153.12,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQQMLLLPHNFFAO66CA,朝山段一小段,24.56,都市：商
RPSQMLLLPHNFFAO86CA,朝山段一小段,21.16,都市：商
RPRNMLLLPHNFFAO09CA,西濱段,12.90,都市：住
RPWOMLLLPHNFFAO07CA,民主段,94.00,都市：住
RPPQMLSKPHNFFAO17CA,聚吉段,9.32,都市：商
RPQOMLKLPHNFFAO98CA,民主段一小段,15.90,都市：商
RPVNMLLLPHNFFAO86CA,新興段,21.85,都市：其他
RPVQMLNKPHNFFAO27CA,中雅段,20.22,都市：商
RPVQMLNKPHNFFAO27CA,崙子段,.43,都市：商
RPSOMLLLPHNFFAO66CA,光華段,20.96,都市：住
RPSNMLQKPHNFFAO96CA,南門段四小段,31.20,都市：住
RPPOMLNKPHNFFAO09CA,中雅段,16.45,都市：住
RPPOMLNKPHNFFAO09CA,中雅段,1.94,都市：商
RPWOMLTJPHNFFAO67CA,南港段,2686.22,非都市：一般農業區 ; 非都市編定：農牧用地
RPUOMLQJPHNFFAO17CA,仙水段,808.91,都市：住
RPRPMLMKPHNFFAO66CA,民富段,26.25,都市：商
RPOPMLQJPHNFFAO66CA,成功段,15.12,都市：住
RPOPMLQJPHNFFAO66CA,大學段,.19,都市：住
RPQOMLMKPHNFFAO09CA,光復段,28.46,都市：住
RPPNMLQJPHNFFAO56CA,長春段,1.05,都市：住
RPVPMLMKPHNFFAO07CA,民富段,29.22,都市：商
RPSNMLTJPHNFFAO17CA,朝山段一小段,13.52,都市：商
RPSNMLTJPHNFFAO17CA,朝山段一小段,62.74,都市：商
RPTNMLTJPHNFFAO27CA,朝山段一小段,14.07,都市：商
RPTNMLTJPHNFFAO27CA,朝山段一小段,60.90,都市：商
RPUPMLKKPHNFFAO76CA,東山段一小段,20.61,都市：其他
RPTPMLTJPHNFFAO47CA,長春段,15.66,都市：其他
RPTPMLTJPHNFFAO47CA,長春段,.35,都市：住
RPTPMLTJPHNFFAO47CA,長春段,.08,都市：住
RPTNMLQJPHNFFAO96CA,唐高段,19.49,都市：住
RPRPMLQJPHNFFAO96CA,西濱段,19.37,都市：住
RPRPMLQJPHNFFAO96CA,西濱段,7.22,都市：住
RPTOMLTJPHNFFAO37CA,光武段,13.76,都市：商
RPPOMLTJPHNFFAO96CA,東光段,40.98,都市：其他
RPUNMLSKPHNFFAO37CA,新港段,96.94,都市：住
RPTNMLSKPHNFFAO27CA,仁愛段,242.00,都市：工
RPTNMLSKPHNFFAO27CA,仁愛段,166.00,都市：工
RPRPMLLLPHNFFAO66CA,新興段,23.00,都市：住
RPRPMLLLPHNFFAO66CA,新興段,2.90,都市：其他
RPQPMLTKPHNFFAO27CA,民主段,57.84,都市：住
RPQQMLSKPHNFFAO27CA,民主段一小段,11.21,都市：商
RPRPMLKKPHNFFAO09CA,東香段,.54,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLKKPHNFFAO09CA,東香段,.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLKKPHNFFAO09CA,東香段,.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLKKPHNFFAO09CA,東香段,101.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLKKPHNFFAO09CA,東香段,.74,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWOMLOLPHNFFAO37CA,士林段,440.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLTJPHNFFAO67CA,明湖段,145.99,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLPLPHNFFAO07CA,自由段,11.19,都市：住
RPSOMLPLPHNFFAO07CA,自由段,.02,都市：其他
RPSPMLLLPHNFFAO76CA,新興段,23.00,都市：住
RPSPMLLLPHNFFAO76CA,新興段,2.90,都市：其他
RPQOMLOLPHNFFAO76CA,光復段,29.14,都市：住
RPOQMLRLPHNFFAO07CA,民富段,93.00,都市：商
RPUOMLRKPHNFFAO37CA,東明段,24.93,都市：其他
RPRQMLKKPHNFFAO66DA,和平段,17.21,都市：住
RPWPMLRLPHNFFAO77CA,師院段,97.23,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUPMLQLPHNFFAO47CA,民富段,97.00,都市：住
RPUPMLQLPHNFFAO47CA,民富段,3.00,都市：其他
RPUQMLLLPHNFFAO07CA,東光段,10.02,都市：商
RPUQMLLLPHNFFAO07CA,東光段,1.36,都市：其他
RPXOMLSKPHNFFAO77CA,西濱段,12.61,都市：住
RPUTMLRJQHNFFAO87CA,雅溪段,88.20,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXOMLLLPHNFFAO17CA,大學段,5.21,都市：住
RPTNMLOLPHNFFAO96CA,南湖段,67.77,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLQKPHNFFAO96CA,關東段,15.36,都市：住
RPUOMLNKPHNFFAO96CA,南湖段,2.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUOMLNKPHNFFAO96CA,南湖段,.32,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUOMLNKPHNFFAO96CA,南湖段,.36,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUOMLNKPHNFFAO96CA,南湖段,3.62,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUOMLNKPHNFFAO96CA,南湖段,13.44,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXPMLNLPHNFFAO47CA,武陵段,40.87,都市：住
RPXPMLNLPHNFFAO47CA,武陵段,.22,都市：其他
RPTOMLKKPHNFFAO56CA,隆恩段,17.60,非都市：特定農業區 ; 非都市編定：農牧用地
RPTPMLNKPHNFFAO96CA,中山段三小段,16.39,都市：商
RPVOMLNKPHNFFAO07CA,國道段,12.80,都市：住
RPPOMLKKPHNFFAO78CA,康樂段,107.99,都市：其他
RPUQMLNKPHNFFAO17CA,國道段,29.87,都市：住
RPXOMLKKPHNFFAO96CA,長興段,300.98,都市：農
RPXOMLKKPHNFFAO96CA,長興段,246.65,都市：農
RPXOMLKKPHNFFAO96CA,長興段,458.88,都市：農
RPXOMLKKPHNFFAO96CA,長興段,214.66,都市：農
RPOOMLKKPHNFFAO68CA,國道段,20.75,都市：住
RPXPMLKKPHNFFAO07CA,南湖段,2.14,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXPMLKKPHNFFAO07CA,南湖段,.29,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXPMLKKPHNFFAO07CA,南湖段,.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXPMLKKPHNFFAO07CA,南湖段,3.30,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXPMLKKPHNFFAO07CA,南湖段,12.28,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXQMLKKPHNFFAO17CA,東山段一小段,25.87,都市：住
RPXQMLKKPHNFFAO17CA,東山段一小段,.59,都市：住
RPXNMLKKPHNFFAO86CA,香中段,.43,都市：住
RPXNMLKKPHNFFAO86CA,香中段,.43,都市：住
RPXNMLKKPHNFFAO86CA,香中段,.43,都市：住
RPXNMLKKPHNFFAO86CA,香中段,23.16,都市：住
RPXNMLKKPHNFFAO86CA,香中段,23.16,都市：住
RPXNMLKKPHNFFAO86CA,香中段,23.16,都市：住
RPPNMLLKPHNFFAO78CA,東山段二小段,121.00,都市：住
RPWQMLKKPHNFFAO07CA,東山段一小段,25.87,都市：住
RPWQMLKKPHNFFAO07CA,東山段一小段,.59,都市：住
RPUPMLMKPHNFFAO96CA,金山段,83.00,都市：住
RPXPMLMKPHNFFAO27CA,中雅段,52.00,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,182.08,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,121.89,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,94.29,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,292.61,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,179.88,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,89.57,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,1833.23,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,114.84,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,32.07,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,225.66,都市：住
RPVOMLMKPHNFFAO96CA,東濱段,337.17,都市：住
RPPPMLKKPHNFFAO88CA,崙子段,5.56,都市：住
RPTPMLMKPHNFFAO86CA,中雅段,6.45,都市：住
RPTPMLMKPHNFFAO86CA,崙子段,.21,都市：住
RPWNMLMKPHNFFAO96CA,南寮段,8.83,都市：住
RPVNMLMKPHNFFAO86CA,自由段,11.00,都市：住
RPPNMLOKPHNFFAO09CA,仁愛段,165.00,都市：工
RPXNMLRKPHNFFAO57CA,光武段,13.65,都市：商
RPTOMLMKPHNFFAO76CA,新港段,65.49,都市：住
RPUOMLMKPHNFFAO86CA,忠孝段,25.28,都市：住
RPUOMLMKPHNFFAO86CA,忠孝段,57.00,都市：住
RPSOMLNKPHNFFAO76CA,南湖段,4.16,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLNKPHNFFAO76CA,南湖段,35.34,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLNKPHNFFAO76CA,南湖段,1.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVOMLKLPHNFFAO86CA,光武段,21.42,都市：商
RPWOMLMKPHNFFAO07CA,忠孝段,25.28,都市：住
RPWOMLMKPHNFFAO07CA,忠孝段,55.00,都市：住
RPSPMLRKPHNFFAO27CA,東山段二小段,60.00,都市：住
RPXOMLKLPHNFFAO07CA,光武段,21.90,都市：商
RPQPMLKLPHNFFAO09CA,光武段,21.90,都市：商
RPWPMLRKPHNFFAO67CA,西門段一小段,13.00,都市：商
RPVOMLLLPHNFFAO96CA,忠孝段,33.78,都市：住
RPUOMLKLPHNFFAO76CA,光武段,21.42,都市：商
RPPQMLPLPHNFFAO96CA,西門段一小段,14.00,都市：商
RPSNMLOLPHNFFAO86CA,武陵段,17.36,都市：住
RPSNMLOLPHNFFAO86CA,武陵段,.31,都市：住
RPOPMLKLPHNFFAO88CA,光武段,21.90,都市：商
RPTOMLNLPHNFFAO96CA,武陵段,.31,都市：住
RPTOMLNLPHNFFAO96CA,武陵段,16.13,都市：住
RPTNMLPLPHNFFAO07CA,自由段,26.06,都市：其他
RPROMLQLPHNFFAO07CA,西門段一小段,46.00,都市：商
RPROMLQLPHNFFAO07CA,西門段一小段,4.00,都市：其他
RPWNMLPLPHNFFAO37CA,東門段二小段,67.00,都市：商
RPPQMLMJQHNFFAO56CA,中央段,26.00,都市：住
RPPQMLMJQHNFFAO56CA,中央段,174.00,都市：其他
RPTOMLMKPHNFFAO96EA,聚吉段,2.24,都市：商
RPTOMLMKPHNFFAO96EA,聚吉段,2.24,都市：商
RPWNMLKMPHNFFAO96CA,雅溪段,97.62,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
