鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
古坑鄉,土地,苦苓腳段91~120地號,205.5,,山坡地保育區,丙種建築用地,1070615,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,2920,,0.0,0,土地增值稅由買方繳納179447元,RPSNMLNJPHNFFAP66CA
林內鄉,土地,成功段1~30地號,30.0,其他,,,1070620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,6667,,0.0,0,,RPWNMLNJPHNFFAP07CA
斗六市,房地(土地+建物),雲林縣斗六市鎮北路686巷60弄1~30號,88.28,,鄉村區,乙種建築用地,1070602,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840212,179.65,4,3,3,有,無,4950000,27554,,0.0,0,,RPPNMLOJPHNFFAP09CA
斗六市,房地(土地+建物),雲林縣斗六市文化路661~690號,89.28,,鄉村區,乙種建築用地,1070605,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700310,103.5,4,1,1,有,無,2000000,19324,,0.0,0,,RPSNMLOJPHNFFAP76CA
斗六市,土地,海豐崙段海豐崙小段1141~1170地號,95.0,住,,,1070615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3435000,36158,,0.0,0,,RPVNMLQJPHNFFAP27CA
斗六市,房地(土地+建物),雲林縣斗六市埤頭路51巷61~90號,114.84,,鄉村區,乙種建築用地,1070611,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030820,165.09,5,2,3,有,無,6100000,36950,,0.0,0,,RPWNMLKLPHNFFAP96CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮利臺街56巷1~30號,102.54,,特定農業區,甲種建築用地,1070607,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960213,179.3,4,2,3,有,無,5600000,31233,,0.0,0,,RPWNMLKKPHNFFBP96CA
西螺鎮,土地,西螺段751~780地號,34.0,住,,,1070606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1748450,51425,,0.0,0,,RPQNMLNJPHNFFCP66CA
崙背鄉,土地,面前厝段811~840地號,9.92,其他,,,1070614,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,20161,,0.0,0,道路地通行權使用之交易,RPPNMLMLPHNFFCP66CA
西螺鎮,房地(土地+建物),雲林縣西螺鎮廣興路181~210號,14.8,住,,,1070514,土地4建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841220,89.12,1,1,1,有,有,1380000,15485,,0.0,0,,RPUNMLPLPHNFFCP47CA
西螺鎮,土地,埔北段511~540地號,4304.35,住,,,1070423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53384000,12402,,0.0,0,,RPTNMLRLPHNFFCP57CA
土庫鎮,土地,新埤腳段781~810地號,92.0,,鄉村區,乙種建築用地,1070620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,2717,,0.0,0,,RPPNMLMKPHNFFDP66CA
土庫鎮,土地,新埤腳段781~810地號,400.0,,鄉村區,乙種建築用地,1070620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2420000,6050,,0.0,0,,RPQNMLMKPHNFFDP76CA
土庫鎮,房地(土地+建物),雲林縣土庫鎮復興路283巷61~90號,145.0,住,,,1070608,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0980827,164.61,4,2,3,有,無,6200000,37665,,0.0,0,,RPQNMLPLPHNFFDP17CA
口湖鄉,土地,下湖口段91~120地號,2825.0,,一般農業區,農牧用地,1070615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1214000,430,,0.0,0,地勢低漥不易耕作,RPPNMLPJPHNFFEP96CA
北港鎮,土地,廟東段781~810地號,48.1,住,,,1070612,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,4158,,0.0,0,,RPRNMLSKPHNFFEP57CA
北港鎮,土地,新街段631~660地號,5148.88,農,,,1070507,土地29建物0車位0,,,其他,,,,0.0,0,0,0,有,無,51053076,9915,,0.0,0,協議價購,RPQNMLNLPHNFFEP07CA
東勢鄉,土地,港底段631~660地號,513.0,,特定農業區,甲種建築用地,1070525,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1949,,0.0,0,,RPPNMLPLPHNFFFP27CA
莿桐鄉,土地,四合段301~330地號,3432.54,,一般農業區,農牧用地,1070628,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3950000,1151,,0.0,0,,RPRNMLOLPHNFFAP96DA
西螺鎮,房地(土地+建物),雲林縣西螺鎮光復西路180巷1~30號,203.0,住,,,1070531,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040616,410.98,5,2,5,有,無,18600000,45258,,0.0,0,,RPPNMLNJPHNFFCP66DA
二崙鄉,土地,湳仔段211~240地號,375.67,,鄉村區,乙種建築用地,1070515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1280000,3407,,0.0,0,一親等間交易,RPPNMLSKPHNFFCP27DA
北港鎮,土地,大同段781~810地號,14.07,商,,,1070605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,651000,46269,,0.0,0,,RPTNMLOJPHNFFEP37DA
四湖鄉,土地,保安段1351~1380地號,112.0,,一般農業區,農牧用地,1070606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,224000,2000,,0.0,0,,RPPNMLLKPHNFFEP76DA
元長鄉,房地(土地+建物),雲林縣元長鄉潭內61~90號,5780.0,,特定農業區,農牧用地,1070605,土地2建物1車位0,一層,一層,其他,見其他登記事項,見其他登記事項,1050929,1113.6,0,0,0,無,無,4624000,4152,,0.0,0,,RPRNMLOLPHNFFEP37DA
斗六市,房地(土地+建物),雲林縣斗六市三民路151~180號,96.0,住,,,1070605,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0860324,341.38,6,2,5,有,無,16200000,47454,,0.0,0,,RPPNMLTJPHNFFAP17EA
斗六市,房地(土地+建物),雲林縣斗六市長平路31~60號,133.04,,鄉村區,乙種建築用地,1070619,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0650115,124.22,3,1,2,有,無,1203460,9688,,0.0,0,1.1-3等親買賣2.因備註欄漏填而撤銷,RPWNMLTJPHNFFAP87EA
台西鄉,土地,泉州段691~720地號,2992.0,,一般農業區,農牧用地,1070621,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1645600,550,,0.0,0,,RPPNMLOJPHNFFFP07DA
西螺鎮,土地,吳厝段1231~1260地號,20.0,,鄉村區,乙種建築用地,1070628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,210000,10500,,0.0,0,,RPPNMLPJPHNFFCP96EA
虎尾鎮,土地,牛埔子段181~210地號,3.0,,鄉村區,乙種建築用地,1070614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45390,15130,,0.0,0,,RPVNMLMJQHNFFDP37DA
麥寮鄉,土地,崙南段871~900地號,204.0,,鄉村區,乙種建築用地,1070622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1851300,9075,,0.0,0,,RPSNMLNLPHNFFFP37CA
麥寮鄉,土地,豐安段481~510地號,536.9,,一般農業區,養殖用地,1070619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,480000,894,,0.0,0,侵占鄰地之買賣。,RPTNMLNLPHNFFFP47CA
麥寮鄉,土地,崙南段991~1020地號,1067.22,,一般農業區,農牧用地,1070620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1124,,0.0,0,,RPUNMLNLPHNFFFP57CA
東勢鄉,土地,仁愛段901~930地號,2190.01,,特定農業區,農牧用地,1070526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1752008,800,,0.0,0,,RPQNMLQLPHNFFFP47CA
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉仁德東路521巷1~30號,84.0,,鄉村區,乙種建築用地,1070612,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0950607,198.15,5,3,3,有,無,5000000,25233,,0.0,0,,RPPNMLKMPHNFFFP86CA
麥寮鄉,土地,興寮段961~990地號,6052.88,,一般農業區,農牧用地,1070622,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8292445,1370,,0.0,0,,RPPNMLLJQHNFFFP76CA
