編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLOJPHNFFAP76CA,37,103.50,住家用,加強磚造,70年3月10日,二層,一層 二層
RPPNMLOJPHNFFAP09CA,23,179.65,住家用,鋼筋混凝土造,84年2月12日,四層,一層 二層 三層 四層 騎樓
RPWNMLKLPHNFFAP96CA,4,165.09,住家用,鋼筋混凝土造,103年8月20日,三層,一層 二層 三層
RPWNMLKKPHNFFBP96CA,11,179.30,住家用,鋼筋混凝土造,96年2月13日,三層,一層 二層 三層
RPQNMLPLPHNFFDP17CA,9,164.61,住家用,鋼筋混凝土造,98年8月27日,三層,一層 二層 三層
RPUNMLPLPHNFFCP47CA,22,60.68,住家用,鋼筋混凝土造,84年12月20日,八層,七層
RPUNMLPLPHNFFCP47CA,22,16.59,共有部份,鋼筋混凝土造,84年12月20日,八層,
RPUNMLPLPHNFFCP47CA,22,.47,共有部份,鋼筋混凝土造,84年12月20日,,
RPUNMLPLPHNFFCP47CA,22,11.37,共有部份,鋼筋混凝土造,84年12月20日,,
RPRNMLOLPHNFFEP37DA,2,1113.60,見其他登記事項,見其他登記事項,105年9月29日,一層,一層
RPPNMLTJPHNFFAP17EA,21,341.38,住家用,鋼筋混凝土造,86年3月24日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPPNMLNJPHNFFCP66DA,3,410.98,住家用,鋼筋混凝土造,104年6月16日,四層,一層 二層 三層 四層
RPWNMLTJPHNFFAP87EA,42,124.22,住家用,加強磚造,65年1月15日,二層,一層 二層
RPPNMLPJPHNFFAP66DA,35,139.98,住家用,鋼筋混凝土造,72年3月1日,三層,一層 二層 三層 電梯樓梯間 地下層
RPUNMLLJQHNFFDP07CA,11,23.30,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,十三層
RPUNMLLJQHNFFDP07CA,11,9.12,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPPNMLKMPHNFFFP86CA,12,198.15,住商用,鋼筋混凝土造,95年6月7日,四層,一層 二層 三層 四層
RPSNMLQJPHNFFEP37CA,35,112.05,住商用,加強磚造,72年7月15日,二層,一層 二層 騎樓
RPPOMLOJPHNFFDP86CA,13,143.79,住家用,鋼筋混凝土造,94年8月9日,三層,一層 二層 三層
RPVOMLOJPHNFFDP47CA,22,492.14,農舍,鋼筋混凝土造,85年10月7日,三層,一層 二層 三層
RPTNMLPJPHNFFDP27CA,24,119.23,住家用,鋼筋混凝土造,83年11月8日,三層,一層 二層 三層
RPPNMLRJPHNFFDP07CA,10,199.98,住家用,鋼筋混凝土造,97年4月25日,三層,一層 二層 三層 電梯樓梯間
RPTOMLQJPHNFFAP17CA,2,180.96,住家用,鋼筋混凝土造,105年3月10日,三層,一層 二層 三層
RPRNMLQJPHNFFBP96CA,19,85.11,住家用,鋼筋混凝土造,88年7月10日,八層,三層
RPRNMLQJPHNFFBP96CA,19,24.72,共有部份,鋼筋混凝土造,88年7月10日,八層,
RPRNMLQJPHNFFBP96CA,19,9.45,共有部份,鋼筋混凝土造,88年7月10日,八層,
RPQNMLRJPHNFFBP96CA,2,209.86,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPUOMLMKPHNFFAP96CA,19,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層
RPUOMLMKPHNFFAP96CA,19,19.45,共同部份,鋼筋混凝土造,88年9月26日,五層,
RPUOMLMKPHNFFAP96CA,19,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPSNMLPJPHNFFCP07CA,28,150.08,住家用,見其他登記事項,79年3月15日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPWNMLKKPHNFFAP86CA,12,175.31,住家用,鋼筋混凝土造,95年12月1日,三層,一層 二層 三層
RPRNMLPJPHNFFEP17CA,40,85.29,住商用,加強磚造,67年1月5日,二層,一層 二層 夾層
RPSNMLNLPHNFFDP17CA,17,191.62,住家用,鋼筋混凝土造,89年12月27日,四層,一層 二層 三層 四層
RPUNMLQLPHNFFAP47DA,,207.14,見其他登記事項,鋼筋混凝土造,106年12月20日,四層,一層 二層 三層 四層
RPQOMLQJPHNFFAP96DA,22,155.76,住家用,鋼筋混凝土造,85年7月20日,九層,九層 夾層
RPQOMLQJPHNFFAP96DA,22,39.90,停車空間,鋼筋混凝土造,85年7月20日,九層,
RPQOMLQJPHNFFAP96DA,22,8.13,共同部份,鋼筋混凝土造,85年7月20日,九層,
RPQOMLQJPHNFFAP96DA,22,24.52,共同部份,鋼筋混凝土造,85年7月20日,九層,
RPSNMLKKPHNFFDP86DA,49,114.11,住家用,加強磚造,58年10月11日,二層,一層 二層
RPRNMLMKPHNFFAP66DA,24,52.11,住家用,鋼筋混凝土造,83年12月10日,六層,二層
RPRNMLMKPHNFFAP66DA,24,23.04,共同部份,鋼筋混凝土造,83年12月10日,六層,
RPRNMLMKPHNFFAP66DA,24,20.51,共同部份,鋼筋混凝土造,83年12月10日,六層,
RPVNMLLJQHNFFAP86CA,1,177.97,見其他登記事項,鋼筋混凝土造,106年11月2日,三層,一層 二層 三層 屋頂突出物
RPSNMLKKPHNFFAP56DA,,182.26,見其他登記事項,鋼筋混凝土造,106年11月15日,三層,一層 二層 三層 屋頂突出物
RPVOMLTJPHNFFAP67CA,1,171.68,住家用,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層
RPVNMLQKPHNFFAP37CA,14,25.43,住家用,鋼筋混凝土造,93年3月1日,四層,三層
RPVNMLQKPHNFFAP37CA,14,6.94,共同部份,鋼筋混凝土造,93年3月1日,四層,
