編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPQNMLNJPHNFFCP66CA,西螺段,34.00,都市：住
RPVNMLQJPHNFFAP27CA,海豐崙段海豐崙小段,95.00,都市：住
RPSNMLNJPHNFFAP66CA,苦苓腳段,152.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLNJPHNFFAP66CA,苦苓腳段,53.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLOJPHNFFAP76CA,大竹圍段,89.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNJPHNFFAP07CA,成功段,30.00,都市：其他
RPPNMLMKPHNFFDP66CA,新埤腳段,92.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLRLPHNFFCP57CA,埔北段,4304.35,都市：住
RPPNMLMLPHNFFCP66CA,面前厝段,3.31,都市：其他
RPPNMLMLPHNFFCP66CA,面前厝段,3.31,都市：其他
RPPNMLMLPHNFFCP66CA,面前厝段,3.31,都市：其他
RPPNMLOJPHNFFAP09CA,明德段,74.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOJPHNFFAP09CA,明德段,13.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMKPHNFFDP76CA,新埤腳段,400.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNLPHNFFEP07CA,新街段,95.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,82.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,366.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,14.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,3.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,90.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,245.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,145.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,145.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,97.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,333.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,193.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,156.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,156.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,164.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,205.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,258.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,334.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,97.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,375.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,3.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,1.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,776.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,6.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,270.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,484.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,1.00,都市：農
RPQNMLNLPHNFFEP07CA,新街段,1.00,都市：農
RPQNMLNLPHNFFEP07CA,新北段,53.88,都市：農
RPPNMLPJPHNFFEP96CA,下湖口段,2825.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLSKPHNFFEP57CA,廟東段,.28,都市：其他
RPRNMLSKPHNFFEP57CA,廟東段,4.18,都市：其他
RPRNMLSKPHNFFEP57CA,廟東段,4.23,都市：其他
RPRNMLSKPHNFFEP57CA,廟東段,39.40,都市：住
RPWNMLKLPHNFFAP96CA,梅林西段,91.35,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLKKPHNFFBP96CA,東仁段,15.54,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLKLPHNFFAP96CA,梅林西段,21.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLKLPHNFFAP96CA,梅林西段,1.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLKKPHNFFBP96CA,東仁段,87.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLPLPHNFFDP17CA,復興段,145.00,都市：住
RPUNMLPLPHNFFCP47CA,茄西段,12.75,都市：住
RPUNMLPLPHNFFCP47CA,茄西段,.28,都市：其他
RPUNMLPLPHNFFCP47CA,茄西段,1.77,都市：住
RPUNMLPLPHNFFCP47CA,茄西段,.01,都市：其他
RPRNMLOLPHNFFAP96DA,四合段,148.34,非都市：一般農業區 ; 非都市編定：水利用地
RPRNMLOLPHNFFAP96DA,四合段,3284.20,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLPLPHNFFFP27CA,港底段,186.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
