鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
朴子市,房地(土地+建物),嘉義縣朴子市維新街181~210號,116.38,住,,,1070529,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070307,197.8,4,3,4,有,無,8000000,40445,,0.0,0,,RPVNMLQJPHNFFBQ47CA
布袋鎮,土地,貴舍段511~540地號,34.0,,鄉村區,乙種建築用地,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,5882,,0.0,0,,RPUNMLSKPHNFFBQ67CA
大林鎮,房地(土地+建物),嘉義縣大林鎮平林里中興路211~240號,105.0,商,,,1070518,土地1建物1車位0,全,二層,透天厝,住商用,見其他登記事項,,165.94,2,2,2,有,無,3900000,23502,,0.0,0,,RPPNMLTJPHNFFCQ27CA
太保市,房地(土地+建物)+車位,嘉義縣太保市中山路一段228巷19弄31~60號,22.43,住,,,1070611,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821006,112.58,3,2,2,有,無,1600000,14211,坡道平面,0.0,0,,RPVNMLNJPHNFFDQ37CA
水上鄉,土地,義興段361~390地號,1017.79,,特定農業區,農牧用地,1070621,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,3144,,0.0,0,,RPUNMLPJPHNFFDQ47CA
水上鄉,土地,中庄段2011~2040地號,118.43,,鄉村區,乙種建築用地,1070522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1160000,9795,,0.0,0,,RPWNMLPJPHNFFDQ67CA
中埔鄉,土地,下六段司公小段271~300地號,1225.0,住,,,1070611,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10418000,8504,,0.0,0,,RPRNMLTKPHNFFDQ67CA
中埔鄉,土地,下六段司公小段271~300地號,1225.0,住,,,1070611,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10418000,8504,,0.0,0,,RPSNMLTKPHNFFDQ77CA
梅山鄉,土地,雙溪段181~210地號,49.0,,山坡地保育區,特定目的事業用地,1070608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,148225,3025,,0.0,0,台電鐵塔用地，協議價購。,RPPNMLPJPHNFFEQ07CA
梅山鄉,土地,雙溪段181~210地號,38.0,,山坡地保育區,特定目的事業用地,1070608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,114950,3025,,0.0,0,台電鐵塔用地，協議價購。,RPQNMLPJPHNFFEQ17CA
番路鄉,土地,公田段31~60地號,1956.04,,森林區,農牧用地,1070611,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,929895,475,,0.0,0,,RPPNMLMKPHNFFEQ86CA
番路鄉,土地,公田段31~60地號,702.33,,森林區,農牧用地,1070611,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,553755,788,,0.0,0,,RPQNMLMKPHNFFEQ96CA
番路鄉,土地,公田段31~60地號,1041.33,,森林區,農牧用地,1070611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,312420,300,,0.0,0,,RPRNMLMKPHNFFEQ07CA
番路鄉,土地,大湖段91~120地號,1032.0,,森林區,農牧用地,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,194,,0.0,0,,RPPNMLQKPHNFFEQ27CA
六腳鄉,土地,六斗尾段六斗小段511~540地號,3380.0,,特定農業區,農牧用地,1070620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,947,,0.0,0,,RPPNMLPJPHNFFBQ86DA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,115.35,住,,,1051105,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,211.53,4,3,5,有,無,10600000,50111,,0.0,0,,RPPNMLOJPHNFFCQ96EA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,107.0,住,,,1060623,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,195.31,4,3,5,有,無,10300000,52737,,0.0,0,,RPQNMLOJPHNFFCQ07EA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,105.5,住,,,1060308,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,201.26,5,2,6,有,無,11000000,54656,,0.0,0,,RPRNMLOJPHNFFCQ17EA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,135.39,住,,,1060808,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,245.49,4,3,5,有,無,13500000,54992,,0.0,0,,RPSNMLOJPHNFFCQ27EA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,106.0,住,,,1050930,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,195.57,4,3,5,有,無,10000000,51133,,0.0,0,,RPTNMLOJPHNFFCQ37EA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,107.25,住,,,1060515,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,201.16,4,3,5,有,無,10300000,51203,,0.0,0,,RPUNMLOJPHNFFCQ47EA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,106.25,住,,,1070107,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,195.57,4,3,5,有,無,10300000,52667,,0.0,0,,RPVNMLOJPHNFFCQ57EA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,115.15,住,,,1050630,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,209.12,4,3,5,有,無,11200000,53558,,0.0,0,,RPWNMLOJPHNFFCQ67EA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,111.2,住,,,1060628,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,201.18,4,3,5,有,無,10800000,53683,,0.0,0,,RPOOMLOJPHNFFCQ96EA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉山中村牛斗山361~390號,95.0,,鄉村區,乙種建築用地,1070620,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691118,111.96,3,2,2,有,無,2260000,20186,,0.0,0,,RPSNMLLMPHNFFCQ27EA
溪口鄉,土地,柴林段柴林小段211~240地號,2568.0,,特定農業區,農牧用地,1070606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,1558,,0.0,0,,RPQNMLMKPHNFFCQ96EA
溪口鄉,土地,本廳段本廳小段151~180地號,1813.0,,特定農業區,農牧用地,1070614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2175600,1200,,0.0,0,,RPQNMLPJPHNFFCQ17EA
新港鄉,土地,古民段新民小段661~690地號,7.0,住,,,1070311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,210000,30000,,0.0,0,,RPQNMLQJPHNFFCQ27EA
大林鎮,土地,頂員林段181~210地號,644.0,,鄉村區,乙種建築用地,1070521,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4100000,6366,,0.0,0,,RPQOMLOJPHNFFCQ07DA
水上鄉,房地(土地+建物),嘉義縣水上鄉柳新村14鄰柳子林1651~1680號,97.95,,鄉村區,乙種建築用地,1070525,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690910,104.41,4,2,1,有,無,571275,5471,,0.0,0,,RPUNMLTKPHNFFDQ08DA
新港鄉,房地(土地+建物),嘉義縣新港鄉中庄村中正路331~360號,106.75,住,,,1060217,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070515,97.8,4,3,5,有,無,10200000,104294,,0.0,0,,RPXNMLOJPHNFFCQ77EA
番路鄉,土地,南下坑段331~360地號,700.01,,一般農業區,農牧用地,1070611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1429,,0.0,0,,RPRNMLKLPHNFFEQ96CA
梅山鄉,土地,龍眼林段241~270地號,1020.0,,山坡地保育區,農牧用地,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,130000,127,,0.0,0,,RPPNMLLKPHNFFEQ76CA
梅山鄉,土地,生毛樹段571~600地號,4533.0,,,,1070527,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,662,,0.0,0,價金含地上物,RPPNMLRJPHNFFEQ27CA
水上鄉,房地(土地+建物),嘉義縣水上鄉柳鄉村柳子林271~300號,55.13,,鄉村區,乙種建築用地,1070619,土地2建物2車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0670720,89.34,3,2,2,有,無,2350000,26304,,0.0,0,,RPPNMLQLPHNFFDQ27CA
中埔鄉,房地(土地+建物),嘉義縣中埔鄉社口村檨仔林31~60號,73.15,住,,,1070620,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0830303,194.73,5,2,2,有,無,3800000,19514,,0.0,0,,RPRNMLQJPHNFFDQ27CA
鹿草鄉,土地,後麻段931~960地號,160.99,,特定農業區,農牧用地,1070625,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,186646,1159,,0.0,0,,RPQOMLOJPHNFFDQ07CA
民雄鄉,土地,北斗段151~180地號,640.97,住,,,1070316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1560,,0.0,0,,RPRNMLSLPHNFFCQ57CA
民雄鄉,土地,北斗段151~180地號,1479.0,住,,,1070316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26000000,17579,,0.0,0,,RPSNMLSLPHNFFCQ67CA
新港鄉,土地,後底湖段後底湖小段61~90地號,6054.0,,特定農業區,農牧用地,1070607,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12108000,2000,,0.0,0,附帶地下水井及電力設施一式，由承買人補償出賣人新台幣5萬元正,RPUNMLPJPHNFFCQ37CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉福興村牛稠溪121~150號,63.7,,鄉村區,乙種建築用地,1070528,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0720620,107.51,3,2,2,有,無,4350000,40461,,0.0,0,,RPUOMLOJPHNFFCQ37CA
大林鎮,土地,中坑段中坑小段121~150地號,1848.03,,特定專用區,農牧用地,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1312080,710,,0.0,0,,RPPNMLPJPHNFFCQ86CA
大林鎮,房地(土地+建物),嘉義縣大林鎮平林里29鄰共和街31~60號,42.48,住,,,1070530,土地7建物1車位0,四層,五層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0820217,104.1,3,1,2,有,無,2850000,27378,,0.0,0,,RPRNMLPJPHNFFCQ07CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉北斗村32鄰新正二街1~30號,78.59,,鄉村區,乙種建築用地,1070611,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0910114,125.47,4,2,3,有,無,4500000,35865,,0.0,0,所有過戶費用由買方負責,RPPNMLSJPHNFFCQ17CA
