編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLTJPHNFFCQ27CA,,165.94,住商用,見其他登記事項,,二層,一層 二層
RPVNMLNJPHNFFDQ37CA,25,2.01,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,地下層
RPVNMLNJPHNFFDQ37CA,25,.31,見其他登記事項,鋼筋混凝土造,82年10月6日,9,
RPVNMLNJPHNFFDQ37CA,25,13.34,見其他登記事項,鋼筋混凝土造,82年10月6日,9,
RPVNMLNJPHNFFDQ37CA,25,86.01,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,七層
RPVNMLNJPHNFFDQ37CA,25,10.91,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,
RPQNMLOJPHNFFCQ07EA,,195.31,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPPNMLOJPHNFFCQ96EA,,211.53,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPSNMLOJPHNFFCQ27EA,,245.49,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPVNMLQJPHNFFBQ47CA,,197.80,見其他登記事項,鋼筋混凝土造,107年3月7日,三層,一層 二層 三層 見其他登記事項
RPVNMLOJPHNFFCQ57EA,,195.57,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPRNMLOJPHNFFCQ17EA,,201.26,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPWNMLOJPHNFFCQ67EA,,209.12,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPOOMLOJPHNFFCQ96EA,,201.18,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPTNMLOJPHNFFCQ37EA,,195.57,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPUNMLOJPHNFFCQ47EA,,201.16,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPSNMLLMPHNFFCQ27EA,38,111.96,住家用,鋼筋混凝土加強磚造,69年11月18日,二層,一層 二層 騎樓 電梯樓梯間
RPUNMLTKPHNFFDQ08DA,38,104.41,住家用,鋼筋混凝土加強磚造,69年9月10日,二層,一層 二層
RPXNMLOJPHNFFCQ77EA,,97.80,見其他登記事項,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層 見其他登記事項
RPPNMLQLPHNFFDQ27CA,40,45.38,住商用,鋼筋混凝土加強磚造,67年7月20日,二層,一層 二層
RPPNMLQLPHNFFDQ27CA,40,43.96,住商用,鋼筋混凝土加強磚造,67年7月20日,二層,一層 二層
RPRNMLPJPHNFFCQ07CA,25,104.10,國民住宅,鋼筋混凝土造,82年2月17日,五層,四層
