編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPUNMLSKPHNFFBQ67CA,貴舍段,34.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJPHNFFEQ07CA,雙溪段,49.00,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地
RPRNMLTKPHNFFDQ67CA,下六段司公小段,7.75,都市：住
RPRNMLTKPHNFFDQ67CA,下六段司公小段,12.50,都市：其他
RPRNMLTKPHNFFDQ67CA,下六段司公小段,71.00,都市：住
RPRNMLTKPHNFFDQ67CA,下六段司公小段,40.00,都市：住
RPRNMLTKPHNFFDQ67CA,下六段司公小段,16.50,都市：其他
RPRNMLTKPHNFFDQ67CA,下六段司公小段,79.75,都市：住
RPRNMLTKPHNFFDQ67CA,下六段司公小段,269.50,都市：其他
RPRNMLTKPHNFFDQ67CA,下六段司公小段,374.75,都市：住
RPRNMLTKPHNFFDQ67CA,下六段司公小段,197.00,都市：其他
RPRNMLTKPHNFFDQ67CA,下六段司公小段,153.75,都市：住
RPRNMLTKPHNFFDQ67CA,下六段司公小段,2.50,都市：其他
RPUNMLPJPHNFFDQ47CA,義興段,8.79,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLPJPHNFFDQ47CA,義興段,1009.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLTJPHNFFCQ27CA,吉林段,105.00,都市：商
RPVNMLNJPHNFFDQ37CA,嘉新段,22.43,都市：住
RPWNMLPJPHNFFDQ67CA,中庄段,118.43,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLTKPHNFFDQ77CA,下六段司公小段,71.00,都市：住
RPSNMLTKPHNFFDQ77CA,下六段司公小段,40.00,都市：住
RPSNMLTKPHNFFDQ77CA,下六段司公小段,16.50,都市：其他
RPSNMLTKPHNFFDQ77CA,下六段司公小段,12.50,都市：其他
RPSNMLTKPHNFFDQ77CA,下六段司公小段,374.75,都市：住
RPSNMLTKPHNFFDQ77CA,下六段司公小段,197.00,都市：其他
RPSNMLTKPHNFFDQ77CA,下六段司公小段,153.75,都市：住
RPSNMLTKPHNFFDQ77CA,下六段司公小段,2.50,都市：其他
RPSNMLTKPHNFFDQ77CA,下六段司公小段,7.75,都市：住
RPSNMLTKPHNFFDQ77CA,下六段司公小段,79.75,都市：住
RPSNMLTKPHNFFDQ77CA,下六段司公小段,269.50,都市：其他
RPQNMLPJPHNFFEQ17CA,雙溪段,38.00,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地
RPQNMLOJPHNFFCQ07EA,古民段新民小段,107.00,都市：住
RPPNMLPJPHNFFBQ86DA,六斗尾段六斗小段,3380.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMKPHNFFEQ07CA,公田段,1041.33,非都市：森林區 ; 非都市編定：農牧用地
RPQNMLMKPHNFFEQ96CA,公田段,326.67,非都市：森林區 ; 非都市編定：丙種建築用地
RPQNMLMKPHNFFEQ96CA,公田段,375.67,非都市：森林區 ; 非都市編定：農牧用地
RPPNMLOJPHNFFCQ96EA,古民段新民小段,115.35,都市：住
RPSNMLOJPHNFFCQ27EA,古民段新民小段,135.39,都市：住
RPVNMLQJPHNFFBQ47CA,新寮段,3.58,都市：其他
RPVNMLQJPHNFFBQ47CA,新寮段,.96,都市：其他
RPVNMLQJPHNFFBQ47CA,新寮段,2.07,都市：住
RPVNMLQJPHNFFBQ47CA,新寮段,16.62,都市：住
RPVNMLQJPHNFFBQ47CA,新寮段,93.14,都市：住
RPPNMLQKPHNFFEQ27CA,大湖段,1032.00,非都市：森林區 ; 非都市編定：農牧用地
RPVNMLOJPHNFFCQ57EA,古民段新民小段,106.25,都市：住
RPRNMLOJPHNFFCQ17EA,古民段新民小段,105.50,都市：住
RPPNMLMKPHNFFEQ86CA,公田段,326.67,非都市：森林區 ; 非都市編定：丙種建築用地
RPPNMLMKPHNFFEQ86CA,公田段,870.67,非都市：森林區 ; 非都市編定：農牧用地
