鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
萬丹鄉,土地,新安段811~840地號,981.0,,特定農業區,農牧用地,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,4383,,0.0,0,,RPUOMLMJPHNFFAT27CA
屏東巿,房地(土地+建物),屏東縣屏東市廣東路1288巷1~30號,80.89,住,,,1070530,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1011101,196.58,4,2,5,有,無,6660000,33879,,0.0,0,,RPSNMLNJPHNFFAT07CA
屏東巿,房地(土地+建物),屏東縣屏東市復興南路一段376巷65弄1~30號,85.33,,鄉村區,乙種建築用地,1070606,土地1建物1車位0,全,五層,透天厝,住宅,鋼筋混凝土造,0841106,193.89,6,2,4,有,無,4680000,24137,,0.0,0,,RPTNMLNJPHNFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東市民生路1~30號,12.4,住,,,1070622,土地1建物1車位0,四層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850119,46.28,1,1,1,有,無,1420000,30683,,0.0,0,,RPUNMLNJPHNFFAT27CA
屏東巿,土地,廣興段1021~1050地號,72.24,,鄉村區,乙種建築用地,1070622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,20764,,0.0,0,,RPWNMLNJPHNFFAT47CA
萬丹鄉,土地,田厝段331~360地號,127.0,,特定農業區,農牧用地,1070613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,828100,6520,,0.0,0,,RPXNMLNJPHNFFAT57CA
屏東巿,房地(土地+建物),屏東縣屏東市武愛街116巷4弄1~30號,76.0,住,,,1070528,土地2建物1車位0,全,二層,透天厝,住宅,加強磚造,0721004,77.47,4,1,2,有,無,3700000,47760,,0.0,0,,RPWOMLNJPHNFFAT57CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市清寧街91~120號,36.72,住,,,1070510,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070410,107.25999999999999,2,1,2,有,無,5500000,51277,一樓平面,0.0,0,,RPSNMLOJPHNFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東市公園路61~90號,39.4,住,,,1070608,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住宅,鋼筋混凝土造,0681110,99.52000000000001,3,2,2,有,無,2200000,22106,,0.0,0,,RPVOMLPJPHNFFAT67CA
屏東巿,房地(土地+建物),屏東縣屏東市迪化街61~90號,18.92,住,,,1070528,土地2建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820302,102.15,4,0,4,有,有,2650000,25942,,0.0,0,,RPPOMLLKPHNFFAT76CA
屏東巿,房地(土地+建物),屏東縣屏東市安心九橫巷1~30號,68.0,住,,,1070608,土地1建物1車位0,全,二層,透天厝,住宅,加強磚造,0681226,79.24,5,2,4,有,無,3600000,45432,,0.0,0,,RPWPMLNLPHNFFAT87CA
屏東巿,房地(土地+建物),屏東縣屏東市臺糖一街28巷1~30號,65.82,住,,,1070531,土地2建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,0911028,148.87,4,2,4,有,無,5500000,36945,,0.0,0,,RPRQMLNLPHNFFAT47CA
九如鄉,房地(土地+建物),屏東縣九如鄉維新街1~30號,94.69,商,,,1070420,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810117,219.07,5,2,3,有,無,7200000,32866,,0.0,0,,RPWNMLKMPHNFFAT47CA
里港鄉,房地(土地+建物),屏東縣里港鄉過江路31~60號,133.0,住,,,1070516,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821224,270.27,4,1,3,有,無,4560000,16872,,0.0,0,,RPQNMLOJPHNFFBT07CA
里港鄉,土地,里平段871~900地號,9.0,住,,,1070528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,72222,,0.0,0,,RPSNMLOJPHNFFBT27CA
