編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLNJPHNFFAT07CA,6,196.58,見其他登記事項,鋼筋混凝土造,101年11月1日,四層,一層 二層 三層 四層
RPSNMLOJPHNFFAT17CA,,69.72,見其他登記事項,鋼筋混凝土造,107年4月10日,五層,四層
RPSNMLOJPHNFFAT17CA,,37.54,見其他登記事項,鋼筋混凝土造,107年4月10日,五層,
RPVOMLPJPHNFFAT67CA,39,88.06,住宅,鋼筋混凝土造,68年11月10日,四層,二層
RPVOMLPJPHNFFAT67CA,39,11.46,共用部份,鋼筋混凝土造,68年11月10日,四層,
RPWOMLNJPHNFFAT57CA,35,77.47,住宅,加強磚造,72年10月4日,二層,一層 二層
RPUNMLNJPHNFFAT27CA,22,35.68,見其他登記事項,鋼筋混凝土造,85年1月19日,五層,四層
RPUNMLNJPHNFFAT27CA,22,10.60,共用部份,鋼筋混凝土造,85年1月19日,五層,
RPTNMLNJPHNFFAT17CA,23,191.60,住宅,鋼筋混凝土造,84年11月6日,五層,一層 二層 三層 四層 五層
RPTNMLNJPHNFFAT17CA,23,2.29,見其他登記事項,鋼筋混凝土造,84年11月6日,五層,
RPPOMLLKPHNFFAT76CA,25,73.29,住家用,鋼筋混凝土造,82年3月2日,十一層,二層
RPPOMLLKPHNFFAT76CA,25,28.86,見其他登記事項,鋼筋混凝土造,82年3月2日,十一層,
RPWNMLKMPHNFFAT47CA,26,219.07,住家用,鋼筋混凝土造,81年1月17日,三層,一層 二層 三層 騎樓
RPQNMLOJPHNFFBT07CA,24,270.27,住家用,鋼筋混凝土造,82年12月24日,三層,一層 二層 三層 騎樓
RPWPMLNLPHNFFAT87CA,38,79.24,住宅,加強磚造,68年12月26日,二層,一層 二層
RPRQMLNLPHNFFAT47CA,16,148.87,住宅,鋼筋混凝土造,91年10月28日,三層,一層 二層 三層
RPRNMLMLPHNFFCT27CA,37,93.60,住家用,加強磚造,69年12月19日,二層,一層 二層 騎樓
RPPNMLTKPHNFFCT67CA,24,105.60,住家用,鋼筋混凝土造,83年4月7日,十層,四層
RPPNMLTKPHNFFCT67CA,24,33.33,見其他登記事項,鋼筋混凝土造,83年4月7日,十層,
RPPNMLTKPHNFFCT67CA,24,17.40,見其他登記事項,鋼筋混凝土造,83年4月7日,十二層,
RPQNMLOLPHNFFET57CA,1,270.14,見其他登記事項,見其他登記事項,106年6月14日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLLKPHNFFDT27CA,24,125.64,見其他登記事項,鋼筋混凝土造,83年3月10日,十二層,一層 二層 三層 騎樓
RPSNMLLKPHNFFDT27CA,24,33.48,見其他登記事項,鋼筋混凝土造,83年3月10日,,
RPQPMLOJPHNFFDT47CA,23,148.98,住宅,鋼筋混凝土造,84年8月4日,三層,一層 二層 三層 騎樓
RPQNMLPJPHNFFDT37CA,3,167.25,住宅,鋼筋混凝土構造,103年12月22日,三層,一層 二層 三層
RPPNMLPJPHNFFET37CA,2,192.30,見其他登記事項,見其他登記事項,105年5月20日,三層,一層 二層 三層 屋頂突出物
RPOOMLOJPHNFFDT17CA,1,204.37,店舖、住宅,鋼筋混凝土構造,106年9月8日,四層,一層 二層 三層 四層 騎樓
RPQNMLOLPHNFFCT37CA,42,141.60,住商用,加強磚造,65年4月3日,三層,一層 二層 三層 騎樓
RPPNMLOJPHNFFBT96CA,1,229.14,見其他登記事項,見其他登記事項,106年9月25日,三層,見其他登記事項
RPTOMLSKPHNFFCT08CA,38,96.48,住商用,鋼筋混凝土造,69年8月23日,二層,一層 二層 騎樓
RPRNMLQKPHNFFCT57CA,24,114.88,住家用,鋼筋混凝土造,83年6月25日,十一層,七層
RPRNMLQKPHNFFCT57CA,24,45.87,見其他登記事項,鋼筋混凝土造,83年6月25日,十一層,
RPTNMLSKPHNFFCT97CA,7,180.78,住家用,鋼筋混凝土造,100年3月15日,三層,一層 二層 三層 騎樓
RPPNMLPJPHNFFCT17CA,25,143.73,住宅,鋼筋混凝土造,82年3月8日,三層,一層 二層 三層
RPSNMLNKPHNFFAT17CA,24,84.54,住家用,鋼筋混凝土造,83年10月6日,七層,七層
RPSNMLNKPHNFFAT17CA,24,34.93,見其他登記事項,鋼筋混凝土造,83年10月6日,七層,
RPVOMLKLPHNFFAT37CA,,66.89,住家用,加強磚造,,一層,一層
