編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPUOMLMJPHNFFAT27CA,新安段,981.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLNJPHNFFAT57CA,田厝段,127.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNJPHNFFAT47CA,廣興段,72.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNJPHNFFAT07CA,勝興段,1.05,都市：住
RPSNMLNJPHNFFAT07CA,勝興段,60.00,都市：住
RPSNMLNJPHNFFAT07CA,勝興段,1.75,都市：住
RPSNMLNJPHNFFAT07CA,勝興段,18.09,都市：住
RPSNMLOJPHNFFAT17CA,萬年段,36.72,都市：住
RPVOMLPJPHNFFAT67CA,文明段三小段,39.40,都市：住
RPWOMLNJPHNFFAT57CA,萬年段,64.00,都市：住
RPWOMLNJPHNFFAT57CA,萬年段,12.00,都市：住
RPUNMLNJPHNFFAT27CA,瑞光段,12.40,都市：住
RPTNMLNJPHNFFAT17CA,新興段,85.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLLKPHNFFAT76CA,檳榔腳段二小段,18.44,都市：住
RPPOMLLKPHNFFAT76CA,檳榔腳段二小段,.48,都市：住
RPWNMLKMPHNFFAT47CA,九智段,94.69,都市：商
RPSNMLOJPHNFFBT27CA,里平段,9.00,都市：住
RPQNMLOJPHNFFBT07CA,過江段,133.00,都市：住
RPRNMLMJPHNFFCT07CA,老埤段,794.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWPMLNLPHNFFAT87CA,瑞光段,68.00,都市：住
RPTNMLOJPHNFFBT37CA,里平段,119.00,都市：住
RPQNMLPJPHNFFBT17CA,舊寮段,782.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLPJPHNFFBT17CA,舊寮段,53.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLKPHNFFBT96CA,南華段,192.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLMJPHNFFCT86CA,鹿寮段,80.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLMJPHNFFCT86CA,鹿寮段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLNJPHNFFCT07CA,萬金段,52.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLNLPHNFFAT47CA,福光段,55.00,都市：住
RPRQMLNLPHNFFAT47CA,福光段,10.82,都市：住
RPRNMLPJPHNFFBT27CA,東振新段,4370.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLNJPHNFFCT27CA,萬金段,34.36,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNJPHNFFCT17CA,萬金段,35.13,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJPHNFFCT96CA,萬金段,15.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJPHNFFCT96CA,萬金段,15.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
