編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPSNMLOJPHNFFAT17CA,一樓平面,0,
RPPNMLTKPHNFFCT67CA,坡道平面,0,
RPRNMLQKPHNFFCT57CA,坡道平面,0,
RPSNMLNKPHNFFAT17CA,坡道機械,0,
RPVOMLNJPHNFFAT47CA,升降機械,0,
RPPNMLLKPHNFFAT66CA,坡道平面,0,
RPQNMLTJPHNFFAT47CA,一樓平面,0,
RPQNMLQJPHNFFAT17CA,坡道機械,0,
RPRNMLKKPHNFFAT76CA,坡道平面,0,24.00
RPQNMLLKPHNFFAT76CA,坡道平面,0,24.00
RPRNMLNKPHNFFAT07CA,一樓平面,0,
RPPNMLQKPHNFFAT17CA,坡道平面,0,26.08
RPPNMLQKPHNFFAT17CA,坡道平面,0,26.08
RPOOMLKLPHNFFCT86CA,坡道平面,0,
