鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路257巷1~30號,73.0,住,,,1070528,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620509,106.13,3,2,2,有,無,5000000,47112,,0.0,0,,RPPNMLNJPHNFFAU86CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慈惠四街18巷8弄1~30號,125.0,住,,,1070605,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060520,267.34,4,2,5,有,無,17600000,65834,,0.0,0,,RPQOMLNJPHNFFAU07CA
秀林鄉,土地,加灣段1801~1830地號,2258.6,,一般農業區,農牧用地,1070605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1107,,0.0,0,,RPSOMLNJPHNFFAU27CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中正一?1~30號,126.06,,一般農業區,甲種建築用地,1070614,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710824,134.85,6,2,3,有,無,2650000,19651,,0.0,0,,RPPNMLOJPHNFFAU96CA
花蓮市,房地(土地+建物),花蓮縣花蓮市順興路91~120號,36.73,住,,,1070606,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711216,533.14,3,2,1,有,無,3500000,6565,,0.0,0,,RPQNMLOJPHNFFAU07CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街31~60號,4.01,商,,,1070615,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831115,41.91,1,1,1,有,有,1490000,35552,,0.0,0,,RPRNMLOJPHNFFAU17CA
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路131巷1~30號,128.0,商,,,1070530,土地5建物2車位0,一層，二層,二層,店面(店鋪),住工用,見其他登記事項,0460831,218.52,0,0,0,無,無,26000000,118982,,0.0,0,,RPVNMLOJPHNFFAU57CA
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路121~150號,151.0,商,,,1070530,土地2建物2車位0,一層，二層，騎樓,二層,店面(店鋪),商業用,木造,0480314,186.15,0,0,0,無,無,32000000,171904,,0.0,0,,RPXNMLOJPHNFFAU77CA
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路121~150號,112.5,商,,,1070530,土地7建物2車位0,騎樓，一層,一層,店面(店鋪),住家用,木造,,131.68,0,0,0,無,無,27000000,,,0.0,0,,RPPOMLOJPHNFFAU07CA
吉安鄉,土地,慶豐段1501~1530地號,200.0,住,,,1070522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8470000,42350,,0.0,0,,RPSNMLPJPHNFFAU37CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉太昌路318巷1~30號,134.0,住,,,1070518,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0651103,63.97,3,2,2,有,無,5100000,79725,,0.0,0,,RPSOMLTJPHNFFAU87CA
吉安鄉,土地,福興段931~960地號,440.0,住,,,1070605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15972000,36300,,0.0,0,,RPSOMLKKPHNFFAU07CA
