編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLOJPHNFFAU57CA,54,90.00,住家用,見其他登記事項,52年12月15日,三層,一層 二層 三層
RPVNMLOJPHNFFAU57CA,61,128.52,住工用,見其他登記事項,46年8月31日,二層,一層 二層
RPPNMLOJPHNFFAU96CA,36,134.85,住家用,鋼筋混凝土加強磚造,71年8月24日,二層,一層 二層 屋頂突出物 騎樓
RPQNMLOJPHNFFAU07CA,35,97.52,住家用,鋼筋混凝土造,71年12月16日,五層,四層
RPQNMLOJPHNFFAU07CA,35,435.62,共有部份,鋼筋混凝土造,71年12月16日,五層,
RPXNMLOJPHNFFAU77CA,,62.20,商業用,木造,,一層,一層 騎樓
RPXNMLOJPHNFFAU77CA,59,123.95,商業用,木造,48年3月14日,二層,一層 二層 騎樓
RPPOMLOJPHNFFAU07CA,,65.98,住家用,木造,,一層,騎樓 一層
RPPOMLOJPHNFFAU07CA,,65.70,商業用,木造,,二層,一層 二層 騎樓
RPQOMLNJPHNFFAU07CA,1,267.34,住家用,鋼筋混凝土造,106年5月20日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLNJPHNFFAU86CA,45,106.13,住家用,鋼筋混凝土加強磚造,62年5月9日,二層,一層 二層 騎樓
RPRNMLOJPHNFFAU17CA,24,28.48,住家用,鋼筋混凝土造,83年11月15日,十二層,四層
RPRNMLOJPHNFFAU17CA,24,8.86,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPRNMLOJPHNFFAU17CA,24,4.58,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPSOMLTJPHNFFAU87CA,42,63.97,住家用,鋼筋混凝土加強磚造,65年11月3日,一層,一層
RPRNMLNKPHNFFAU17CA,7,265.16,住家用,鋼筋混凝土造,100年4月6日,三層,一層 二層 三層 見其他登記事項
RPSNMLQLPHNFFAU67CA,25,22.82,住家用,鋼筋混凝土造,82年11月15日,十二層,四層
RPSNMLQLPHNFFAU67CA,24,5.31,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPSNMLQLPHNFFAU67CA,24,5.64,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPOOMLNKPHNFFAU96CA,24,85.06,住家用,鋼筋混凝土造,83年10月26日,九層,三層
RPOOMLNKPHNFFAU96CA,24,6.85,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPOOMLNKPHNFFAU96CA,24,21.02,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPRNMLNJPHNFFAU27EA,29,100.07,農舍,鋼筋混凝土加強磚造,78年6月27日,一層,一層
RPQNMLPJPHNFFCU37CA,53,17.63,住商用,鋼筋混凝土造,54年1月24日,二層,一層 二層
RPQNMLPJPHNFFCU37CA,100,9.42,住家用,木造,7年11月6日,一層,一層
RPRNMLPJPHNFFBU37CA,25,139.30,住商用,鋼筋混凝土造,81年12月16日,二層,一層 二層 屋頂突出物
RPQNMLLKPHNFFAU86CA,16,106.23,住家用,鋼筋混凝土造,91年11月21日,十一層,六層
RPQNMLLKPHNFFAU86CA,16,70.69,共有部份,鋼筋混凝土造,91年11月21日,十一層,
RPUNMLNLPHNFFAU57CA,38,97.25,住家用,鋼筋混凝土加強磚造,69年5月19日,二層,一層 二層
RPSOMLRKPHNFFAU77CA,15,274.54,住家用,鋼筋混凝土造,92年5月16日,四層,見其他登記事項 一層 二層 三層 四層
RPSPMLMKPHNFFAU37CA,26,99.35,住家用,鋼筋混凝土造,81年8月26日,五層,二層
RPSPMLMKPHNFFAU37CA,26,13.32,共有部份,鋼筋混凝土造,81年8月26日,五層,
RPTNMLQJPHNFFAU57CA,24,51.18,住家用,鋼筋混凝土造,83年10月6日,七層,三層
RPTNMLQJPHNFFAU57CA,24,20.73,共有部份,鋼筋混凝土造,83年10月6日,七層,
RPTNMLQJPHNFFAU57CA,24,51.18,住家用,鋼筋混凝土造,83年10月6日,七層,三層
RPTNMLQJPHNFFAU57CA,24,20.73,共有部份,鋼筋混凝土造,83年10月6日,七層,
RPTNMLPJPHNFFAU47CA,29,49.04,住家用,鋼筋混凝土造,78年6月3日,五層,三層
RPTNMLPJPHNFFAU47CA,29,4.58,共有部份,鋼筋混凝土造,78年6月3日,五層,
RPTNMLPJPHNFFAU47CA,29,5.73,共有部份,鋼筋混凝土造,78年6月3日,五層,
RPQOMLOJPHNFFAU17CA,46,85.85,住家用,見其他登記事項,61年7月4日,二層,一層 二層
RPOOMLOJPHNFFAU96CA,36,16.72,見其他登記事項,鋼筋混凝土造,70年12月17日,七層,
RPOOMLOJPHNFFAU96CA,36,109.72,住家用,鋼筋混凝土造,70年12月17日,七層,二層
RPOOMLOJPHNFFAU96CA,36,231.33,共有部份,鋼筋混凝土造,70年12月17日,七層,
RPOOMLOJPHNFFAU96CA,36,231.33,共有部份,鋼筋混凝土造,70年12月17日,七層,
RPVNMLQJPHNFFAU77CA,23,57.48,住家用,鋼筋混凝土造,84年6月28日,六層,六層 夾層
RPVNMLQJPHNFFAU77CA,23,13.92,共有部份,鋼筋混凝土造,84年6月28日,六層,
RPQOMLKLPHNFFAU96CA,24,53.84,住家用,鋼筋混凝土造,83年10月28日,十四層,七層
RPQOMLKLPHNFFAU96CA,24,14.69,共有部份,鋼筋混凝土造,83年10月28日,十四層,
RPROMLPJPHNFFAU37CA,23,27.02,住家用,鋼筋混凝土造,84年3月21日,十三層,三層
RPROMLPJPHNFFAU37CA,23,3.10,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPROMLPJPHNFFAU37CA,23,5.17,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPWNMLQKPHNFFAU97CA,33,133.88,住商用,鋼筋混凝土造,74年10月30日,二層,一層 二層 屋頂突出物 騎樓
RPSNMLQJPHNFFAU47CA,24,123.30,住家用,鋼筋混凝土造,82年12月10日,五層,三層
RPSNMLQJPHNFFAU47CA,24,12.81,共有部份,鋼筋混凝土造,82年12月10日,五層,
RPTNMLTKPHNFFAU97CA,23,182.93,住家用,鋼筋混凝土造,84年3月10日,三層,一層 二層 三層
RPPNMLRJPHNFFAU27CA,39,135.87,住商用,鋼筋混凝土加強磚造,68年6月15日,二層,騎樓 一層 二層
RPVNMLTKPHNFFAU18CA,39,229.47,住商用,鋼筋混凝土造,68年5月11日,三層,一層 二層 三層 屋頂突出物 騎樓
RPRNMLLKPHNFFAU96CA,40,131.46,住商用,鋼筋混凝土造,67年10月18日,三層,屋頂突出物 騎樓 一層 二層 三層
RPWNMLLJQHNFFAU47CA,30,45.34,住家用,鋼筋混凝土造,77年2月8日,六層,二層
RPWNMLLJQHNFFAU47CA,30,11.78,共有部份,鋼筋混凝土造,77年2月8日,六層,
RPXNMLLJQHNFFAU57CA,47,50.21,住家用,見其他登記事項,,一層,一層
RPPNMLQJPHNFFBU27CA,47,54.60,住家用,加強磚造,60年7月15日,一層,一層
RPTNMLLJQHNFFAU17CA,42,89.28,住家用,鋼筋混凝土加強磚造,64年7月28日,二層,一層 二層
RPPNMLQJPHNFFCU37CA,34,99.34,住家用,鋼筋混凝土加強磚造,73年8月20日,二層,一層 二層 騎樓
RPROMLLJQHNFFAU07CA,,479.69,農舍,鋼筋混凝土造,107年4月9日,三層,一層 二層 三層 屋頂突出物
RPQNMLSLPHNFFAU67CA,24,47.79,住家用,鋼筋混凝土造,83年5月18日,六層,二層
RPQNMLSLPHNFFAU67CA,24,22.04,共有部份,鋼筋混凝土造,83年5月18日,六層,
RPPNMLPKPHNFFAU17CA,35,71.26,住家用,鋼筋混凝土加強磚造,71年10月28日,二層,一層 二層
RPUNMLTJPHNFFAU97CA,12,176.10,住商用,鋼筋混凝土造,95年8月7日,三層,一層 二層 三層 見其他登記事項
RPROMLTJPHNFFAU77CA,1,73.65,住家用,鋼筋混凝土造,106年2月2日,七層,六層
RPROMLTJPHNFFAU77CA,1,33.63,共有部份,鋼筋混凝土造,106年2月2日,七層,
RPROMLTJPHNFFAU77CA,1,12.75,見其他登記事項,鋼筋混凝土造,106年2月2日,七層,
RPOOMLQJPHNFFAU17CA,,220.81,住家用,鋼筋混凝土造,107年1月17日,四層,一層 二層 三層 四層
RPUNMLSKPHNFFAU97CA,16,200.67,住家用,鋼筋混凝土造,91年11月29日,三層,一層 二層 三層
