編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPSNMLPJPHNFFAU37CA,慶豐段,200.00,都市：住
RPVNMLOJPHNFFAU57CA,民生段,62.00,都市：商
RPVNMLOJPHNFFAU57CA,民生段,2.00,都市：其他
RPVNMLOJPHNFFAU57CA,民生段,62.00,都市：商
RPVNMLOJPHNFFAU57CA,民生段,1.00,都市：其他
RPVNMLOJPHNFFAU57CA,民生段,1.00,都市：其他
RPPNMLOJPHNFFAU96CA,豐裡段,126.06,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLOJPHNFFAU07CA,樹人段,20.49,都市：住
RPQNMLOJPHNFFAU07CA,樹人段,16.24,都市：住
RPXNMLOJPHNFFAU77CA,民生段,123.00,都市：商
RPXNMLOJPHNFFAU77CA,民生段,28.00,都市：商
RPQOMLNJPHNFFAU07CA,慈安段,125.00,都市：住
RPPOMLOJPHNFFAU07CA,民生段,9.00,都市：商
RPPOMLOJPHNFFAU07CA,民生段,50.00,都市：商
RPPOMLOJPHNFFAU07CA,民生段,42.00,都市：商
RPPOMLOJPHNFFAU07CA,民生段,4.00,都市：其他
RPPOMLOJPHNFFAU07CA,民生段,5.00,都市：其他
RPPOMLOJPHNFFAU07CA,民生段,2.00,都市：商
RPPOMLOJPHNFFAU07CA,民生段,.50,都市：其他
RPSOMLNJPHNFFAU27CA,加灣段,2258.60,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNJPHNFFAU86CA,國風段,73.00,都市：住
RPSOMLKKPHNFFAU07CA,福興段,440.00,都市：住
RPRNMLOJPHNFFAU17CA,富國段,4.01,都市：商
RPSOMLTJPHNFFAU87CA,太昌段,134.00,都市：住
RPVOMLKMPHNFFAU57CA,東升段,2500.00,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLNKPHNFFAU17CA,民意段,181.00,都市：住
RPPOMLNLPHNFFAU17CA,豐坪段,2886.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLNLPHNFFAU17CA,豐坪段,2805.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLNLPHNFFAU17CA,豐坪段,2805.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLNLPHNFFAU17CA,豐坪段,2805.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLNLPHNFFAU17CA,豐坪段,2805.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLTKPHNFFAU67CA,主商段,11.00,都市：住
RPVNMLNLPHNFFBU77CA,大榮段,12086.17,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLNLPHNFFBU57CA,中原段,2882.60,非都市：特定專用區 ; 非都市編定：農牧用地
RPTNMLNLPHNFFBU57CA,中原段,2681.67,非都市：特定專用區 ; 非都市編定：農牧用地
RPTNMLNLPHNFFBU57CA,中原段,2882.60,非都市：特定專用區 ; 非都市編定：農牧用地
RPTNMLNLPHNFFBU57CA,中原段,3282.68,非都市：特定專用區 ; 非都市編定：農牧用地
RPUNMLNLPHNFFBU67CA,西富段,477.43,非都市：特定農業區 ; 非都市編定：交通用地
RPUNMLNLPHNFFBU67CA,馬佛段,2511.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLNLPHNFFBU67CA,馬佛段,3097.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLNLPHNFFBU67CA,馬佛段,2511.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLNLPHNFFBU67CA,馬佛段,733.98,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPUNMLNLPHNFFBU67CA,馬佛段,344.86,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPSNMLNLPHNFFBU47CA,鳳凰段,18231.18,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLQLPHNFFAU67CA,富國段,4.44,都市：住
RPSNMLMJPHNFFBU17CA,大安段,137.00,都市：住
RPRNMLNJPHNFFCU27CA,德武段,2176.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNJPHNFFCU27CA,德武段,1586.89,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPOOMLNKPHNFFAU96CA,裕民段,22.82,都市：住
RPRNMLNJPHNFFAU27EA,光輝段,150.69,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTNMLPJPHNFFCU87EA,東豐南段,40.81,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLLJQHNFFAU27CA,民意段,310.00,都市：住
RPQNMLPJPHNFFBU27CA,鳳凰段,1466.28,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQOMLLKPHNFFAU96CA,道拉斯段,1495.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLPJPHNFFCU37CA,玉璞段,25.20,都市：商
RPRNMLPJPHNFFBU37CA,鳳光段,127.00,都市：住
RPQNMLLKPHNFFAU86CA,民意段,42.76,都市：住
